ID,software_mention,package_url,homepage_url,github_repo,exact_match,doi,paragraph,authors_oa,authors,field/topic/keywords
SM102065,pytorch,https://pypi.org/project/pytorch,,,False,10.3390/s21093265,"As for Tan [11], Kokkinos [13], Cui [14], and our proposed method, all of them are implemented by the CNN approach, and thus we accelerated them using pytorch on CUDA.","https://openalex.org/A5100450841,https://openalex.org/A5061448095,https://openalex.org/A5050537094,https://openalex.org/A5029342902,https://openalex.org/A5100657035,https://openalex.org/A5110665174","Shuyu Wang,Mingxin Zhao,Runjiang Dou,Shuangming Yu,Liyuan Liu,Nanjian Wu","Gaussian blur,Computer science,Demosaicing,Convolutional neural network,Artificial intelligence,Smoothing,Artificial neural network,Feature (linguistics)"
SM102065,pytorch,https://pypi.org/project/pytorch,,,False,10.3390/s19030667,The initialization of other layers was done in accordance with the method officially recommended in version 0.4 of pytorch,"https://openalex.org/A5067609651,https://openalex.org/A5101583805,https://openalex.org/A5076766013","Songnan Chen,Mengxia Tang,Jiangming Kan","Robustness (evolution),Computer science,Artificial intelligence,Monocular,RGB color model,Computer vision"
SM102065,pytorch,https://pypi.org/project/pytorch,,,False,10.3389/frobt.2019.00022,"Part of the appeal of using DNNs is the fact that many off-the-shelf frameworks for deep learning (Tensorflow, MXNet, pytorch) all support automatic differentiation","https://openalex.org/A5035078079,https://openalex.org/A5033827593,https://openalex.org/A5079459715","Phillip Hyatt,David Wingate,Marc D. Killpack","Computer science,Robot,Control theory (sociology),Overshoot (microwave communication),Actuator"
SM102065,pytorch,https://pypi.org/project/pytorch,,,False,10.1038/s41598-019-52737-x,"Training was performed on the NIH Biowulf cluster using 2-GPU nodes (2xNVIDIA K80, for a total of 4 logical GPUs with 12 GB each) with a batch size of 4 (pytorch nn.DataParallel)","https://openalex.org/A5080726626,https://openalex.org/A5101967245,https://openalex.org/A5079022788,https://openalex.org/A5016047550","Veit Sandfort,Ke Yan,Perry J. Pickhardt,Ronald M. Summers","Generalizability theory,Adversarial system,Generative grammar,Computer science,Segmentation,Artificial intelligence,Generative adversarial network"
SM102065,pytorch,https://pypi.org/project/pytorch,,,False,10.3390/s21093106,"Based on the pytorch deep learning frame, the image datasets were trained using the SSD algorithm to generate identification models","https://openalex.org/A5017729819,https://openalex.org/A5100414507,https://openalex.org/A5100362822,https://openalex.org/A5061749313,https://openalex.org/A5008471674,https://openalex.org/A5101935325","Yabin Yu,Ying Liu,Jiawei Chen,Dong Jiang,Zilong Zhuang,Xiaoli Wu","Connection (principal bundle),Bolted joint,Identification (biology),Engineering"
SM102065,pytorch,https://pypi.org/project/pytorch,,,False,10.3390/s21010229,"We implemented MDPO on pytorch DNN framework, which is an actively developed open-source deep learning library","https://openalex.org/A5021152941,https://openalex.org/A5079804598,https://openalex.org/A5023572721,https://openalex.org/A5100382117","Xianzhong Tian,Juan Zhu,Ting Xu,Yanjun Li","Computer science,Latency (audio),Cloud computing,Computation offloading,Mobile device,Computation,Partition (number theory)"
SM102065,pytorch,https://pypi.org/project/pytorch,,,False,10.3389/fncom.2021.626259,"For comparison, we used the pre-trained ResNet-18 from pytorch 1.2.0 as the normal DCNN, referred to as the ResNet in this study for brevity.","https://openalex.org/A5102872147,https://openalex.org/A5100437651,https://openalex.org/A5038594329,https://openalex.org/A5100409741","Shan Xu,Yiyuan Zhang,Zonglei Zhen,Jia Liu","Categorization,Convolutional neural network,Domain (mathematical analysis),Face (sociological concept),Computer science,Nature versus nurture"
SM102065,pytorch,https://pypi.org/project/pytorch,,,False,10.3390/s20216264,"Our experiments were performed on a computer with Intel Core I7 and NVIDA GeForce GTX 1080Ti, and we operated our algorithm by c++ and pytorch.","https://openalex.org/A5078203211,https://openalex.org/A5038902147,https://openalex.org/A5053313903,https://openalex.org/A5100436982,https://openalex.org/A5110191041,https://openalex.org/A5101658387,https://openalex.org/A5101505594,https://openalex.org/A5016539834","Xinyuan Tu,Jian Zhang,Runhao Luo,Kai Wang,Qingji Zeng,Yu Zhou,Yao Yu,Sidan Du","Computer science,Point cloud,Lidar,Segmentation,Ranging,Artificial intelligence,Computer vision"
SM102065,pytorch,https://pypi.org/project/pytorch,,,False,10.1186/s12864-018-5283-8,We have trained our models running on a single NVidia Quadro P6000 with stochastic gradient descent with momentum in pytorch,"https://openalex.org/A5002848946,https://openalex.org/A5091432366,https://openalex.org/A5030952070","Chuqiao Lyu,Lei Wang,Juhua Zhang","Homo sapiens,Convolutional neural network,Arabidopsis,Computational biology,Chromatin,Artificial intelligence,Deep learning,Identification (biology)"
SM102065,pytorch,https://pypi.org/project/pytorch,,,False,10.15252/msb.202010179,"Inference was performed in pytorch (preprint: Paszke et al, 2019) using the Adam optimizer (preprint: Kingma & Ba, 2017)","https://openalex.org/A5018937724,https://openalex.org/A5060891848,https://openalex.org/A5035861712,https://openalex.org/A5066572638,https://openalex.org/A5013689370,https://openalex.org/A5086772504,https://openalex.org/A5076179093,https://openalex.org/A5079674519,https://openalex.org/A5027494956","Drew S. Tack,Peter D. Tonner,Abe Pressman,Nathan D. Olson,Sasha F. Levy,Eugenia F. Romantseva,Nina Alperovich,Olga Vasilyeva,David Ross","Allosteric regulation,Lac repressor,Biology,Phenotype,Computational biology,Genetics"
SM102065,pytorch,"https://pypi.org/project/torch/,https://pytorch.org/,https://github.com/pytorch/pytorch",,,True,10.3390/s21093265,"As for Tan [11], Kokkinos [13], Cui [14], and our proposed method, all of them are implemented by the CNN approach, and thus we accelerated them using pytorch on CUDA.","https://openalex.org/A5100450841,https://openalex.org/A5061448095,https://openalex.org/A5050537094,https://openalex.org/A5029342902,https://openalex.org/A5100657035,https://openalex.org/A5110665174","Shuyu Wang,Mingxin Zhao,Runjiang Dou,Shuangming Yu,Liyuan Liu,Nanjian Wu","Gaussian blur,Computer science,Demosaicing,Convolutional neural network,Artificial intelligence,Smoothing,Artificial neural network,Feature (linguistics)"
SM102065,pytorch,"https://pypi.org/project/torch/,https://pytorch.org/,https://github.com/pytorch/pytorch",,,True,10.3390/s19030667,The initialization of other layers was done in accordance with the method officially recommended in version 0.4 of pytorch,"https://openalex.org/A5067609651,https://openalex.org/A5101583805,https://openalex.org/A5076766013","Songnan Chen,Mengxia Tang,Jiangming Kan","Robustness (evolution),Computer science,Artificial intelligence,Monocular,RGB color model,Computer vision"
SM102065,pytorch,"https://pypi.org/project/torch/,https://pytorch.org/,https://github.com/pytorch/pytorch",,,True,10.3389/frobt.2019.00022,"Part of the appeal of using DNNs is the fact that many off-the-shelf frameworks for deep learning (Tensorflow, MXNet, pytorch) all support automatic differentiation","https://openalex.org/A5035078079,https://openalex.org/A5033827593,https://openalex.org/A5079459715","Phillip Hyatt,David Wingate,Marc D. Killpack","Computer science,Robot,Control theory (sociology),Overshoot (microwave communication),Actuator"
SM102065,pytorch,"https://pypi.org/project/torch/,https://pytorch.org/,https://github.com/pytorch/pytorch",,,True,10.1038/s41598-019-52737-x,"Training was performed on the NIH Biowulf cluster using 2-GPU nodes (2xNVIDIA K80, for a total of 4 logical GPUs with 12 GB each) with a batch size of 4 (pytorch nn.DataParallel)","https://openalex.org/A5080726626,https://openalex.org/A5101967245,https://openalex.org/A5079022788,https://openalex.org/A5016047550","Veit Sandfort,Ke Yan,Perry J. Pickhardt,Ronald M. Summers","Generalizability theory,Adversarial system,Generative grammar,Computer science,Segmentation,Artificial intelligence,Generative adversarial network"
