ID,software_mention,package_url,homepage_url,github_repo,exact_match,doi,paragraph,authors_oa,authors,field/topic/keywords
SM1007308,swirlify,"https://cran.r-project.org/package=swirlify,http://swirlstats.com/,https://github.com/swirldev/swirl",,,True,10.1111/test.12258,There's another R package hosted on GitHub—swirlify—that helps instructors create content by providing tools for writing and sharing swirl courses,"https://openalex.org/A5086634091,https://openalex.org/A5006222384","Arthur Berg,Nour Hawila","Coronavirus disease 2019 (COVID-19),Graphics,Curriculum"
SM1036472,rClinicalCodes,"https://cran.r-project.org/package=rClinicalCodes,https://github.com/cran/rClinicalCodes",,,True,10.23889/ijpds.v5i1.1362,The developers of the ClinicalCodes repository have created an open-source R package (rClinicalCodes) to automate the downloading and importing lists of clinical code and metadata through the research object file from the repository website: ( https://cran.r-project.org/web/packages/rClinicalCodes/index.html ,"https://openalex.org/A5020717141,https://openalex.org/A5074330876,https://openalex.org/A5090277910","Zahra Almowil,Shang‐Ming Zhou,Sinèad Brophy",Computer science
SM1042456,WeightedROC,"https://cran.r-project.org/package=WeightedROC,https://github.com/tdhock/WeightedROC",,,True,10.2196/16153,"R version 3.6.1 and variable functions from its packages were used: decision tree, “rpart” in the caret package (using down-sampling and cross-validation) [19,20]; dummy-coded variables, “dummy.code” in the psych package [21]; cross-validation for Lasso, “cv.glmnet” in the glmnet package [22]; survey-weighted multiple logistic regression, “svyglm” in the survey package [23]; weighted ROC curve and AUC, “WeightedROC” and “WeightedAUC,” respectively, in the WeightedROC package [24]; confidence interval of AUC","https://openalex.org/A5018633558,https://openalex.org/A5006527008,https://openalex.org/A5036068985,https://openalex.org/A5090987872,https://openalex.org/A5042139010","Sang Min Nam,Thomas A. Peterson,Atul J. Butte,Kyoung Yul Seo,Hyun Wook Han","Logistic regression,National Health and Nutrition Examination Survey,Medicine,Centrality,Lasso (programming language),Receiver operating characteristic"
SM1042456,WeightedROC,"https://cran.r-project.org/package=WeightedROC,https://github.com/tdhock/WeightedROC",,,True,10.2196/27344,"Receiver operating characteristic (ROC) curves were generated using the ggplot2 package [26], and the weighted AUC was calculated by using the “WeightedAUC” function with the sample weight (WeightedROC package) [19].","https://openalex.org/A5018633558,https://openalex.org/A5006527008,https://openalex.org/A5090987872,https://openalex.org/A5042139010,https://openalex.org/A5006816656","Sang Min Nam,Thomas A. Peterson,Kyoung Yul Seo,Hyun Wook Han,Jee In Kang","Multicollinearity,Logistic regression"
SM1075146,SPAtest,"https://cran.r-project.org/package=SPAtest,https://github.com/leeshawn/SPAtest",,,True,10.7554/eLife.25060,(A) The results of running PheWAS using SPAtest,"https://openalex.org/A5084156654,https://openalex.org/A5016306839,https://openalex.org/A5049512061,https://openalex.org/A5112469521,https://openalex.org/A5029045377,https://openalex.org/A5030539003,https://openalex.org/A5086266728,https://openalex.org/A5029267040,https://openalex.org/A5062613540,https://openalex.org/A5108685883,https://openalex.org/A5027174942,https://openalex.org/A5077208561,https://openalex.org/A5059089739,https://openalex.org/A5033102139,https://openalex.org/A5003006714,https://openalex.org/A5061974826,https://openalex.org/A5040368187,https://openalex.org/A5108514051,https://openalex.org/A5062296084,https://openalex.org/A5053681099,https://openalex.org/A5039316563,https://openalex.org/A5012900535,https://openalex.org/A5053627423,https://openalex.org/A5007646636,https://openalex.org/A5065704891,https://openalex.org/A5072638258,https://openalex.org/A5012477767,https://openalex.org/A5016233543,https://openalex.org/A5071606253,https://openalex.org/A5047405500,https://openalex.org/A5087349100,https://openalex.org/A5046822527","Gillian M. Belbin,Jacqueline A. Odgis,Elena P. Sorokin,Muh-Ching Yee,Sumita Kohli,Benjamin S. Glicksberg,Christopher R. Gignoux,Genevieve L. Wojcik,Tielman Van Vleck,Janina M. Jeff,Michael D. Linderman,Claudia Schurmann,Douglas M. Ruderfer,Xiaoqiang Cai,Amanda Merkelson,Anne E. Justice,Kristin L. Young,Misa Graff,Kari E. North,Ulrike Peters,Regina James,Lucia A. Hindorff,Ruth Kornreich,Lisa Edelmann,Omri Gottesman,Eli Stahl,Judy H. Cho,Ruth J. F. Loos,Erwin P. Böttinger,Girish N. Nadkarni,Noura S. Abul‐Husn,Eimear E. Kenny","Mendelian inheritance,Pedigree chart,Disease,Genetics,Locus (genetics),Biobank,Genomics,Biology"
SM1087381,R2DT,"https://github.com/r2dt-bio/r2dt,https://r2dt.bio/",,,True,10.3390/ijms22094686,"Both predicted structures were generated by R2DT using the lysine riboswitch template provided by Rfam [39,40].","https://openalex.org/A5047303066,https://openalex.org/A5035665980,https://openalex.org/A5007163296","Marta Irla,Sigrid Hakvåg,Trygve Brautaset","Riboswitch,Biology,Bacillus subtilis,Promoter,Computational biology,Gene,Transcriptome"
SM1087381,R2DT,"https://cran.r-project.org/package=R2DT,",,,False,10.3390/ijms22094686,"Both predicted structures were generated by R2DT using the lysine riboswitch template provided by Rfam [39,40].","https://openalex.org/A5047303066,https://openalex.org/A5035665980,https://openalex.org/A5007163296","Marta Irla,Sigrid Hakvåg,Trygve Brautaset","Riboswitch,Biology,Bacillus subtilis,Promoter,Computational biology,Gene,Transcriptome"
SM109861,linprog,"https://cran.r-project.org/package=linprog,http://linprog.r-forge.r-project.org/",,,False,10.1371/journal.pcbi.1000489,"Since the linear programming tool linprog in matlab minimizes cTv, the coefficients of c were chosen to be negative so that the optimization maximizes (−cTv), namely the weighted flux creating mycolic acids","https://openalex.org/A5091754800,https://openalex.org/A5031335981,https://openalex.org/A5015978856,https://openalex.org/A5023722931,https://openalex.org/A5034798965,https://openalex.org/A5056381174,https://openalex.org/A5051574993,https://openalex.org/A5017527950,https://openalex.org/A5016585931,https://openalex.org/A5056863747","Caroline Colijn,Aaron Brandes,Jeremy Zucker,Desmond S. Lun,Brian Weiner,Maha Farhat,Tan‐Yun Cheng,D. Branch Moody,Megan Murray,James E. Galagan","Mycolic acid,Flux balance analysis,Flux (metallurgy),Mycobacterium tuberculosis,Compendium"
SM109861,linprog,"https://cran.r-project.org/package=linprog,http://linprog.r-forge.r-project.org/",,,False,10.1007/s10100-017-0499-2,The MatLab solvers linprog and quadprog were used,https://openalex.org/A5023776719,Immanuel M. Bomze,"Factorization,Mathematics,Embedding,Dimension (graph theory),Matrix decomposition,Matrix (chemical analysis),Combinatorics"
SM109861,linprog,"https://cran.r-project.org/package=linprog,http://linprog.r-forge.r-project.org/",,,False,10.1186/1752-0509-7-129,"Users can specify the stoichiometric matrix, the objective function, and the desired bounds in generic linear optimization programs such as GNU Linear Programming Kit (GLPK) and linprog (a linear optimization toolbox within MATLAB), or with a tool such as the COBRA Toolbox [23]","https://openalex.org/A5004830914,https://openalex.org/A5089902375,https://openalex.org/A5004110849,https://openalex.org/A5048817284","Mona Yousofshahi,Ehsan Ullah,Russell Stern,Soha Hassoun","Computer science,Consistency (knowledge bases),SBML,Constraint (computer-aided design)"
