ID,software_mention,mapped_to,package_url,homepage_url,other_urls,github_repo,exact_match,doi,paragraph
SM113243,rmarkdown,rmarkdown,https://cran.r-project.org/web/packages/rmarkdown/index.html,"['https://github.com/rstudio/rmarkdown', 'https://pkgs.rstudio.com/rmarkdown/']",,https://github.com/rstudio/rmarkdown,True,10.1371/journal.pone.0233309,"The simulations and power calculation were carried out using RStudio version 1.1.463 and the ggplot2, scales, knitr, rmarkdown and pwr packages [18–23]."
SM113243,rmarkdown,rmarkdown,https://cran.r-project.org/web/packages/rmarkdown/index.html,"['https://github.com/rstudio/rmarkdown', 'https://pkgs.rstudio.com/rmarkdown/']",,https://github.com/rstudio/rmarkdown,True,10.1371/journal.pone.0243295,1.28; [75–77]) and rmarkdown (v
SM113243,rmarkdown,rmarkdown,https://cran.r-project.org/web/packages/rmarkdown/index.html,"['https://github.com/rstudio/rmarkdown', 'https://pkgs.rstudio.com/rmarkdown/']",,https://github.com/rstudio/rmarkdown,True,10.1371/journal.pone.0212390,"There are also templates for optional style customization files, style.css and styles.docx, which rmarkdown can utilize to style rendered .html and .docx files, respectively [10]"
SM113243,rmarkdown,rmarkdown,https://cran.r-project.org/web/packages/rmarkdown/index.html,"['https://github.com/rstudio/rmarkdown', 'https://pkgs.rstudio.com/rmarkdown/']",,https://github.com/rstudio/rmarkdown,True,10.1038/s41598-019-42713-w,1.20 (refs) and rmarkdown v
SM113243,rmarkdown,rmarkdown,https://cran.r-project.org/web/packages/rmarkdown/index.html,"['https://github.com/rstudio/rmarkdown', 'https://pkgs.rstudio.com/rmarkdown/']",,https://github.com/rstudio/rmarkdown,True,10.12688/f1000research.22259.1,"This article and the analyses were performed with R ( R Core Team, 2019) using the rmarkdown ( Allaire ), and knitr ( Xie, 2019; Xie, 2015) packages."
SM113243,rmarkdown,rmarkdown,https://cran.r-project.org/web/packages/rmarkdown/index.html,"['https://github.com/rstudio/rmarkdown', 'https://pkgs.rstudio.com/rmarkdown/']",,https://github.com/rstudio/rmarkdown,True,10.7717/peerj.11757,"The data for all gene regions were analysed in R using the vegan package (R version 3.4.4; Oksanen et al., 2019) and rmarkdown (Xie, Allaire & Grolemund, 2018) to estimate the Sørensen index (Sørensen, 1948; based on presence-absence) and Euclidean distance (based on read abundance equalized per sample) to quantify the compositional dissimilarity among samples"
SM113243,rmarkdown,rmarkdown,https://cran.r-project.org/web/packages/rmarkdown/index.html,"['https://github.com/rstudio/rmarkdown', 'https://pkgs.rstudio.com/rmarkdown/']",,https://github.com/rstudio/rmarkdown,True,10.5334/joc.161,"All analyses used R version 3.6.2 (R Core Team, 2019) with the following add-on packages: tidyverse 1.3.0 (Wickham et al., 2019) for data wrangling and visualisation, ordinal 2019.12.10 (Christensen, 2019) for fitting cumulative link mixed models, emmeans 1.4.5 (Lenth, 2020) for follow-up analyses and equivalence tests, and rmarkdown 2.1 (Allaire et al., 2020) for compiling the analysis script"
SM113243,rmarkdown,rmarkdown,https://cran.r-project.org/web/packages/rmarkdown/index.html,"['https://github.com/rstudio/rmarkdown', 'https://pkgs.rstudio.com/rmarkdown/']",,https://github.com/rstudio/rmarkdown,True,10.1186/s40359-021-00534-5,All analyses were performed using the R language with packages ggplot2 and rmarkdown; using the SPSS software version 22;
SM113243,rmarkdown,rmarkdown,https://cran.r-project.org/web/packages/rmarkdown/index.html,"['https://github.com/rstudio/rmarkdown', 'https://pkgs.rstudio.com/rmarkdown/']",,https://github.com/rstudio/rmarkdown,True,10.3389/fmolb.2021.635074,"The final, user-friendly HTML reports were produced using R markdown packages rmarkdown 2.6, knitr 1.30 and kableExtra 1.3.1."
SM113243,rmarkdown,rmarkdown,https://cran.r-project.org/web/packages/rmarkdown/index.html,"['https://github.com/rstudio/rmarkdown', 'https://pkgs.rstudio.com/rmarkdown/']",,https://github.com/rstudio/rmarkdown,True,10.1038/s41398-021-01596-0,"All data analysis was performed in RStudio [17] using packages base, stats, exact2x2, tidyverse, rlang, ggsignif, ggrepel, pheatmap, UpSetR, cowplot, egg, and rmarkdown."
