ID,software_mention,mapped_to,platform,package_url,homepage_url,other_urls,github_repo,exact_match,doi,paragraph
SM1007,Ruler,Ruler,,https://github.com/bobthecow/Ruler,,,https://github.com/bobthecow/Ruler,True,10.1155/2014/198069,"Acoustic analyses were performed on ten calls per animal, using Sound Ruler 0.937b (http://soundruler.sourceforge.net)"
SM1007,Ruler,Ruler,,https://github.com/bobthecow/Ruler,,,https://github.com/bobthecow/Ruler,True,10.16910/jemr.12.4.5,Bernell Accommodation Ruler with tick mark modification.
SM1007,Ruler,Ruler,,https://github.com/bobthecow/Ruler,,,https://github.com/bobthecow/Ruler,True,10.1186/s12890-017-0497-0,"We calculated 21-item UCSD scores for subjects in the current study: the Dyspnea Ruler would predict that, at baseline, subjects not prescribed O2 during the course of the study would have described moderate dyspnea for the UCSD item “How short of breath do you get walking up a hill?” (i.e., they would have an equal probability of responding “2” or “3” on the 0-5 scale)"
SM1007,Ruler,Ruler,,https://github.com/bobthecow/Ruler,,,https://github.com/bobthecow/Ruler,True,10.2196/18640,Motivational readiness for adherence to PrEP and PrEP-related medical visits was assessed using Rollnick’s Readiness Ruler [64]
SM1007,Ruler,Ruler,,https://github.com/bobthecow/Ruler,,,https://github.com/bobthecow/Ruler,True,10.1007/s12529-016-9618-z," The Readiness Ruler consists of a Visual Analog Scale (VAS), where users give their responses on a scale of 0–10 in relation to the statements “I am not ready to change my drinking habits” (0) and “I am very much ready to change my drinking habits” (10)"
SM1044,Gblocks,Gblocks,,https://github.com/atmaivancevic/Gblocks,,,https://github.com/atmaivancevic/Gblocks,True,10.1186/gb-2013-14-3-r28,"To remove biases associated with poor alignments, translated sequences were masked with SEG [103] and corresponding masked codons were removed; poorly aligned columns were also removed using Gblocks [104]."
SM1044,Gblocks,Gblocks,,https://github.com/atmaivancevic/Gblocks,,,https://github.com/atmaivancevic/Gblocks,True,10.1186/s12862-019-1563-4,Ambiguously aligned characters were removed from each alignment using Gblocks [52] with least stringent parameters.
SM1044,Gblocks,Gblocks,,https://github.com/atmaivancevic/Gblocks,,,https://github.com/atmaivancevic/Gblocks,True,10.1186/s13068-019-1457-0,"All sequences were named according to the CDH clade to which they belonged in the dehydrogenase domain tree (CDH I, CDH II, or CDH III), then re-aligned by MAFFT v7.271, with uninformative sites removed from the alignment using Gblocks 0.91b with less stringent criteria as described above"
SM1044,Gblocks,Gblocks,,https://github.com/atmaivancevic/Gblocks,,,https://github.com/atmaivancevic/Gblocks,True,10.1186/1471-2148-10-117,"containing gaps and/or are poorly aligned) were removed with Gblocks (v0.91b, [39]) using the following parameters: minimum length of a block after gap cleaning = 10; no gap positions were allowed in the final alignment; all segments with contiguous nonconserved positions bigger than 8 were rejected; minimum number of sequences for a flank position = 85%"
SM1044,Gblocks,Gblocks,,https://github.com/atmaivancevic/Gblocks,,,https://github.com/atmaivancevic/Gblocks,True,10.1093/gbe/evv187,Aligned ortholog gene families were postprocessed to filter putative nonreliable positions using Gblocks (Castresana 2000).
SM105,VOSviewer,VOSviewer,,https://github.com/emmolb/VOSviewer,,,https://github.com/emmolb/VOSviewer,True,10.3390/ijerph17134729,"Thereby, modularity-based clustering of VOSviewer provides networks where nodes are densely connected internally within groups, but without external connection between different groups"
SM105,VOSviewer,VOSviewer,,https://github.com/emmolb/VOSviewer,,,https://github.com/emmolb/VOSviewer,True,10.1186/s13023-019-1215-1,Clusters of related articles identified in VOSviewer
SM105,VOSviewer,VOSviewer,,https://github.com/emmolb/VOSviewer,,,https://github.com/emmolb/VOSviewer,True,10.26633/RPSP.2021.55,VOSviewer ® v.1.6.13 was used to construct bibliometric networks for country co-authorships and co-occurrence of terms
SM105,VOSviewer,VOSviewer,,https://github.com/emmolb/VOSviewer,,,https://github.com/emmolb/VOSviewer,True,10.1177/15562646211002744,A cocitation map of author affiliations with at least 10 publications with 10 citations each was constructed using VOSviewer 1.6.14 and is shown in Figure 1
SM105,VOSviewer,VOSviewer,,https://github.com/emmolb/VOSviewer,,,https://github.com/emmolb/VOSviewer,True,10.1590/1980-57642021dn15-020003,"The development of the co-authorship country research collaboration in CCS and PWD is presented in the Figure 3 distributed by degree of centrality, using VOSviewer"
SM1072,GNOMON,GNOMON,,https://github.com/nicoguich/GNOMON,,,https://github.com/nicoguich/GNOMON,True,10.1007/s13205-011-0013-9,These were derived from annotated genomic sequences using the gene prediction method: GNOMON and predicted sequences with high similarity scores for many of the vertebrate LIPA and CH25H genes and proteins examined (see Table 1)
SM1072,GNOMON,GNOMON,,https://github.com/nicoguich/GNOMON,,,https://github.com/nicoguich/GNOMON,True,10.1038/s42003-020-01608-7,Annotations of 421 genomes automatically annotated with the NCBI eukaryotic gene prediction tool GNOMON were downloaded from the NCBI
SM1072,GNOMON,GNOMON,,https://github.com/nicoguich/GNOMON,,,https://github.com/nicoguich/GNOMON,True,10.1186/1741-7007-7-7,"In addition to the long and readily detectable exons encoding the N-terminal RBB and C-terminal B30.2 domains, middle exons could be predicted for the majority of genes, with the help of our subsequent RACE analysis (see below) and with GNOMON-predicted sequences deposited in Genbank"
