id,name,doi,paragraph,authors_oa,authors,field/topic/keywords,url (ground truth),reference,annotator,comments,candidate_urls,probability (ground truth)
1,sklearn,10.1107/S2059798318005752,The coefficient and intercept were determined by the ‘LogisticRegression’ module in sklearn (http://www.scikit-learn.org),"https://openalex.org/A5077089766,https://openalex.org/A5061781296,https://openalex.org/A5082040267,https://openalex.org/A5088902146,https://openalex.org/A5028801665,https://openalex.org/A5059641441,https://openalex.org/A5032708452,https://openalex.org/A5089365419,https://openalex.org/A5000886409,https://openalex.org/A5035963236,https://openalex.org/A5054947471,https://openalex.org/A5032777022,https://openalex.org/A5083751887,https://openalex.org/A5048105013,https://openalex.org/A5024767959,https://openalex.org/A5020751117","Adam J Simpkin,Felix Šimkovic,Jens M. H. Thomas,Martin Savko,А. А. Лебедев,Ville Uski,Clive Ballard,Marcin Wojdyr,Rui Wu,Ruslan Sanishvili,Yibin Xu,María‐Natalia Lisa,Alejandro Buschiazzo,William Shepard,Daniel J. Rigden,Ronan Keegan","Molecular replacement,Pipeline (software),Protein Data Bank (RCSB PDB),Computer science,Sequence (biology),Algorithm,Protein Data Bank,Set (abstract data type)",https://github.com/scikit-learn/scikit-learn,,DanielGarijo,,https://github.com/scikit-learn/scikit-learn,1
2,sklearn,10.1002/advs.201903392,"SHAP was implemented using the shap package in Python 3.7.[ ] Regression models were generated using random forest and XGBoost, using the packages sklearn and xgboost in Python 3.7","https://openalex.org/A5086106775,https://openalex.org/A5051446557,https://openalex.org/A5023556737,https://openalex.org/A5052952602,https://openalex.org/A5050765673,https://openalex.org/A5032492321,https://openalex.org/A5053599027,https://openalex.org/A5080383386,https://openalex.org/A5017730248,https://openalex.org/A5076173216,https://openalex.org/A5058224640,https://openalex.org/A5019725924,https://openalex.org/A5004331670","Matthew Vassey,Grazziela P. Figueredo,David J. Scurr,Aliaksei Vasilevich,Steven Vermeulen,Aurélie Carlier,Jeni Luckett,Nick R. M. Beijer,Paul Williams,David A. Winkler,Jan de Boer,Amir M. Ghaemmaghami,Morgan R. Alexander","Macrophage,Phenotype,Immune system,Rational design,Monocyte,Cell biology",https://github.com/scikit-learn/scikit-learn,,DanielGarijo,,https://github.com/scikit-learn/scikit-learn,1
3,sklearn,10.18632/aging.203447,Analyses were performed using the sklearn (version 0.20.3) and lifelines (version 0.19.5) packages in python.,"https://openalex.org/A5014005059,https://openalex.org/A5081086157,https://openalex.org/A5080026350,https://openalex.org/A5085869644,https://openalex.org/A5081875263,https://openalex.org/A5013113087","Ted Kheng Siang Ng,David B. Matchar,Timothy V. Pyrkov,П. О. Федичев,Angelique Chan,Brian K. Kennedy","Socioeconomic status,Demography,Body mass index,Gerontology",https://github.com/scikit-learn/scikit-learn,,DanielGarijo,,https://github.com/scikit-learn/scikit-learn,1
4,sklearn,10.1111/acel.13320,The age prediction models use an elastic net regression as implemented by Pythons’ sklearn,"https://openalex.org/A5065810922,https://openalex.org/A5062040602","David Meyer,Björn Schumacher","Biology,Transcriptome,Epigenetics,Caenorhabditis elegans,DNA methylation,Longevity,Genetics,Computational biology",https://github.com/scikit-learn/scikit-learn,,DanielGarijo,,https://github.com/scikit-learn/scikit-learn,1
5,sklearn,10.1186/s13195-021-00874-9,Statistical analyses were performed using Python (version 3.7.3) and the sklearn package (version 0.21.3),"https://openalex.org/A5077097282,https://openalex.org/A5056098144,https://openalex.org/A5090687686,https://openalex.org/A5026111741,https://openalex.org/A5081121858","Samantha Prins,Ahnjili Zhuparris,Ellen P. Hart,Robert Doll,Geert Jan Groeneveld","Medicine,Logistic regression,Biomarker,Internal medicine",https://github.com/scikit-learn/scikit-learn,,DanielGarijo,,https://github.com/scikit-learn/scikit-learn,1
6,sklearn Python package,10.1016/j.patter.2021.100270,"The Equations 1.5 and 1.6 were estimated using the Linear model function implemented in the sklearn Python package, using default parameters","https://openalex.org/A5056041405,https://openalex.org/A5029016164,https://openalex.org/A5016018407,https://openalex.org/A5000345935,https://openalex.org/A5042241049","Chinedu Anthony Anene,Faraz Khan,Findlay Bewicke-Copley,Eleni Maniati,Jun Wang","Computational biology,Computer science",https://github.com/scikit-learn/scikit-learn,,DanielGarijo,,https://github.com/scikit-learn/scikit-learn,1
7,sklearn Python package,10.7717/peerj.10501,"The feature vector values were scaled from 0.0 to 1.0 using the minmaxscaler in the sklearn Python package (Pedregosa et al., 2011)","https://openalex.org/A5027368263,https://openalex.org/A5046499791,https://openalex.org/A5049097389,https://openalex.org/A5029694747,https://openalex.org/A5071271868,https://openalex.org/A5044044438","Eliot Cline,Nuttachat Wisittipanit,Tossapon Boongoen,Ekachai Chukeatirote,D. Struss,A. Eungwanichayapant","Quality Score,Computer science",https://github.com/scikit-learn/scikit-learn,,DanielGarijo,,https://github.com/scikit-learn/scikit-learn,1
8,sklearn Python package,10.1016/j.cub.2020.04.042,The network was trained using the backpropagation algorithm and weights were optimized using a stochastic gradient-based solver with adaptive momentum estimation via the sklearn Python package [78].,"https://openalex.org/A5027138388,https://openalex.org/A5053583655,https://openalex.org/A5090328574","Arne F. Meyer,John O’Keefe,Jasper Poort","Eye movement,Saccadic masking,Gaze,Saccade,Fixation (population genetics),Head (geology)",https://github.com/scikit-learn/scikit-learn,,DanielGarijo,,https://github.com/scikit-learn/scikit-learn,1
9,sklearn Python package,10.1128/mSystems.00164-16,The multidimensional scaling plots were computed with the sklearn Python package (83).,"https://openalex.org/A5023870348,https://openalex.org/A5029083455,https://openalex.org/A5015174011,https://openalex.org/A5019607564,https://openalex.org/A5005465280,https://openalex.org/A5090565505,https://openalex.org/A5083673722,https://openalex.org/A5039299077,https://openalex.org/A5009616165,https://openalex.org/A5039663129,https://openalex.org/A5068576885","Francesco Asnicar,Serena Manara,Moreno Zolfo,Duy Tin Truong,Matthias Scholz,Federica Armanini,Pamela Ferretti,Valentina Gorfer,Anna Pedrotti,Adrian Tett,Nicola Segata","Microbiome,Metagenomics,Biology,Bifidobacterium",https://github.com/scikit-learn/scikit-learn,,DanielGarijo,,https://github.com/scikit-learn/scikit-learn,1
10,Python package sklearn,10.1186/s12916-020-01748-x,"We tested gene signatures using the test set, and ROC curves were generated to compute performance metrics using the Python package sklearn.metrics.roc_curve [29]⁠","https://openalex.org/A5074140284,https://openalex.org/A5020090599,https://openalex.org/A5077316921,https://openalex.org/A5047053859,https://openalex.org/A5082027663,https://openalex.org/A5073866973","Hoang Dong Nguyen,Andréa Allaire,Phedias Diamandis,Martin Bisaillon,Michelle S. Scott,Maxime Richer","Glioma,Isocitrate dehydrogenase",https://github.com/scikit-learn/scikit-learn,,DanielGarijo,,https://github.com/scikit-learn/scikit-learn,1
