id,name,doi,paragraph,authors,field/topic/keywords,url (ground truth),candidate_urls,probability (ground truth),metadata_name,metadata_authors,metadata_keywords,metadata_description,name_metric,author_metric,paragraph_metric,keywords_metric
2,sklearn,10.1107/S2059798318005752,The coefficient and intercept were determined by the ‘LogisticRegression’ module in sklearn (http://www.scikit-learn.org),"Adam J Simpkin,Felix Šimkovic,Jens M. H. Thomas,Martin Savko,А. А. Лебедев,Ville Uski,Clive Ballard,Marcin Wojdyr,Rui Wu,Ruslan Sanishvili,Yibin Xu,María‐Natalia Lisa,Alejandro Buschiazzo,William Shepard,Daniel J. Rigden,Ronan Keegan","Molecular replacement,Pipeline (software),Protein Data Bank (RCSB PDB),Computer science,Sequence (biology),Algorithm,Protein Data Bank,Set (abstract data type)","https://github.com/scikit-learn/scikit-learn,https://pypi.org/project/scikit-learn/",https://pypi.org/project/scikit-learn/,1,scikit-learn,,"5 - Production/Stable, Developers, Science/Research, OSI Approved, BSD License, MacOS, Microsoft, Windows, POSIX, Unix, C, Python, 3, 3.10, 3.11, 3.12, 3.13, 3.9, Implementation, CPython, Scientific/Engineering, Software Development",A set of python modules for machine learning and data mining,0.875,0.0,0.10315540432929993,0.2593240737915039
4,sklearn,10.1002/advs.201903392,"SHAP was implemented using the shap package in Python 3.7.[ ] Regression models were generated using random forest and XGBoost, using the packages sklearn and xgboost in Python 3.7","Matthew Vassey,Grazziela P. Figueredo,David J. Scurr,Aliaksei Vasilevich,Steven Vermeulen,Aurélie Carlier,Jeni Luckett,Nick R. M. Beijer,Paul Williams,David A. Winkler,Jan de Boer,Amir M. Ghaemmaghami,Morgan R. Alexander","Macrophage,Phenotype,Immune system,Rational design,Monocyte,Cell biology","https://github.com/scikit-learn/scikit-learn,https://pypi.org/project/scikit-learn/",https://pypi.org/project/scikit-learn/,1,scikit-learn,,"5 - Production/Stable, Developers, Science/Research, OSI Approved, BSD License, MacOS, Microsoft, Windows, POSIX, Unix, C, Python, 3, 3.10, 3.11, 3.12, 3.13, 3.9, Implementation, CPython, Scientific/Engineering, Software Development",A set of python modules for machine learning and data mining,0.875,0.0,0.454778790473938,0.01562720164656639
6,sklearn,10.18632/aging.203447,Analyses were performed using the sklearn (version 0.20.3) and lifelines (version 0.19.5) packages in python.,"Ted Kheng Siang Ng,David B. Matchar,Timothy V. Pyrkov,П. О. Федичев,Angelique Chan,Brian K. Kennedy","Socioeconomic status,Demography,Body mass index,Gerontology","https://github.com/scikit-learn/scikit-learn,https://pypi.org/project/scikit-learn/",https://pypi.org/project/scikit-learn/,1,scikit-learn,,"5 - Production/Stable, Developers, Science/Research, OSI Approved, BSD License, MacOS, Microsoft, Windows, POSIX, Unix, C, Python, 3, 3.10, 3.11, 3.12, 3.13, 3.9, Implementation, CPython, Scientific/Engineering, Software Development",A set of python modules for machine learning and data mining,0.875,0.0,0.5028712749481201,0.021929459646344185
8,sklearn,10.1111/acel.13320,The age prediction models use an elastic net regression as implemented by Pythons’ sklearn,"David Meyer,Björn Schumacher","Biology,Transcriptome,Epigenetics,Caenorhabditis elegans,DNA methylation,Longevity,Genetics,Computational biology","https://github.com/scikit-learn/scikit-learn,https://pypi.org/project/scikit-learn/",https://pypi.org/project/scikit-learn/,1,scikit-learn,,"5 - Production/Stable, Developers, Science/Research, OSI Approved, BSD License, MacOS, Microsoft, Windows, POSIX, Unix, C, Python, 3, 3.10, 3.11, 3.12, 3.13, 3.9, Implementation, CPython, Scientific/Engineering, Software Development",A set of python modules for machine learning and data mining,0.875,0.0,0.3115929365158081,0.1709679514169693
10,sklearn,10.1186/s13195-021-00874-9,Statistical analyses were performed using Python (version 3.7.3) and the sklearn package (version 0.21.3),"Samantha Prins,Ahnjili Zhuparris,Ellen P. Hart,Robert Doll,Geert Jan Groeneveld","Medicine,Logistic regression,Biomarker,Internal medicine","https://github.com/scikit-learn/scikit-learn,https://pypi.org/project/scikit-learn/",https://pypi.org/project/scikit-learn/,1,scikit-learn,,"5 - Production/Stable, Developers, Science/Research, OSI Approved, BSD License, MacOS, Microsoft, Windows, POSIX, Unix, C, Python, 3, 3.10, 3.11, 3.12, 3.13, 3.9, Implementation, CPython, Scientific/Engineering, Software Development",A set of python modules for machine learning and data mining,0.875,0.0,0.46859505772590637,0.07249519973993301
12,sklearn Python package,10.1016/j.patter.2021.100270,"The Equations 1.5 and 1.6 were estimated using the Linear model function implemented in the sklearn Python package, using default parameters","Chinedu Anthony Anene,Faraz Khan,Findlay Bewicke-Copley,Eleni Maniati,Jun Wang","Computational biology,Computer science","https://github.com/scikit-learn/scikit-learn,https://pypi.org/project/scikit-learn/",https://pypi.org/project/scikit-learn/,1,scikit-learn,,"5 - Production/Stable, Developers, Science/Research, OSI Approved, BSD License, MacOS, Microsoft, Windows, POSIX, Unix, C, Python, 3, 3.10, 3.11, 3.12, 3.13, 3.9, Implementation, CPython, Scientific/Engineering, Software Development",A set of python modules for machine learning and data mining,0.6085858585858586,0.0,0.26314452290534973,0.31859785318374634
14,sklearn Python package,10.7717/peerj.10501,"The feature vector values were scaled from 0.0 to 1.0 using the minmaxscaler in the sklearn Python package (Pedregosa et al., 2011)","Eliot Cline,Nuttachat Wisittipanit,Tossapon Boongoen,Ekachai Chukeatirote,D. Struss,A. Eungwanichayapant","Quality Score,Computer science","https://github.com/scikit-learn/scikit-learn,https://pypi.org/project/scikit-learn/",https://pypi.org/project/scikit-learn/,1,scikit-learn,,"5 - Production/Stable, Developers, Science/Research, OSI Approved, BSD License, MacOS, Microsoft, Windows, POSIX, Unix, C, Python, 3, 3.10, 3.11, 3.12, 3.13, 3.9, Implementation, CPython, Scientific/Engineering, Software Development",A set of python modules for machine learning and data mining,0.6085858585858586,0.0,0.28713858127593994,0.3309438228607178
16,sklearn Python package,10.1016/j.cub.2020.04.042,The network was trained using the backpropagation algorithm and weights were optimized using a stochastic gradient-based solver with adaptive momentum estimation via the sklearn Python package [78].,"Arne F. Meyer,John O’Keefe,Jasper Poort","Eye movement,Saccadic masking,Gaze,Saccade,Fixation (population genetics),Head (geology)","https://github.com/scikit-learn/scikit-learn,https://pypi.org/project/scikit-learn/",https://pypi.org/project/scikit-learn/,1,scikit-learn,,"5 - Production/Stable, Developers, Science/Research, OSI Approved, BSD License, MacOS, Microsoft, Windows, POSIX, Unix, C, Python, 3, 3.10, 3.11, 3.12, 3.13, 3.9, Implementation, CPython, Scientific/Engineering, Software Development",A set of python modules for machine learning and data mining,0.6085858585858586,0.0,0.32226675748825073,0.07660628110170364
18,sklearn Python package,10.1128/mSystems.00164-16,The multidimensional scaling plots were computed with the sklearn Python package (83).,"Francesco Asnicar,Serena Manara,Moreno Zolfo,Duy Tin Truong,Matthias Scholz,Federica Armanini,Pamela Ferretti,Valentina Gorfer,Anna Pedrotti,Adrian Tett,Nicola Segata","Microbiome,Metagenomics,Biology,Bifidobacterium","https://github.com/scikit-learn/scikit-learn,https://pypi.org/project/scikit-learn/",https://pypi.org/project/scikit-learn/,1,scikit-learn,,"5 - Production/Stable, Developers, Science/Research, OSI Approved, BSD License, MacOS, Microsoft, Windows, POSIX, Unix, C, Python, 3, 3.10, 3.11, 3.12, 3.13, 3.9, Implementation, CPython, Scientific/Engineering, Software Development",A set of python modules for machine learning and data mining,0.6085858585858586,0.0,0.3678949475288391,0.11573531478643417
20,Python package sklearn,10.1186/s12916-020-01748-x,"We tested gene signatures using the test set, and ROC curves were generated to compute performance metrics using the Python package sklearn.metrics.roc_curve [29]⁠","Hoang Dong Nguyen,Andréa Allaire,Phedias Diamandis,Martin Bisaillon,Michelle S. Scott,Maxime Richer","Glioma,Isocitrate dehydrogenase","https://github.com/scikit-learn/scikit-learn,https://pypi.org/project/scikit-learn/",https://pypi.org/project/scikit-learn/,1,scikit-learn,,"5 - Production/Stable, Developers, Science/Research, OSI Approved, BSD License, MacOS, Microsoft, Windows, POSIX, Unix, C, Python, 3, 3.10, 3.11, 3.12, 3.13, 3.9, Implementation, CPython, Scientific/Engineering, Software Development",A set of python modules for machine learning and data mining,0.5715488215488216,0.0,0.3709643483161926,0.0708903819322586
