id,name,doi,paragraph,authors,field/topic/keywords,url (ground truth),candidate_urls,probability_ranked
7,(STAR,10.1038/s41598-021-86032-5,"Then, the high-quality reads were aligned to the reference genome (hg19) using Spliced Transcripts Alignment to a Reference (STAR) with the parameter –quantMode GeneCounts for gene-level quantification and otherwise default parameters","Timothy Warwick,Marcel H. Schulz,Stefan Günther,Ralf Gilsbach,Antonio Neme,Carsten Carlberg,Ralf P. Brandes,Sabine Seuter","Calcitriol receptor,Transcription factor,Biology,Transcriptome,ETS1",https://github.com/alexdobin/STAR,"['https://github.com/alexdobin/STAR', 'https://cran.r-project.org/package=STAREG', 'https://cran.r-project.org/package=STARTS', 'https://cran.r-project.org/package=SAR', 'https://cran.r-project.org/package=TAR', 'https://cran.r-project.org/package=STAT']","[1.0, 0.9333333333333332, 0.9333333333333332, 0.925, 0.9166666666666666, 0.8833333333333334]"
16,(STAR,10.3389/fphys.2020.623190,"Next, the two reads per sample (R1 and R2) were mapped to the mouse reference genome (build GRCm38/mm10) using Spliced Transcripts Alignment to a Reference (STAR version 2.6.1) (Dobin et al., 2013)","Marta Pérez-Hernández,Grecia M Marrón-Liñares,Florencia Schlamp,Adriana Heguy,Chantal J.M. van Opbergen,Valeria Mezzano,Mingliang Zhang,Feng-Xia Liang,Marina Cerrone,Mario Delmar","Transcriptome,Myocyte,Biology,Inflammation",https://github.com/alexdobin/STAR,"['https://github.com/alexdobin/STAR', 'https://cran.r-project.org/package=STAREG', 'https://cran.r-project.org/package=STARTS', 'https://cran.r-project.org/package=SAR', 'https://cran.r-project.org/package=TAR', 'https://cran.r-project.org/package=STAT']","[1.0, 0.9333333333333332, 0.9333333333333332, 0.925, 0.9166666666666666, 0.8833333333333334]"
27,ABBYY,10.1109/JTEHM.2019.2935451,"A 4-sample test for equality of proportions showed that the overall successful search rate differed significantly between the OCR engines (, df = 3, p < 0.001), with ML Kit and Rekognition having a significantly higher overall success rate than Azure OCR and ABBYY RTR (p < 0.001 for all multiple pairwise comparison with Bonferroni correction)","Shrinivas Pundlik,Anikait Singh,Gautam Baghel,Vilte Baliutaviciute,Gang Luo","Computer science,Computer vision,Visual search,Mobile device,Optical character recognition,Information retrieval,Reading (process)","https://pypi.org/project/ABBYY/,https://github.com/samueltc/ABBYY","['https://github.com/samueltc/ABBYY', 'https://pypi.org/project/ABBYY/', 'https://github.com/gojiplus/abbyyR', 'https://github.com/dannguyen/abbyy-finereader-ocr-senate', 'https://cran.r-project.org/package=GABB', 'https://github.com/abbyy/ocrsdk.com', 'https://github.com/abbyy/RTR-SDK.Android', 'https://github.com/abbyy/barcode_detection_benchmark']","[1.0, 1.0, 0.9666666666666668, 0.837037037037037, 0.7833333333333333, 0.5466666666666667, 0.5466666666666667, 0.5466666666666667]"
40,ABBYY,10.1109/JTEHM.2019.2935451,"Four different OCR Engines that can be implemented via an API were evaluated to determine the accuracy and usability of each engine: Google Machine Learning Kit (ML Kit) [26], Microsoft Azure’s Cognitive Services (Azure OCR) [27], ABBYY’s Real Time Recognition SDK (ABBY RTR) [28], and Amazon’s Rekognition SDK (Rekognition) [29]","Shrinivas Pundlik,Anikait Singh,Gautam Baghel,Vilte Baliutaviciute,Gang Luo","Computer science,Computer vision,Visual search,Mobile device,Optical character recognition,Information retrieval,Reading (process)","https://pypi.org/project/ABBYY/,https://github.com/samueltc/ABBYY","['https://github.com/samueltc/ABBYY', 'https://pypi.org/project/ABBYY/', 'https://github.com/gojiplus/abbyyR', 'https://github.com/dannguyen/abbyy-finereader-ocr-senate', 'https://cran.r-project.org/package=GABB', 'https://github.com/abbyy/ocrsdk.com', 'https://github.com/abbyy/RTR-SDK.Android', 'https://github.com/abbyy/barcode_detection_benchmark']","[1.0, 1.0, 0.9666666666666668, 0.837037037037037, 0.7833333333333333, 0.7009502649307251, 0.5466666666666667, 0.5466666666666667]"
53,ABBYY,10.1109/JTEHM.2019.2935451,"Successful search rate at zoom level differed significantly between the 4 OCR engines (, df = 3, p < 0.001), with ML Kit being the most successful in detecting keywords without needing to zoom in, followed by Rekognition, Azure OCR, and ABBYY RTR","Shrinivas Pundlik,Anikait Singh,Gautam Baghel,Vilte Baliutaviciute,Gang Luo","Computer science,Computer vision,Visual search,Mobile device,Optical character recognition,Information retrieval,Reading (process)","https://pypi.org/project/ABBYY/,https://github.com/samueltc/ABBYY","['https://github.com/samueltc/ABBYY', 'https://pypi.org/project/ABBYY/', 'https://github.com/gojiplus/abbyyR', 'https://github.com/dannguyen/abbyy-finereader-ocr-senate', 'https://cran.r-project.org/package=GABB', 'https://github.com/abbyy/ocrsdk.com', 'https://github.com/abbyy/RTR-SDK.Android', 'https://github.com/abbyy/barcode_detection_benchmark']","[1.0, 1.0, 0.9666666666666668, 0.837037037037037, 0.7833333333333333, 0.5601584315299988, 0.5466666666666667, 0.5466666666666667]"
66,ABBYY,10.1186/s13637-017-0057-1,"Hand-writing recognition is a well-established problem and we have experimented with different resources including Omnipage Capture SDK [18], Captricity [19], and ABBYY [20], which to the best of our knowledge are among the best tools in the market for recognizing hand-written letters and have been widely used in recognizing and transforming documents into usable digital forms [21]","Jianbo Yuan,Chester Holtz,Tristram Smith,Jiebo Luo","Autism spectrum disorder,Autism,Computer science,Preprocessor,Recall,Intervention (counseling)","https://pypi.org/project/ABBYY/,https://github.com/samueltc/ABBYY","['https://github.com/samueltc/ABBYY', 'https://pypi.org/project/ABBYY/', 'https://github.com/gojiplus/abbyyR', 'https://github.com/dannguyen/abbyy-finereader-ocr-senate', 'https://cran.r-project.org/package=GABB', 'https://github.com/abbyy/ocrsdk.com', 'https://github.com/abbyy/RTR-SDK.Android', 'https://github.com/abbyy/barcode_detection_benchmark']","[1.0, 1.0, 0.9666666666666668, 0.837037037037037, 0.7833333333333333, 0.5718083381652832, 0.4066666666666667, 0.4066666666666667]"
79,ABBYY,10.12688/f1000research.7329.3,"We analyzed different freely available and commercial OCR systems and libraries including Aspose, PUMA, Microsoft OCR, Tesseract, LEADTOOLS, Nicomsoft OCR, MeOCR OCR, OmniPage, ABBYY, Bytescout claiming to be able to extract embedded text from figures","Zeeshan Ahmed,Thomas Dandekar","Computer science,Information retrieval,Scientific literature","https://pypi.org/project/ABBYY/,https://github.com/samueltc/ABBYY","['https://github.com/samueltc/ABBYY', 'https://pypi.org/project/ABBYY/', 'https://github.com/gojiplus/abbyyR', 'https://github.com/dannguyen/abbyy-finereader-ocr-senate', 'https://cran.r-project.org/package=GABB', 'https://github.com/abbyy/ocrsdk.com', 'https://github.com/abbyy/RTR-SDK.Android', 'https://github.com/abbyy/barcode_detection_benchmark']","[1.0, 1.0, 0.9666666666666668, 0.837037037037037, 0.7833333333333333, 0.5143747329711914, 0.4114942528735632, 0.4114942528735632]"
94,BCEA,10.1371/journal.pntd.0008521,We used the BCEA package in the software R 3.6.1 for the analysis [23].,"Anuj Tiwari,David J. Blok,Mohammad Arif,Jan Hendrik Richardus","Medicine,Disability-adjusted life year,Leprosy,Per capita,Cost effectiveness,Environmental health,Cost-effectiveness analysis","https://cran.r-project.org/package=BCEA,https://gianluca.statistica.it/software/bcea/,https://github.com/giabaio/BCEA/,https://n8thangreen.github.io/BCEA/","['https://cran.r-project.org/package=BCEA', 'https://github.com/giabaio/BCEA', 'https://github.com/giabaio/BCEAweb', 'https://cran.r-project.org/package=BCEE', 'https://cran.r-project.org/package=BCRA', 'https://cran.r-project.org/package=CEDA', 'https://cran.r-project.org/package=CSESA', 'https://github.com/clippit/Paw-BCEAuthDynamicValue', 'https://github.com/InseeFrLab/formation-bceao']","[1.0, 1.0, 0.9142857142857144, 0.8833333333333334, 0.8666666666666667, 0.8333333333333334, 0.7833333333333333, 0.5579710144927535, 0.5194444444444445]"
106,BeautifulSoup,10.1007/s12061-021-09386-3,"Our web-scraping tool based on Python and BeautifulSoup retrieved the following information: name, telephone, address, postcode, latitude, longitude, opening and closing times for each day of the week, and a list of services including Finance services","Andra Sonea,René Westerholt",Human geography,"https://pypi.org/project/beautifulsoup4/,https://www.crummy.com/software/BeautifulSoup/,https://code.launchpad.net/beautifulsoup,https://github.com/wention/BeautifulSoup7","['https://pypi.org/project/BeautifulSoup/', 'https://github.com/icodeu/BeautifulSoup', 'https://github.com/DeronW/beautifulsoup', 'https://pypi.org/project/beautifulsoup4/', 'https://github.com/wention/BeautifulSoup4', 'https://github.com/collegue1337/BeautifulSoup4', 'https://github.com/beautifulSoup/RtmpRecoder']","[1.0, 1.0, 1.0, 0.9857142857142858, 0.9857142857142858, 0.9857142857142858, 0.4606837606837606]"
128,BeautifulSoup,10.1038/s41597-020-00682-0,"Wikipedia is accessed through the MediaWiki API using Python, and the BeautifulSoup, json, and requests packages","Angel Hsu,Zhi Yi Yeo,Ross Rauber,James Sun,Yunsoo Kim,Sowmya Raghavan,Nicholas Chin,Vasu Namdeo,Amy Weinfurter",Jurisdiction,"https://pypi.org/project/beautifulsoup4/,https://www.crummy.com/software/BeautifulSoup/,https://code.launchpad.net/beautifulsoup,https://github.com/wention/BeautifulSoup5","['https://pypi.org/project/BeautifulSoup/', 'https://github.com/icodeu/BeautifulSoup', 'https://github.com/DeronW/beautifulsoup', 'https://pypi.org/project/beautifulsoup4/', 'https://github.com/wention/BeautifulSoup4', 'https://github.com/collegue1337/BeautifulSoup4', 'https://github.com/beautifulSoup/RtmpRecoder']","[1.0, 1.0, 1.0, 0.9857142857142858, 0.9857142857142858, 0.9857142857142858, 0.4454545454545455]"
