id,name,doi,paragraph,authors_oa,authors,url (ground truth),annotator,comments,candidate_urls,language,synonyms,metadata_name,metadata_authors,metadata_keywords,metadata_description,metadata_language
1,(STAR,10.1038/s41598-021-86032-5,"Then, the high-quality reads were aligned to the reference genome (hg19) using Spliced Transcripts Alignment to a Reference (STAR) with the parameter –quantMode GeneCounts for gene-level quantification and otherwise default parameters","https://openalex.org/A5038321079,https://openalex.org/A5080725960,https://openalex.org/A5038168057,https://openalex.org/A5024297412,https://openalex.org/A5023915084,https://openalex.org/A5035613777,https://openalex.org/A5082251197,https://openalex.org/A5010029002","Timothy Warwick,Marcel H. Schulz,Stefan Günther,Ralf Gilsbach,Antonio Neme,Carsten Carlberg,Ralf P. Brandes,Sabine Seuter",https://github.com/alexdobin/STAR,JelenaDjuric,,nan,,"(STARS,(STARDIT),(star,luteinizing hormone-induced protein,(STAR),(STARS),(STARD,steroidogenic acute regulatory protein,mitochondrial,start domain-containing protein 1,stard1,(STARMAPs,star,(START),STAR",,,,,
2,(STAR,10.3389/fphys.2020.623190,"Next, the two reads per sample (R1 and R2) were mapped to the mouse reference genome (build GRCm38/mm10) using Spliced Transcripts Alignment to a Reference (STAR version 2.6.1) (Dobin et al., 2013)","https://openalex.org/A5059033144,https://openalex.org/A5079681851,https://openalex.org/A5077847735,https://openalex.org/A5025018584,https://openalex.org/A5029872038,https://openalex.org/A5068456606,https://openalex.org/A5019968053,https://openalex.org/A5045910514,https://openalex.org/A5033233937,https://openalex.org/A5051953374","Marta Pérez-Hernández,Grecia M Marrón-Liñares,Florencia Schlamp,Adriana Heguy,Chantal J.M. van Opbergen,Valeria Mezzano,Mingliang Zhang,Feng-Xia Liang,Marina Cerrone,Mario Delmar",https://github.com/alexdobin/STAR,JelenaDjuric,,nan,,"(STARS,(STARDIT),(star,luteinizing hormone-induced protein,(STAR),(STARS),(STARD,steroidogenic acute regulatory protein,mitochondrial,start domain-containing protein 1,stard1,(STARMAPs,star,(START),STAR",,,,,
3,ABBYY,10.1109/JTEHM.2019.2935451,"A 4-sample test for equality of proportions showed that the overall successful search rate differed significantly between the OCR engines (, df = 3, p < 0.001), with ML Kit and Rekognition having a significantly higher overall success rate than Azure OCR and ABBYY RTR (p < 0.001 for all multiple pairwise comparison with Bonferroni correction)","https://openalex.org/A5009892560,https://openalex.org/A5088818925,https://openalex.org/A5024502300,https://openalex.org/A5077887903,https://openalex.org/A5064745514","Shrinivas Pundlik,Anikait Singh,Gautam Baghel,Vilte Baliutaviciute,Gang Luo","https://pypi.org/project/ABBYY/, https://github.com/samueltc/ABBYY",JelenaDuric,,nan,,ABBYY OCR,,,,,
4,ABBYY,10.1109/JTEHM.2019.2935451,"Four different OCR Engines that can be implemented via an API were evaluated to determine the accuracy and usability of each engine: Google Machine Learning Kit (ML Kit) [26], Microsoft Azure’s Cognitive Services (Azure OCR) [27], ABBYY’s Real Time Recognition SDK (ABBY RTR) [28], and Amazon’s Rekognition SDK (Rekognition) [29]","https://openalex.org/A5009892560,https://openalex.org/A5088818925,https://openalex.org/A5024502300,https://openalex.org/A5077887903,https://openalex.org/A5064745514","Shrinivas Pundlik,Anikait Singh,Gautam Baghel,Vilte Baliutaviciute,Gang Luo","https://pypi.org/project/ABBYY/, https://github.com/samueltc/ABBYY",JelenaDuric,,nan,,ABBYY OCR,,,,,
5,ABBYY,10.1109/JTEHM.2019.2935451,"Successful search rate at zoom level differed significantly between the 4 OCR engines (, df = 3, p < 0.001), with ML Kit being the most successful in detecting keywords without needing to zoom in, followed by Rekognition, Azure OCR, and ABBYY RTR","https://openalex.org/A5009892560,https://openalex.org/A5088818925,https://openalex.org/A5024502300,https://openalex.org/A5077887903,https://openalex.org/A5064745514","Shrinivas Pundlik,Anikait Singh,Gautam Baghel,Vilte Baliutaviciute,Gang Luo","https://pypi.org/project/ABBYY/, https://github.com/samueltc/ABBYY",JelenaDuric,,nan,,ABBYY OCR,,,,,
6,ABBYY,10.1186/s13637-017-0057-1,"Hand-writing recognition is a well-established problem and we have experimented with different resources including Omnipage Capture SDK [18], Captricity [19], and ABBYY [20], which to the best of our knowledge are among the best tools in the market for recognizing hand-written letters and have been widely used in recognizing and transforming documents into usable digital forms [21]","https://openalex.org/A5004652202,https://openalex.org/A5015914784,https://openalex.org/A5080756501,https://openalex.org/A5055469774","Jianbo Yuan,Chester Holtz,Tristram Smith,Jiebo Luo","https://pypi.org/project/ABBYY/, https://github.com/samueltc/ABBYY",JelenaDuric,,nan,,ABBYY OCR,,,,,
7,ABBYY,10.12688/f1000research.7329.3,"We analyzed different freely available and commercial OCR systems and libraries including Aspose, PUMA, Microsoft OCR, Tesseract, LEADTOOLS, Nicomsoft OCR, MeOCR OCR, OmniPage, ABBYY, Bytescout claiming to be able to extract embedded text from figures","https://openalex.org/A5062451681,https://openalex.org/A5086202312","Zeeshan Ahmed,Thomas Dandekar","https://pypi.org/project/ABBYY/, https://github.com/samueltc/ABBYY",JelenaDuric,,nan,,ABBYY OCR,,,,,
8,BCEA,10.1371/journal.pntd.0008521,We used the BCEA package in the software R 3.6.1 for the analysis [23].,"https://openalex.org/A5101986472,https://openalex.org/A5032167625,https://openalex.org/A5102856605,https://openalex.org/A5016645705","Anuj Tiwari,David J. Blok,Mohammad Arif,Jan Hendrik Richardus","https://cran.r-project.org/package=BCEA, https://github.com/giabaio/BCEA/, https://github.com/cran/BCEA",JelenaDuric,,nan,R,"R-package BCEA,R package BCEA,R package BCEA (Bayesian Cost Effectiveness Analysis),BCE",,,,,
9,BeautifulSoup,10.1007/s12061-021-09386-3,"Our web-scraping tool based on Python and BeautifulSoup retrieved the following information: name, telephone, address, postcode, latitude, longitude, opening and closing times for each day of the week, and a list of services including Finance services","https://openalex.org/A5067503473,https://openalex.org/A5069543347","Andra Sonea,René Westerholt","https://pypi.org/project/beautifulsoup4/, https://github.com/wention/BeautifulSoup7",JelenaDuric,,nan,Python,"Beautiful Soup”,beautiful-soup,BeautifulSoup Python library,Beautiful,BeautifulSoup Python Package,Beautiful soup,Beautiful Soup,BeatifulSoup,BeautifulSoup4,beautifulsoup4,BeautifulSoup9,BeautifulSoup 4 (PyPi)",,,,,
10,BeautifulSoup,10.1038/s41597-020-00682-0,"Wikipedia is accessed through the MediaWiki API using Python, and the BeautifulSoup, json, and requests packages","https://openalex.org/A5055995988,https://openalex.org/A5086455026,https://openalex.org/A5045670585,https://openalex.org/A5023204946,https://openalex.org/A5050965642,https://openalex.org/A5025587451,https://openalex.org/A5108731132,https://openalex.org/A5015356301,https://openalex.org/A5089556177","Angel Hsu,Zhi Yi Yeo,Ross Rauber,James Sun,Yunsoo Kim,Sowmya Raghavan,Nicholas Chin,Vasu Namdeo,Amy Weinfurter","https://pypi.org/project/beautifulsoup4/, https://github.com/wention/BeautifulSoup5",JelenaDuric,,nan,Python,"Beautiful Soup”,beautiful-soup,BeautifulSoup Python library,Beautiful,BeautifulSoup Python Package,Beautiful soup,Beautiful Soup,BeatifulSoup,BeautifulSoup4,beautifulsoup4,BeautifulSoup9,BeautifulSoup 4 (PyPi)",,,,,
11,BeautifulSoup,10.1186/1751-0473-8-9,"While we believe that the approach taken by twill and the robust parsing provided by BeautifulSoup will prevent many upstream changes breaking these wrappers, inevitably breakage will occur","https://openalex.org/A5000073602,https://openalex.org/A5111880477","Andrew Perry,Bosco Ho","https://pypi.org/project/beautifulsoup4/, https://github.com/wention/BeautifulSoup12",JelenaDuric,,nan,,"Beautiful Soup”,beautiful-soup,BeautifulSoup Python library,Beautiful,BeautifulSoup Python Package,Beautiful soup,Beautiful Soup,BeatifulSoup,BeautifulSoup4,beautifulsoup4,BeautifulSoup9,BeautifulSoup 4 (PyPi)",,,,,
12,BeautifulSoup,10.1186/s12859-020-3540-8,"For the prior knowledge from UniProt KB, we use Bioservices, urllib, BeautifulSoup tool does finish a series of processes","https://openalex.org/A5102845553,https://openalex.org/A5045482118,https://openalex.org/A5100778862,https://openalex.org/A5049776440,https://openalex.org/A5100369793","Zhijing Li,Yuchen Lian,Xiaoyong Ma,Xiangrong Zhang,Chen Li","https://pypi.org/project/beautifulsoup4/, https://github.com/wention/BeautifulSoup8",JelenaDuric,,nan,,"Beautiful Soup”,beautiful-soup,BeautifulSoup Python library,Beautiful,BeautifulSoup Python Package,Beautiful soup,Beautiful Soup,BeatifulSoup,BeautifulSoup4,beautifulsoup4,BeautifulSoup9,BeautifulSoup 4 (PyPi)",,,,,
13,BeautifulSoup,10.1371/journal.pone.0018657,"Data collection scripts were coded in Python version 2.5.2 (many libraries were used, including EUtils, BeautifulSoup, pyparsing and nltk [47]) and SQLite version 3.4",https://openalex.org/A5048491430,Heather Piwowar,"https://pypi.org/project/beautifulsoup4/, https://github.com/wention/BeautifulSoup6",JelenaDuric,,nan,Python,"Beautiful Soup”,beautiful-soup,BeautifulSoup Python library,Beautiful,BeautifulSoup Python Package,Beautiful soup,Beautiful Soup,BeatifulSoup,BeautifulSoup4,beautifulsoup4,BeautifulSoup9,BeautifulSoup 4 (PyPi)",,,,,
14,BeautifulSoup,10.2196/10986,"To extract the content of a Web page from the HTML source we tested: BeautifulSoup, Naive [68], which just naively removes HTML tags and Boilerpipe, Boi [78] and Justext, Jst [79], which eliminates boilerplate text together with HTML tags","https://openalex.org/A5022129033,https://openalex.org/A5076031002,https://openalex.org/A5020665735","João Palotti,Guido Zuccon,Allan Hanbury","https://pypi.org/project/beautifulsoup4/, https://github.com/wention/BeautifulSoup4",JelenaDuric,,nan,,"Beautiful Soup”,beautiful-soup,BeautifulSoup Python library,Beautiful,BeautifulSoup Python Package,Beautiful soup,Beautiful Soup,BeatifulSoup,BeautifulSoup4,beautifulsoup4,BeautifulSoup9,BeautifulSoup 4 (PyPi)",,,,,
15,BeautifulSoup,10.3389/fmolb.2021.620475,BeautifulSoup is used for extracting the text between paragraphs (<p>) and tables (<table>) tags,"https://openalex.org/A5014438345,https://openalex.org/A5060232841,https://openalex.org/A5029911656","Paola Turina,Piero Fariselli,Emidio Capriotti","https://pypi.org/project/beautifulsoup4/, https://github.com/wention/BeautifulSoup13",JelenaDuric,,nan,,"Beautiful Soup”,beautiful-soup,BeautifulSoup Python library,Beautiful,BeautifulSoup Python Package,Beautiful soup,Beautiful Soup,BeatifulSoup,BeautifulSoup4,beautifulsoup4,BeautifulSoup9,BeautifulSoup 4 (PyPi)",,,,,
16,BeautifulSoup,10.3389/fvets.2021.674730,"The HTML and XML document parser, BeautifulSoup, from Python module BS4 was implemented to parse the source page; multimodal texts of Web page sources were extracted as BeatifulSoup object","https://openalex.org/A5044297783,https://openalex.org/A5052543719,https://openalex.org/A5058730089,https://openalex.org/A5100354932,https://openalex.org/A5004572533,https://openalex.org/A5077825627,https://openalex.org/A5053406368,https://openalex.org/A5081266363","Majid Jaberi‐Douraki,Soudabeh Taghian Dinani,Nuwan Indika Millagaha Gedara,Xuan Xu,E. Richards,Fiona Maunsell,Nader Zad,Lisa A. Tell","https://pypi.org/project/beautifulsoup4/, https://github.com/wention/BeautifulSoup10",JelenaDuric,,nan,Python,"Beautiful Soup”,beautiful-soup,BeautifulSoup Python library,Beautiful,BeautifulSoup Python Package,Beautiful soup,Beautiful Soup,BeatifulSoup,BeautifulSoup4,beautifulsoup4,BeautifulSoup9,BeautifulSoup 4 (PyPi)",,,,,
17,BeautifulSoup,10.3390/ani8020025,"Data were extracted using the BeautifulSoup module in Python Version 3.2.1 (Python Software Foundation, Wilmington, DE, USA) to parse the ads, then cleaned and analyzed using R (The R Foundation, Vienna, Austria) and Pivot tables in Microsoft Excel® 2013 (Microsoft, Redmond, WA, USA)","https://openalex.org/A5060971663,https://openalex.org/A5064250718,https://openalex.org/A5043606716","Susan Hazel,Caitlin J. Jenvey,Jonathan Tuke","https://pypi.org/project/beautifulsoup4/, https://github.com/wention/BeautifulSoup9",JelenaDuric,,nan,Python,"Beautiful Soup”,beautiful-soup,BeautifulSoup Python library,Beautiful,BeautifulSoup Python Package,Beautiful soup,Beautiful Soup,BeatifulSoup,BeautifulSoup4,beautifulsoup4,BeautifulSoup9,BeautifulSoup 4 (PyPi)",,,,,
18,BeautifulSoup,10.3390/s21165496,"As for their experimental setup, the authors used: (1) the NLTK library to compute Morphological Features, (2) the Linguistic Inquiry and Word Count for Psychological Features, (3) Textstat for Readability Features, as well as (4) BeautifulSoup and Newspaper for web-markup features","https://openalex.org/A5045414588,https://openalex.org/A5079970790,https://openalex.org/A5082176992,https://openalex.org/A5023540661","Constantinos-Giovanni Xarhoulacos,Argiro Anagnostopoulou,George Stergiopoulos,Dimitris Gritzalis","https://pypi.org/project/beautifulsoup4/, https://github.com/wention/BeautifulSoup11",JelenaDuric,,nan,,"Beautiful Soup”,beautiful-soup,BeautifulSoup Python library,Beautiful,BeautifulSoup Python Package,Beautiful soup,Beautiful Soup,BeatifulSoup,BeautifulSoup4,beautifulsoup4,BeautifulSoup9,BeautifulSoup 4 (PyPi)",,,,,
19,CoAPthon,10.3390/s19030716,"For CoAP, CoAPthon [21], an open-source implementation, was employed to simulate communications and messages were collected from the communication channel","https://openalex.org/A5076427704,https://openalex.org/A5100443992,https://openalex.org/A5100424209,https://openalex.org/A5111933401","Xin Luo,Dan Chen,Yongjun Wang,Peidai Xie","https://pypi.org/project/CoAPthon/, https://github.com/Tanganelli/CoAPthon",JelenaDuric,,nan,,CoAPthon3,,,,,
20,CoAPthon,10.3390/s19245467,"Hence, a variety of IoT libraries, such as CoAPthon [27], and frameworks [28], such as IDeA, FRASAD, D-LITe, IoTLink, WebRTC based IoT application Framework, Datatweet, IoTSuite and RapIoT, have been developed to manage those complexities.","https://openalex.org/A5017842253,https://openalex.org/A5006922424,https://openalex.org/A5052894810,https://openalex.org/A5073294813,https://openalex.org/A5022486958","Iván Ruiz‐Rube,José Miguel Mota,Tatiana Person,José María Rodríguez Corral,Juan Manuel Dodero","https://pypi.org/project/CoAPthon/, https://github.com/Tanganelli/CoAPthon",JelenaDuric,,nan,,CoAPthon3,,,,,
21,DiagrammeRsvg,10.1038/s41598-021-91205-3,All statistical analyses were performed using R version 3.6.1 including the following packages: esc; effectsize; meta; metafor; dmetar: DiagrammeR; DiagrammeRsvg; and ggplot2,https://openalex.org/A5090978916,Ray Norbury,"https://cran.r-project.org/package=DiagrammeRsvg, https://github.com/rich-iannone/DiagrammeRsvg, https://github.com/cran/DiagrammeRsvg",JelenaDuric,,nan,R,"Diagram,DiagrammeR,Diagrammer",,,,,
22,Django,10.1016/j.heliyon.2019.e02622,"The auto-assessment tool is built on Windows Server 2016 and contains Django Web framework for user interface, PTC Creo Parametric 3.0 M110 to open and run CAD models, Python (version 3.5.4) wrapper for Creo's Visual Basic API for commanding Creo, and Celery for queue tasks","https://openalex.org/A5024759586,https://openalex.org/A5086127779","Kaur Jaakma,Panu Kiviluoma","https://pypi.org/project/Django/, https://github.com/django/django",JelenaDuric,,nan,Python,"Django Python Web framework,Djangology,Django CMS,Django Python,django,DJANGOS,Django web,Django-rest,django-open,django-auth,Django Web",,,,,
23,Django,10.1093/database/bax073,"Django is a free and open-source framework, written in Python, which encourages rapid software development and clean, pragmatic design, facilitating the tasks of creating complex, database-driven Web applications","https://openalex.org/A5010658779,https://openalex.org/A5057129019,https://openalex.org/A5020714658,https://openalex.org/A5029367160,https://openalex.org/A5018601947,https://openalex.org/A5103583521","S. M. Niaz Arifin,Gregory R. Madey,Alexander Vyushkov,Benoit Raybaud,Thomas R. Burkot,Frank H. Collins","https://pypi.org/project/Django/, https://github.com/django/django",JelenaDuric,,nan,Python,"Django Python Web framework,Djangology,Django CMS,Django Python,django,DJANGOS,Django web,Django-rest,django-open,django-auth,Django Web",,,,,
