phase,model,metrics_used,precision,recall,f1
CV,Logistic Regression,name_metric,0.5807792207792207,0.9355648535564853,0.7166666666666667
CV,Random Forest,name_metric,0.6564277588168373,0.9656903765690377,0.7815780562140197
CV,XGBoost,name_metric,0.6461710452766909,0.9673640167364017,0.774798927613941
CV,LightGBM,name_metric,0.6492704826038159,0.9682008368200837,0.777292576419214
CV,Neural Net,name_metric,0.6839152119700748,0.9179916317991632,0.7838513754912468
Test,Logistic Regression,name_metric,0.5670731707317073,0.9331103678929766,0.7054361567635904
Test,Random Forest,name_metric,0.6373626373626373,0.9698996655518395,0.7692307692307693
Test,XGBoost,name_metric,0.6345733041575492,0.9698996655518395,0.7671957671957672
Test,LightGBM,name_metric,0.6176470588235294,0.9832775919732442,0.7587096774193548
Test,Neural Net,name_metric,0.6440281030444965,0.919732441471572,0.7575757575757576
CV,Logistic Regression,paragraph_metric,0.4028301886792453,0.7146443514644352,0.5152337858220211
CV,Random Forest,paragraph_metric,0.35396039603960394,0.35899581589958157,0.35646032405484007
CV,XGBoost,paragraph_metric,0.3745629370629371,0.7171548117154811,0.4921045076083836
CV,LightGBM,paragraph_metric,0.384852487890797,0.7313807531380753,0.5043277553375649
CV,Neural Net,paragraph_metric,0.5852534562211982,0.2125523012552301,0.3118477593615715
Test,Logistic Regression,paragraph_metric,0.41922290388548056,0.68561872909699,0.5203045685279187
Test,Random Forest,paragraph_metric,0.37623762376237624,0.38127090301003347,0.3787375415282392
Test,XGBoost,paragraph_metric,0.3793103448275862,0.6989966555183946,0.49176470588235294
Test,LightGBM,paragraph_metric,0.3892857142857143,0.7290969899665551,0.5075669383003493
Test,Neural Net,paragraph_metric,0.6126126126126126,0.22742474916387959,0.33170731707317075
CV,Logistic Regression,language_metric,0.40733590733590735,0.5297071129707113,0.46053110221898874
CV,Random Forest,language_metric,0.41345525800130634,0.5297071129707113,0.4644167278063096
CV,XGBoost,language_metric,0.41345525800130634,0.5297071129707113,0.4644167278063096
CV,LightGBM,language_metric,0.41291585127201563,0.5297071129707113,0.4640762463343108
CV,Neural Net,language_metric,0.0,0.0,0.0
Test,Logistic Regression,language_metric,0.42782152230971127,0.5451505016722408,0.47941176470588237
Test,Random Forest,language_metric,0.43351063829787234,0.5451505016722408,0.482962962962963
Test,XGBoost,language_metric,0.43351063829787234,0.5451505016722408,0.482962962962963
Test,LightGBM,language_metric,0.43351063829787234,0.5451505016722408,0.482962962962963
Test,Neural Net,language_metric,0.0,0.0,0.0
CV,Logistic Regression,synonym_metric,0.34615384615384615,0.7380753138075313,0.4712797221480096
CV,Random Forest,synonym_metric,0.6242390702822358,0.9439330543933054,0.7514990006662225
CV,XGBoost,synonym_metric,0.5171281088690756,0.9221757322175732,0.6626578472639808
CV,LightGBM,synonym_metric,0.514642342774844,0.897071129707113,0.6540573520439292
CV,Neural Net,synonym_metric,0.5330132052821128,0.37154811715481173,0.4378698224852071
Test,Logistic Regression,synonym_metric,0.33484848484848484,0.7391304347826086,0.4608967674661105
Test,Random Forest,synonym_metric,0.5859213250517599,0.9464882943143813,0.7237851662404092
Test,XGBoost,synonym_metric,0.46632124352331605,0.903010033444816,0.6150341685649203
Test,LightGBM,synonym_metric,0.5027124773960217,0.9297658862876255,0.6525821596244131
