,id,name,doi,paragraph,authors,field/topic/keywords,url (ground truth),candidate_urls,probability (ground truth),metadata_name,metadata_authors,metadata_keywords,metadata_description,name_metric,author_metric,paragraph_metric,keywords_metric,language_metric,average,min,max
0,59,BCEA,10.1371/journal.pntd.0008521,We used the BCEA package in the software R 3.6.1 for the analysis [23].,"Anuj Tiwari,David J. Blok,Mohammad Arif,Jan Hendrik Richardus","Medicine,Disability-adjusted life year,Leprosy,Per capita,Cost effectiveness,Environmental health,Cost-effectiveness analysis","https://cran.r-project.org/package=BCEA, https://github.com/giabaio/BCEA/, https://github.com/cran/BCEA",https://cran.r-project.org/package=BCEA,1,BCEA,"Gianluca Baio, Andrea Berardi, Anna Heath, Nathan Green","produces graphical summaries, probabilistic sensitivity analysis, suitable variables, package computes, mcmc simulations","Produces an economic evaluation of a sample of suitable variables of cost and effectiveness / utility for two or more interventions, e.g. from a Bayesian model in the form of MCMC simulations. This package computes the most cost-effective alternative and produces graphical summaries and probabilistic sensitivity analysis, see Baio et al (2017) <doi:10.1007/978-3-319-55718-2>.",1.0,0.5997557997557997,0.2288851886987686,0.0217868443578481,1.0,0.5700855665624833,0.0217868443578481,1.0
1,71,BeautifulSoup,10.1007/s12061-021-09386-3,"Our web-scraping tool based on Python and BeautifulSoup retrieved the following information: name, telephone, address, postcode, latitude, longitude, opening and closing times for each day of the week, and a list of services including Finance services","Andra Sonea,René Westerholt",Human geography,"https://pypi.org/project/beautifulsoup4/, https://github.com/wention/BeautifulSoup7",https://pypi.org/project/beautifulsoup4/,1,beautifulsoup4,,"HTML, XML, parse, soup",Screen-scraping library,0.9857142857142858,,0.4007108509540558,0.0353534035384655,1.0,0.6054446350517018,0.0353534035384655,1.0
2,87,BeautifulSoup,10.1038/s41597-020-00682-0,"Wikipedia is accessed through the MediaWiki API using Python, and the BeautifulSoup, json, and requests packages","Angel Hsu,Zhi Yi Yeo,Ross Rauber,James Sun,Yunsoo Kim,Sowmya Raghavan,Nicholas Chin,Vasu Namdeo,Amy Weinfurter",Jurisdiction,"https://pypi.org/project/beautifulsoup4/, https://github.com/wention/BeautifulSoup5",https://pypi.org/project/beautifulsoup4/,1,beautifulsoup4,,"HTML, XML, parse, soup",Screen-scraping library,0.9857142857142858,,0.3063394129276275,-0.0019681416451931,1.0,0.5725213892491801,-0.0019681416451931,1.0
3,103,BeautifulSoup,10.1186/1751-0473-8-9,"While we believe that the approach taken by twill and the robust parsing provided by BeautifulSoup will prevent many upstream changes breaking these wrappers, inevitably breakage will occur","Andrew Perry,Bosco Ho","Proteome,Workflow,Annotation,Computer science,Computational biology,Scripting language,Protocol (science)","https://pypi.org/project/beautifulsoup4/, https://github.com/wention/BeautifulSoup12",https://pypi.org/project/beautifulsoup4/,1,beautifulsoup4,,"HTML, XML, parse, soup",Screen-scraping library,0.9857142857142858,,0.1769550144672393,-0.0281129013746976,,0.3781854662689425,-0.0281129013746976,0.9857142857142858
4,119,BeautifulSoup,10.1186/s12859-020-3540-8,"For the prior knowledge from UniProt KB, we use Bioservices, urllib, BeautifulSoup tool does finish a series of processes","Zhijing Li,Yuchen Lian,Xiaoyong Ma,Xiangrong Zhang,Chen Li","Computer science,Relationship extraction,Biomedical text mining,Information extraction,Task (project management),UniProt,Exploit,Artificial intelligence","https://pypi.org/project/beautifulsoup4/, https://github.com/wention/BeautifulSoup8",https://pypi.org/project/beautifulsoup4/,1,beautifulsoup4,,"HTML, XML, parse, soup",Screen-scraping library,0.9857142857142858,,0.3512919545173645,0.0526469238102436,,0.4632177213472979,0.0526469238102436,0.9857142857142858
5,144,BeautifulSoup,10.2196/10986,"To extract the content of a Web page from the HTML source we tested: BeautifulSoup, Naive [68], which just naively removes HTML tags and Boilerpipe, Boi [78] and Justext, Jst [79], which eliminates boilerplate text together with HTML tags","João Palotti,Guido Zuccon,Allan Hanbury","Computer science,Readability,Ranking (information retrieval)","https://pypi.org/project/beautifulsoup4/, https://github.com/wention/BeautifulSoup4",https://github.com/wention/BeautifulSoup4,1,BeautifulSoup4,WENTION,,git mirror for Beautiful Soup 4.3.2,0.9857142857142858,0.4746642246642246,0.3716841340065002,0.0840577781200409,,0.4790301056262628,0.0840577781200409,0.9857142857142858
6,151,BeautifulSoup,10.2196/10986,"To extract the content of a Web page from the HTML source we tested: BeautifulSoup, Naive [68], which just naively removes HTML tags and Boilerpipe, Boi [78] and Justext, Jst [79], which eliminates boilerplate text together with HTML tags","João Palotti,Guido Zuccon,Allan Hanbury","Computer science,Readability,Ranking (information retrieval)","https://pypi.org/project/beautifulsoup4/, https://github.com/wention/BeautifulSoup4",https://pypi.org/project/beautifulsoup4/,1,beautifulsoup4,,"HTML, XML, parse, soup",Screen-scraping library,0.9857142857142858,,0.3511777520179748,0.094039462506771,,0.4769771667463439,0.094039462506771,0.9857142857142858
7,167,BeautifulSoup,10.3389/fmolb.2021.620475,BeautifulSoup is used for extracting the text between paragraphs (<p>) and tables (<table>) tags,"Paola Turina,Piero Fariselli,Emidio Capriotti","Computer science,Identification (biology),Set (abstract data type),Data mining,Stability (learning theory)","https://pypi.org/project/beautifulsoup4/, https://github.com/wention/BeautifulSoup13",https://pypi.org/project/beautifulsoup4/,1,beautifulsoup4,,"HTML, XML, parse, soup",Screen-scraping library,0.9857142857142858,,0.3540148437023163,-2.212822437286377e-06,,0.4465756388647215,-2.212822437286377e-06,0.9857142857142858
8,183,BeautifulSoup,10.3389/fvets.2021.674730,"The HTML and XML document parser, BeautifulSoup, from Python module BS4 was implemented to parse the source page; multimodal texts of Web page sources were extracted as BeatifulSoup object","Majid Jaberi‐Douraki,Soudabeh Taghian Dinani,Nuwan Indika Millagaha Gedara,Xuan Xu,E. Richards,Fiona Maunsell,Nader Zad,Lisa A. Tell","Computer science,Veterinary drug","https://pypi.org/project/beautifulsoup4/, https://github.com/wention/BeautifulSoup10",https://pypi.org/project/beautifulsoup4/,1,beautifulsoup4,,"HTML, XML, parse, soup",Screen-scraping library,0.9857142857142858,,0.4103492498397827,-0.013027211651206,1.0,0.5957590809757156,-0.013027211651206,1.0
9,215,BeautifulSoup,10.3390/s21165496,"As for their experimental setup, the authors used: (1) the NLTK library to compute Morphological Features, (2) the Linguistic Inquiry and Word Count for Psychological Features, (3) Textstat for Readability Features, as well as (4) BeautifulSoup and Newspaper for web-markup features","Constantinos-Giovanni Xarhoulacos,Argiro Anagnostopoulou,George Stergiopoulos,Dimitris Gritzalis","Misinformation,Computer science,Deception,Situation awareness,Data science,Set (abstract data type),Field (mathematics)","https://pypi.org/project/beautifulsoup4/, https://github.com/wention/BeautifulSoup11",https://pypi.org/project/beautifulsoup4/,1,beautifulsoup4,,"HTML, XML, parse, soup",Screen-scraping library,0.9857142857142858,,0.2137445658445358,-0.1167270317673683,,0.3609106065971511,-0.1167270317673683,0.9857142857142858
10,244,DiagrammeRsvg,10.1038/s41598-021-91205-3,All statistical analyses were performed using R version 3.6.1 including the following packages: esc; effectsize; meta; metafor; dmetar: DiagrammeR; DiagrammeRsvg; and ggplot2,Ray Norbury,"Funnel plot,Meta-analysis,Publication bias,Chronotype,Preference,Depression (economics),Causal inference,Association (psychology)","https://cran.r-project.org/package=DiagrammeRsvg, https://github.com/rich-iannone/DiagrammeRsvg, https://github.com/cran/DiagrammeRsvg",https://github.com/rich-iannone/DiagrammeRsvg,1,DiagrammeRsvg,Richard Iannone,,A utility package for providing SVG export to DiagrammeR graph diagrams,1.0,0.5292929292929293,0.2848833799362182,0.0664240717887878,1.0,0.5761200762035871,0.0664240717887878,1.0
11,245,DiagrammeRsvg,10.1038/s41598-021-91205-3,All statistical analyses were performed using R version 3.6.1 including the following packages: esc; effectsize; meta; metafor; dmetar: DiagrammeR; DiagrammeRsvg; and ggplot2,Ray Norbury,"Funnel plot,Meta-analysis,Publication bias,Chronotype,Preference,Depression (economics),Causal inference,Association (psychology)","https://cran.r-project.org/package=DiagrammeRsvg, https://github.com/rich-iannone/DiagrammeRsvg, https://github.com/cran/DiagrammeRsvg",https://cran.r-project.org/package=DiagrammeRsvg,1,DiagrammeRsvg,Richard Iannone,diagrammer graphviz objects,Allows for export of DiagrammeR Graphviz objects to SVG.,1.0,0.5292929292929293,0.2525892853736877,0.0472395718097686,1.0,0.5658243572952771,0.0472395718097686,1.0
12,246,DiagrammeRsvg,10.1038/s41598-021-91205-3,All statistical analyses were performed using R version 3.6.1 including the following packages: esc; effectsize; meta; metafor; dmetar: DiagrammeR; DiagrammeRsvg; and ggplot2,Ray Norbury,"Funnel plot,Meta-analysis,Publication bias,Chronotype,Preference,Depression (economics),Causal inference,Association (psychology)","https://cran.r-project.org/package=DiagrammeRsvg, https://github.com/rich-iannone/DiagrammeRsvg, https://github.com/cran/DiagrammeRsvg",https://github.com/cran/DiagrammeRsvg,1,DiagrammeRsvg,cran,,:exclamation: This is a read-only mirror of the CRAN R package repository.  DiagrammeRsvg — Export DiagrammeR Graphviz Graphs as SVG. Homepage: https://github.com/rich-iannone/DiagrammeRsvg  Report bugs for this package: https://github.com/rich-iannone/DiagrammeRsvg/issues,1.0,0.6742424242424242,0.2940627336502075,0.0907875820994377,0.0,0.4118185479984139,0.0,1.0
13,248,Django,10.1016/j.heliyon.2019.e02622,"The auto-assessment tool is built on Windows Server 2016 and contains Django Web framework for user interface, PTC Creo Parametric 3.0 M110 to open and run CAD models, Python (version 3.5.4) wrapper for Creo's Visual Basic API for commanding Creo, and Celery for queue tasks","Kaur Jaakma,Panu Kiviluoma","CAD,Workload,Computer science","https://pypi.org/project/Django/, https://github.com/django/django",https://github.com/django/django,1,django,Django,"apps, django, framework, models, orm, python, templates, views, web",The Web framework for perfectionists with deadlines.,1.0,0.5384615384615384,0.2563301920890808,0.0452209264039993,1.0,0.5680025313909237,0.0452209264039993,1.0
14,253,Django,10.1016/j.heliyon.2019.e02622,"The auto-assessment tool is built on Windows Server 2016 and contains Django Web framework for user interface, PTC Creo Parametric 3.0 M110 to open and run CAD models, Python (version 3.5.4) wrapper for Creo's Visual Basic API for commanding Creo, and Celery for queue tasks","Kaur Jaakma,Panu Kiviluoma","CAD,Workload,Computer science","https://pypi.org/project/Django/, https://github.com/django/django",https://pypi.org/project/Django/,1,Django,,"WWW/HTTP, Dynamic Content, WSGI, Application Frameworks, Python Modules","A high-level Python web framework that encourages rapid development and clean, pragmatic design.",1.0,,0.3079204559326172,0.0532535202801227,1.0,0.590293494053185,0.0532535202801227,1.0
