name,paragraph,doi,synonyms,language,authors,urls,not_urls
Aliquot,Aliquot 5 was kept as a backup aliquot for any repeat runs resulting from invalid results and also for running a subset of the samples on the early callout mode on the ID Now platform,10.1128/JCM.01611-19,"AliquotG,AliquotSize,Aliquots",,"Neena Kanwar,Jeffrey Michael,Kathryn Doran,Emily C. Montgomery,Rangaraj Selvarangan","https://github.com/lazka/aliquot, https://github.com/guinn8/aliquot, https://github.com/MatthewJohnMorris/Aliquot","https://cran.r-project.org/package=ialiquor, https://github.com/ajbass/lit, https://cran.r-project.org/package=cliot, https://github.com/NCI-GDC/aliquot-maf-tools, https://github.com/cran/ialiquor, https://cran.r-project.org/package=lit, https://github.com/cran/cliot, https://github.com/cran/lit, https://github.com/clearhaus/aliquot, https://github.com/MersenneForum/MersenneForumAliquot"
Aliquot,"Aliquot and timespan interact with FxD separately, with the exception of the 4-way interaction for the non-Prime females",10.1371/journal.pone.0234676,"AliquotG,AliquotSize,Aliquots",,Kurt Steinwascher,"https://github.com/guinn8/aliquot, https://github.com/MatthewJohnMorris/Aliquot","https://cran.r-project.org/package=ialiquor, https://github.com/ajbass/lit, https://github.com/lazka/aliquot, https://cran.r-project.org/package=cliot, https://github.com/NCI-GDC/aliquot-maf-tools, https://github.com/cran/ialiquor, https://cran.r-project.org/package=lit, https://github.com/cran/cliot, https://github.com/cran/lit, https://github.com/clearhaus/aliquot, https://github.com/MersenneForum/MersenneForumAliquot"
Aliquot,Aliquot for zero time point was taken,10.1371/journal.pgen.1005308,"AliquotG,AliquotSize,Aliquots",,"Musinu Zakari,Rhonda Trimble Ross,Allison Peak,Marco Blanchette,Chris Seidel,Jennifer L. Gerton","https://github.com/guinn8/aliquot, https://github.com/MatthewJohnMorris/Aliquot","https://cran.r-project.org/package=ialiquor, https://github.com/ajbass/lit, https://github.com/lazka/aliquot, https://cran.r-project.org/package=cliot, https://github.com/NCI-GDC/aliquot-maf-tools, https://github.com/cran/ialiquor, https://cran.r-project.org/package=lit, https://github.com/cran/cliot, https://github.com/cran/lit, https://github.com/clearhaus/aliquot, https://github.com/MersenneForum/MersenneForumAliquot"
Aliquot,Aliquot prep: ,10.3791/820,"AliquotG,AliquotSize,Aliquots",,"L. Frank,Angela D. Caldera-Siu,Emmanuel N. Pothos","https://github.com/guinn8/aliquot, https://github.com/MatthewJohnMorris/Aliquot","https://cran.r-project.org/package=ialiquor, https://github.com/ajbass/lit, https://github.com/lazka/aliquot, https://cran.r-project.org/package=cliot, https://github.com/NCI-GDC/aliquot-maf-tools, https://github.com/cran/ialiquor, https://cran.r-project.org/package=lit, https://github.com/cran/cliot, https://github.com/cran/lit, https://github.com/clearhaus/aliquot, https://github.com/MersenneForum/MersenneForumAliquot"
Aliquot, Aliquot,10.1007/s00266-020-01762-7,"AliquotG,AliquotSize,Aliquots",,Maurício de Maio,"https://github.com/guinn8/aliquot, https://github.com/MatthewJohnMorris/Aliquot","https://cran.r-project.org/package=ialiquor, https://github.com/ajbass/lit, https://github.com/lazka/aliquot, https://cran.r-project.org/package=cliot, https://github.com/NCI-GDC/aliquot-maf-tools, https://github.com/cran/ialiquor, https://cran.r-project.org/package=lit, https://github.com/cran/cliot, https://github.com/cran/lit, https://github.com/clearhaus/aliquot, https://github.com/MersenneForum/MersenneForumAliquot"
Axe,Axe uses a set of pre-computed prefix trees to find a match within a given Hamming distance and can partially handle barcodes that differ in length,10.1186/s12859-021-04267-5,"Axeq,AXES,AXEF,AXER,axe-demultiplexer,Axel,Axed,Axes,axe",,"Lior Galanti,Dennis Shasha,Kristin C. Gunsalus",https://github.com/soasme/axe,"https://pypi.org/project/Axe/, https://cran.r-project.org/package=EfficientMaxEigenpair, https://github.com/connormayer/maxent.ot, https://github.com/cran/MIAmaxent, https://cran.r-project.org/package=MaxentVariableSelection, https://cran.r-project.org/package=maxEff, https://github.com/cran/maxent.ot, https://cran.r-project.org/package=maxent.ot, https://github.com/mxjki/EfficientMaxEigenpair, https://github.com/cran/EfficientMaxEigenpair, https://github.com/jazzband/django-axes, https://github.com/dequelabs/react-axe, https://github.com/julienvollering/MIAmaxent, https://github.com/cran/MaxentVariableSelection, https://github.com/cran/maxEff, https://github.com/axel-download-accelerator/axel, https://github.com/NickColley/jest-axe, https://github.com/dequelabs/axe-core, https://cran.r-project.org/package=MIAmaxent"
Axe,Paired-end reads were demultiplexed and barcodes were trimmed using Axe [79] with a maximum mismatch of 1,10.3390/genes10010009,"Axeq,AXES,AXEF,AXER,axe-demultiplexer,Axel,Axed,Axes,axe",,"Stephanie J. Galla,Natalie J. Forsdick,Liz Brown,Marc P. Hoeppner,Michael Knapp,Richard F. Maloney,Roger Moraga,Anna W. Santure,Tammy E. Steeves",,"https://pypi.org/project/Axe/, https://cran.r-project.org/package=EfficientMaxEigenpair, https://github.com/connormayer/maxent.ot, https://github.com/cran/MIAmaxent, https://cran.r-project.org/package=MaxentVariableSelection, https://cran.r-project.org/package=maxEff, https://github.com/cran/maxent.ot, https://cran.r-project.org/package=maxent.ot, https://github.com/mxjki/EfficientMaxEigenpair, https://github.com/cran/EfficientMaxEigenpair, https://github.com/jazzband/django-axes, https://github.com/dequelabs/react-axe, https://github.com/julienvollering/MIAmaxent, https://github.com/cran/MaxentVariableSelection, https://github.com/cran/maxEff, https://github.com/axel-download-accelerator/axel, https://github.com/soasme/axe, https://github.com/NickColley/jest-axe, https://github.com/dequelabs/axe-core, https://cran.r-project.org/package=MIAmaxent"
Axe,"Popular tools include FASTX-Toolkit (Gordon & Hannon, 2010), Axe (Murray & Borevitz, 2018), Flexbar (Dodt et al., 2012; Roehr, Dieterich & Reinert, 2017), Cutadapt (Martin, 2011), and AdapterRemoval (Lindgreen, 2012; Schubert, Lindgreen & Orlando, 2016), Trimmomatic (Bolger, Lohse & Usadel, 2014), Skewer (Jiang et al., 2014), and GBSX (Herten et al., 2015)",10.7717/peerj.7170,"Axeq,AXES,AXEF,AXER,axe-demultiplexer,Axel,Axed,Axes,axe",,Daniel Liu,"https://cran.r-project.org/package=maxEff, https://github.com/soasme/axe","https://pypi.org/project/Axe/, https://cran.r-project.org/package=EfficientMaxEigenpair, https://github.com/connormayer/maxent.ot, https://github.com/cran/MIAmaxent, https://cran.r-project.org/package=MaxentVariableSelection, https://github.com/cran/maxent.ot, https://cran.r-project.org/package=maxent.ot, https://github.com/mxjki/EfficientMaxEigenpair, https://github.com/cran/EfficientMaxEigenpair, https://github.com/jazzband/django-axes, https://github.com/dequelabs/react-axe, https://github.com/julienvollering/MIAmaxent, https://github.com/cran/MaxentVariableSelection, https://github.com/cran/maxEff, https://github.com/axel-download-accelerator/axel, https://github.com/NickColley/jest-axe, https://github.com/dequelabs/axe-core, https://cran.r-project.org/package=MIAmaxent"
Axe,"Raw reads were assigned to individual samples in accordance with their nucleotide barcode, using Axe package [60]",10.1186/s12870-018-1575-z,"Axeq,AXES,AXEF,AXER,axe-demultiplexer,Axel,Axed,Axes,axe",,"Junchi Zhu,Yinshan Guo,Kai Su,Zhendong Liu,Zhihua Ren,Kun Li,Xiuwu Guo",https://github.com/soasme/axe,"https://pypi.org/project/Axe/, https://cran.r-project.org/package=EfficientMaxEigenpair, https://github.com/connormayer/maxent.ot, https://github.com/cran/MIAmaxent, https://cran.r-project.org/package=MaxentVariableSelection, https://cran.r-project.org/package=maxEff, https://github.com/cran/maxent.ot, https://cran.r-project.org/package=maxent.ot, https://github.com/mxjki/EfficientMaxEigenpair, https://github.com/cran/EfficientMaxEigenpair, https://github.com/jazzband/django-axes, https://github.com/dequelabs/react-axe, https://github.com/julienvollering/MIAmaxent, https://github.com/cran/MaxentVariableSelection, https://github.com/cran/maxEff, https://github.com/axel-download-accelerator/axel, https://github.com/NickColley/jest-axe, https://github.com/dequelabs/axe-core, https://cran.r-project.org/package=MIAmaxent"
BeautifulSoup,"For the prior knowledge from UniProt KB, we use Bioservices, urllib, BeautifulSoup tool does finish a series of processes",10.1186/s12859-020-3540-8,"BeautifulSoup9,beautifulsoup4,BeautifulSoup Python Package,BeautifulSoup Python library,Beautiful,Beautiful Soup,beautiful-soup,BeautifulSoup4,Beautiful soup,BeautifulSoup 4 (PyPi),BeatifulSoup,Beautiful Soup”",,"Zhijing Li,Yuchen Lian,Xiaoyong Ma,Xiangrong Zhang,Chen Li","https://github.com/wention/BeautifulSoup4, https://github.com/icodeu/BeautifulSoup, https://pypi.org/project/BeautifulSoup/, https://pypi.org/project/beautifulsoup4/","https://github.com/DeronW/beautifulsoup, https://github.com/beautifulSoup/RtmpRecoder, https://github.com/collegue1337/BeautifulSoup4"
