name;candidate_urls;doi;paragraph
Circos;https://github.com/ericmjl/Circos;10.3390/ijms21041293;The relationships of orthologous genes between radish and Arabidopsis were plotted using the Circos software.
Circos;https://github.com/ericmjl/Circos;10.3389/fmicb.2017.02504;The phylogenetic distributions of the top 10 identified organisms were visualized at phylum and class levels in a chord diagram using Circos (Krzywinski et al., 2009).
Circos;https://github.com/ericmjl/Circos;10.12688/f1000research.14383.1;Genetic variations were visualized using Circos (version 0.69) with “chromosomes_unites = 1000000”.
ProBLM;https://github.com/intellhave/ProBLM;10.3390/molecules25245934;Due to increasing interest and the availability of more powerful algorithms and hardware, in recent years, several web servers have been developed with the scope to prepare and/or perform different resolution levels of MD simulations, i.e., CHARMM-GUI [42], CABS-flex [43], locPREFMD [44], MDWeb [45], PREFMD [46], ProBLM [47], SMOG [48], UNRES [49], Vienna-PTM [50], MM/CG web server [51]
ProBLM;https://github.com/intellhave/ProBLM;10.1155/2014/838259;The object generation currently supports the basic shapes of cylinders, parallelepipeds, cones, and spheres but only the parallelepiped is used in the ProBLM server
ProBLM;https://github.com/intellhave/ProBLM;10.1007/s13205-015-0310-9;To get some idea about this, the new ProBLM webserver is used (Kimmett et al
TOPCONS;https://github.com/jobc90/TOPCONS;10.1093/bioinformatics/btab049;For ease of use, ConPlot parses these popular file formats: PSIPRED secondary structure predictions (McGuffin et al., 2000), IUPRED sequence disorder predictions (Dosztányi, 2018), TOPCONS membrane topology predictions (Tsirigos et al., 2015) and CONSURF sequence conservation prediction (Ashkenazy et al., 2016)
TOPCONS;https://github.com/jobc90/TOPCONS;10.3389/fbioe.2020.629937;As for topology prediction, we compared TMPSS to state-of-the-art topology predictors, including HMMTOP 2 (Tusnady and Simon, 2001), OCTOPUS (Viklund and Elofsson, 2008), TOPCONS (Tsirigos et al., 2015), Philius (Reynolds et al., 2008), PolyPhobius (Jones, 2007), SCAMPI (Bernsel et al., 2008), and SPOCTOPUS (Viklund et al., 2008)
TOPCONS;https://github.com/jobc90/TOPCONS;10.1038/s41598-018-21631-3;The 2D membrane topology of MdesOrco was predicted using TOPCONS software.
AceView;https://github.com/ncbi/AceView;10.1186/gb-2006-7-s1-s4;Panel C shows the human ANKRD43 locus in ENr221 for which AceView (light pink/blue), Pairagon and Ensembl all predict a shorter CDS than GENCODE
AceView;https://github.com/ncbi/AceView;10.1371/journal.pgen.1002218;A comprehensive set of ∼136,000 events of these eight types was derived from the AceView gene annotations [31]
AceView;https://github.com/ncbi/AceView;10.1186/1471-2105-14-S11-S8;Multiple human genome annotations exist, including the AceView database [9] and the RefSeq database [10]
Prime;https://github.com/DHuckaby/Prime;10.3390/molecules161210357;The second step is represented by the reconstruction of the removed side chains by predicting their most energetic favoured conformation and the minimization of the edited residues using Prime (Prime version 2.2-Schrödinger Suite)
Prime;https://github.com/DHuckaby/Prime;10.1074/jbc.M114.561449;Loop refinement was performed using Prime's loop refinement module (17)
Prime;https://github.com/DHuckaby/Prime;10.3390/molecules22040522;"Protein crystal structures were prepared prior to docking by the Protein Preparation Wizard [55] synchronizing the following modules: Epik, version 3.6, 2016 [56]; Impact, version 7.1, 2016; Prime, version 4.4, 2016 [57]"
GNOMON;https://github.com/nicoguich/GNOMON;10.1186/s12864-015-2349-8;"Four sets of NMR transcripts from different sources were used for comparison: 76,826 Reference Sequence mRNAs modeled by NCBI’s eukaryotic genome annotation pipeline, GNOMON (NCBI Heterocephalus glaber Annotation Release 100; abbreviated as TGNOMON); 21,771 CDSs published by Kim et al"
GNOMON;https://github.com/nicoguich/GNOMON;10.3390/biom1010003;These records were derived from annotated genomic sequences using the gene prediction method: GNOMON and predicted sequences with high similarity scores for human ITB
GNOMON;https://github.com/nicoguich/GNOMON;10.1186/1477-5956-8-57;This record is derived from a genomic sequence (NW_001501727) which was annotated using the GNOMON gene prediction method and is supported by EST evidence
SHAN;https://github.com/uctoronto/SHAN;10.3389/fmicb.2019.01373;Jaccard’s coefficients were clustered to generate a dendrogram by using SHAN clustering program using the unweighted paired group method with arithmetic average analysis (UPGMA) (Rohlf, 1998).
SHAN;https://github.com/uctoronto/SHAN;10.1007/s42360-018-0054-7;The dendogram was constructed by the unweighted paired group method of arithmetic average (UPGMA) based on Jaccard’s similarity coefficient (Jaccard 1908) with SHAN program of NTSYS-PC.
SHAN;https://github.com/uctoronto/SHAN;10.1371/journal.pone.0105298;Unweighted Pair Group Method with Arithmetic Mean (UPGMA) dendrogram was constructed based on the genetic similarity matrix with the SHAN clustering program [50].
MEGAN;https://github.com/tuanl12/MEGAN;10.1186/s12859-016-0932-x;Although suitable for taxonomic and functional analysis of data, neither MEGAN nor PICRUSt involve a data compression component, as is to be expected from highly specialized analytic software.
MEGAN;https://github.com/tuanl12/MEGAN;10.1128/mSystems.00020-16;This allowed comparison to the following algorithms: CLARK (17), Kraken (16), OneCodex (30), LMAT (31), MG-RAST (32), MetaPhlAn (33), mOTU (14), Genometa (34), QIIME (35), EBI (36), MetaPhyler (15), MEGAN (37), taxator-tk (38), and GOTTCHA (39).
MEGAN;https://github.com/tuanl12/MEGAN;10.3389/fmicb.2021.736484;Then, the taxonomical level of each gene was determined by using the lowest common ancestor (LCA)-based algorithm implemented in MEGAN (Huson et al., 2007)
dendextend;https://github.com/talgalili/dendextend;10.1111/jcmm.16222;Principal component analysis (PCA) of the samples was achieved through the R‐built‐in function ‘prcomp’, while for cluster analysis the R package ‘dendextend’ was employed
dendextend;https://github.com/talgalili/dendextend;10.1093/jxb/erx163;Comparison of the two hierarchical trees was conducted in R using the package dendextend (Galili, 2015)
