id,name,doi,paragraph,synonyms,language,authors
1,(STAR,10.1038/s41598-021-86032-5,"Then, the high-quality reads were aligned to the reference genome (hg19) using Spliced Transcripts Alignment to a Reference (STAR) with the parameter –quantMode GeneCounts for gene-level quantification and otherwise default parameters","(STARS,(STARDIT),(star,luteinizing hormone-induced protein,(STAR),(STARS),(STARD,steroidogenic acute regulatory protein,mitochondrial,start domain-containing protein 1,stard1,(STARMAPs,star,(START),STAR",,"Timothy Warwick,Marcel H. Schulz,Stefan Günther,Ralf Gilsbach,Antonio Neme,Carsten Carlberg,Ralf P. Brandes,Sabine Seuter"
2,(STAR,10.3389/fphys.2020.623190,"Next, the two reads per sample (R1 and R2) were mapped to the mouse reference genome (build GRCm38/mm10) using Spliced Transcripts Alignment to a Reference (STAR version 2.6.1) (Dobin et al., 2013)","(STARS,(STARDIT),(star,luteinizing hormone-induced protein,(STAR),(STARS),(STARD,steroidogenic acute regulatory protein,mitochondrial,start domain-containing protein 1,stard1,(STARMAPs,star,(START),STAR",,"Marta Pérez-Hernández,Grecia M. Marrón-Liñares,Florencia Schlamp,Adriana Heguy,Chantal J.M. van Opbergen,Valeria Mezzano,Mingliang Zhang,Feng‐Xia Liang,Marina Cerrone,Mario Delmar"
3,ABBYY,10.1109/JTEHM.2019.2935451,"A 4-sample test for equality of proportions showed that the overall successful search rate differed significantly between the OCR engines (, df = 3, p < 0.001), with ML Kit and Rekognition having a significantly higher overall success rate than Azure OCR and ABBYY RTR (p < 0.001 for all multiple pairwise comparison with Bonferroni correction)",ABBYY OCR,,"Shrinivas Pundlik,Anikait Singh,Gautam Baghel,Vilte Baliutaviciute,Gang Luo"
4,ABBYY,10.1109/JTEHM.2019.2935451,"Four different OCR Engines that can be implemented via an API were evaluated to determine the accuracy and usability of each engine: Google Machine Learning Kit (ML Kit) [26], Microsoft Azure’s Cognitive Services (Azure OCR) [27], ABBYY’s Real Time Recognition SDK (ABBY RTR) [28], and Amazon’s Rekognition SDK (Rekognition) [29]",ABBYY OCR,,"Shrinivas Pundlik,Anikait Singh,Gautam Baghel,Vilte Baliutaviciute,Gang Luo"
5,ABBYY,10.1109/JTEHM.2019.2935451,"Successful search rate at zoom level differed significantly between the 4 OCR engines (, df = 3, p < 0.001), with ML Kit being the most successful in detecting keywords without needing to zoom in, followed by Rekognition, Azure OCR, and ABBYY RTR",ABBYY OCR,,"Shrinivas Pundlik,Anikait Singh,Gautam Baghel,Vilte Baliutaviciute,Gang Luo"
6,ABBYY,10.1186/s13637-017-0057-1,"Hand-writing recognition is a well-established problem and we have experimented with different resources including Omnipage Capture SDK [18], Captricity [19], and ABBYY [20], which to the best of our knowledge are among the best tools in the market for recognizing hand-written letters and have been widely used in recognizing and transforming documents into usable digital forms [21]",ABBYY OCR,,"Jianbo Yuan,Chester Holtz,Tristram Smith,Jiebo Luo"
7,ABBYY,10.12688/f1000research.7329.3,"We analyzed different freely available and commercial OCR systems and libraries including Aspose, PUMA, Microsoft OCR, Tesseract, LEADTOOLS, Nicomsoft OCR, MeOCR OCR, OmniPage, ABBYY, Bytescout claiming to be able to extract embedded text from figures",ABBYY OCR,,"Zeeshan Ahmed,Thomas Dandekar"
8,BCEA,10.1371/journal.pntd.0008521,We used the BCEA package in the software R 3.6.1 for the analysis [23].,"R-package BCEA,R package BCEA,R package BCEA (Bayesian Cost Effectiveness Analysis),BCE",R,"Anuj Tiwari,David J. Blok,Mohammad Arif,Jan Hendrik Richardus"
9,BeautifulSoup,10.1007/s12061-021-09386-3,"Our web-scraping tool based on Python and BeautifulSoup retrieved the following information: name, telephone, address, postcode, latitude, longitude, opening and closing times for each day of the week, and a list of services including Finance services","Beautiful Soup”,beautiful-soup,BeautifulSoup Python library,Beautiful,BeautifulSoup Python Package,Beautiful soup,Beautiful Soup,BeatifulSoup,BeautifulSoup4,beautifulsoup4,BeautifulSoup9,BeautifulSoup 4 (PyPi)",Python,"Andra Sonea,René Westerholt"
10,BeautifulSoup,10.1038/s41597-020-00682-0,"Wikipedia is accessed through the MediaWiki API using Python, and the BeautifulSoup, json, and requests packages","Beautiful Soup”,beautiful-soup,BeautifulSoup Python library,Beautiful,BeautifulSoup Python Package,Beautiful soup,Beautiful Soup,BeatifulSoup,BeautifulSoup4,beautifulsoup4,BeautifulSoup9,BeautifulSoup 4 (PyPi)",Python,"Angel Hsu,Zhi Yi Yeo,Ross Rauber,James Sun,Yunsoo Kim,Sowmya Raghavan,Nicholas Chin,Vasu Namdeo,Amy Weinfurter"
