name,ground truth,candidate_urls,doi,paragraph,synonyms,language,authors
BioMark,,"https://github.com/markwk/awesome-biomarkers,https://github.com/spiros/ukb-biomarker-phenotypes,https://github.com/NoTranslationLayer/biomarkerdash,https://github.com/ELELAB/CAncer-bioMarker-Prediction-Pipeline-CAMPP,https://cran.r-project.org/package=RMark,https://github.com/AIM-Harvard/foundation-cancer-image-biomarker,https://cran.r-project.org/package=NNTbiomarker,https://cran.r-project.org/package=ICBioMark,https://github.com/cran/BioMark,https://github.com/cran/optBiomarker,https://cran.r-project.org/package=optBiomarker,https://github.com/cran/ICBioMark,https://github.com/cran/NNTbiomarker,https://github.com/cran/RMark,https://cran.r-project.org/web/packages/BioMark/index.html",10.1186/1471-2164-13-521,"Genotype calling was carried out using the SDS 2.3 software (Life Technologies, Carlsbad California) or the BioMark 3.0.2 software (Fluidigm, South San Francisco, California)","Biomark qPCR,Biomart,BIOMARKERY,Biomarts,Biomark HD,Biomark Chip,BIOMA,BIOMARKER,Biomarkers,Biomarker,BIOMARCS,BiomarkHD,BioMarcs,BioMar,BIOMARKAPD,BioMark HD,BioMA,BioMark R Bioconductor package,R BioMark package,BiomarkTM,Biomarks,BioMarkTM,BiomarC,BIOMART,Biomarker2vec,BiomarkeR,BiomarkR,BioMART,BIOMASAR,BIOMARK HD,ImBioMark,Biomark & EP1,BioMarks,BioMart,BIOMARIN,BiomarC®,BioMarts,BIOMAR,R package BioMark,BioMarker,BioMarKs,Biomartr",,"Meredith V. Everett,Michael R. Miller,James E. Seeb"
BioMark,,"https://github.com/markwk/awesome-biomarkers,https://github.com/spiros/ukb-biomarker-phenotypes,https://github.com/NoTranslationLayer/biomarkerdash,https://github.com/ELELAB/CAncer-bioMarker-Prediction-Pipeline-CAMPP,https://cran.r-project.org/package=RMark,https://github.com/AIM-Harvard/foundation-cancer-image-biomarker,https://cran.r-project.org/package=NNTbiomarker,https://cran.r-project.org/package=ICBioMark,https://github.com/cran/BioMark,https://github.com/cran/optBiomarker,https://cran.r-project.org/package=optBiomarker,https://github.com/cran/ICBioMark,https://github.com/cran/NNTbiomarker,https://github.com/cran/RMark,https://cran.r-project.org/web/packages/BioMark/index.html",10.1534/g3.115.020222,"Genotypes were called using the BioMark software v3.0.2 (Fluidigm, South San Francisco, CA)","Biomark qPCR,Biomart,BIOMARKERY,Biomarts,Biomark HD,Biomark Chip,BIOMA,BIOMARKER,Biomarkers,Biomarker,BIOMARCS,BiomarkHD,BioMarcs,BioMar,BIOMARKAPD,BioMark HD,BioMA,BioMark R Bioconductor package,R BioMark package,BiomarkTM,Biomarks,BioMarkTM,BiomarC,BIOMART,Biomarker2vec,BiomarkeR,BiomarkR,BioMART,BIOMASAR,BIOMARK HD,ImBioMark,Biomark & EP1,BioMarks,BioMart,BIOMARIN,BiomarC®,BioMarts,BIOMAR,R package BioMark,BioMarker,BioMarKs,Biomartr",,"Morten T. Limborg,Ryan K. Waples,Fred W. Allendorf,James E. Seeb"
BioMark,,"https://github.com/markwk/awesome-biomarkers,https://github.com/spiros/ukb-biomarker-phenotypes,https://github.com/NoTranslationLayer/biomarkerdash,https://github.com/ELELAB/CAncer-bioMarker-Prediction-Pipeline-CAMPP,https://cran.r-project.org/package=RMark,https://github.com/AIM-Harvard/foundation-cancer-image-biomarker,https://cran.r-project.org/package=NNTbiomarker,https://cran.r-project.org/package=ICBioMark,https://github.com/cran/BioMark,https://github.com/cran/optBiomarker,https://cran.r-project.org/package=optBiomarker,https://github.com/cran/ICBioMark,https://github.com/cran/NNTbiomarker,https://github.com/cran/RMark,https://cran.r-project.org/web/packages/BioMark/index.html",10.1371/journal.pone.0001662,Data was analyzed using the BioMark digital array software and the numbers of positive chambers were corrected to estimate the true number of copies [32],"Biomark qPCR,Biomart,BIOMARKERY,Biomarts,Biomark HD,Biomark Chip,BIOMA,BIOMARKER,Biomarkers,Biomarker,BIOMARCS,BiomarkHD,BioMarcs,BioMar,BIOMARKAPD,BioMark HD,BioMA,BioMark R Bioconductor package,R BioMark package,BiomarkTM,Biomarks,BioMarkTM,BiomarC,BIOMART,Biomarker2vec,BiomarkeR,BiomarkR,BioMART,BIOMASAR,BIOMARK HD,ImBioMark,Biomark & EP1,BioMarks,BioMart,BIOMARIN,BiomarC®,BioMarts,BIOMAR,R package BioMark,BioMarker,BioMarKs,Biomartr",,"Sandra L. Spurgeon,Robert C. Jones,Ramesh Ramakrishnan"
BioMark,,"https://github.com/markwk/awesome-biomarkers,https://github.com/spiros/ukb-biomarker-phenotypes,https://github.com/NoTranslationLayer/biomarkerdash,https://github.com/ELELAB/CAncer-bioMarker-Prediction-Pipeline-CAMPP,https://cran.r-project.org/package=RMark,https://github.com/AIM-Harvard/foundation-cancer-image-biomarker,https://cran.r-project.org/package=NNTbiomarker,https://cran.r-project.org/package=ICBioMark,https://github.com/cran/BioMark,https://github.com/cran/optBiomarker,https://cran.r-project.org/package=optBiomarker,https://github.com/cran/ICBioMark,https://github.com/cran/NNTbiomarker,https://github.com/cran/RMark,https://cran.r-project.org/web/packages/BioMark/index.html",10.1186/s12862-017-1109-6,Data from the gene expression analysis were processed using the Fluidigm-integrated software (Fluidigm Real-Time PCR analysis; BioMark Version 4.1.2),"Biomark qPCR,Biomart,BIOMARKERY,Biomarts,Biomark HD,Biomark Chip,BIOMA,BIOMARKER,Biomarkers,Biomarker,BIOMARCS,BiomarkHD,BioMarcs,BioMar,BIOMARKAPD,BioMark HD,BioMA,BioMark R Bioconductor package,R BioMark package,BiomarkTM,Biomarks,BioMarkTM,BiomarC,BIOMART,Biomarker2vec,BiomarkeR,BiomarkR,BioMART,BIOMASAR,BIOMARK HD,ImBioMark,Biomark & EP1,BioMarks,BioMart,BIOMARIN,BiomarC®,BioMarts,BIOMAR,R package BioMark,BioMarker,BioMarKs,Biomartr",,"Isabel Salome Keller,Walter Salzburger,Olivia Roth"
BioMark,,"https://github.com/markwk/awesome-biomarkers,https://github.com/spiros/ukb-biomarker-phenotypes,https://github.com/NoTranslationLayer/biomarkerdash,https://github.com/ELELAB/CAncer-bioMarker-Prediction-Pipeline-CAMPP,https://cran.r-project.org/package=RMark,https://github.com/AIM-Harvard/foundation-cancer-image-biomarker,https://cran.r-project.org/package=NNTbiomarker,https://cran.r-project.org/package=ICBioMark,https://github.com/cran/BioMark,https://github.com/cran/optBiomarker,https://cran.r-project.org/package=optBiomarker,https://github.com/cran/ICBioMark,https://github.com/cran/NNTbiomarker,https://github.com/cran/RMark,https://cran.r-project.org/web/packages/BioMark/index.html",10.3390/ijms17030402,"The BioMark software (Fluidigm, South San Francisco, CA, USA) can generate PCR amplification curves and analyze the threshold values of the 36,960 individual partitions (48 × 770)","Biomark qPCR,Biomart,BIOMARKERY,Biomarts,Biomark HD,Biomark Chip,BIOMA,BIOMARKER,Biomarkers,Biomarker,BIOMARCS,BiomarkHD,BioMarcs,BioMar,BIOMARKAPD,BioMark HD,BioMA,BioMark R Bioconductor package,R BioMark package,BiomarkTM,Biomarks,BioMarkTM,BiomarC,BIOMART,Biomarker2vec,BiomarkeR,BiomarkR,BioMART,BIOMASAR,BIOMARK HD,ImBioMark,Biomark & EP1,BioMarks,BioMart,BIOMARIN,BiomarC®,BioMarts,BIOMAR,R package BioMark,BioMarker,BioMarKs,Biomartr",,"Pengyu Zhu,Chenguang Wang,Kunlun Huang,Yunbo Luo,Wentao Xu"
Factoshiny,,"https://github.com/sithor/factoshiny,https://cran.r-project.org/package=Factoshiny,https://github.com/Papalpatine/factoshiny1,https://github.com/cran/FactoMineR,https://github.com/cran/protoshiny,https://github.com/Papalpatine/factoshiny,https://cran.r-project.org/package=FactoMineR,https://cran.r-project.org/web/packages/Factoshiny/index.html,https://github.com/cran/Factoshiny,https://github.com/alekrutkowski/autoshiny,https://cran.r-project.org/package=autoshiny,https://github.com/husson/Factoshiny,https://cran.r-project.org/package=protoshiny,https://github.com/husson/FactoMineR,https://github.com/cran/autoshiny",10.7717/peerj.12031,"The PCA was performed in R version 4.0.3 with the function “PCAshiny” in the “Factoshiny” package (Vaissie, Monge & Husson, 2021)","FactoShiny R,FactoShiny,Factoshiny",R,"Renato Crespo Pereira,Nathália Nocchi,Tatiana Ungaretti Paleo Konno,Angélica Ribeiro Soares"
Factoshiny,,"https://github.com/sithor/factoshiny,https://cran.r-project.org/package=Factoshiny,https://github.com/Papalpatine/factoshiny1,https://github.com/cran/FactoMineR,https://github.com/cran/protoshiny,https://github.com/Papalpatine/factoshiny,https://cran.r-project.org/package=FactoMineR,https://cran.r-project.org/web/packages/Factoshiny/index.html,https://github.com/cran/Factoshiny,https://github.com/alekrutkowski/autoshiny,https://cran.r-project.org/package=autoshiny,https://github.com/husson/Factoshiny,https://cran.r-project.org/package=protoshiny,https://github.com/husson/FactoMineR,https://github.com/cran/autoshiny",10.1038/s41598-021-98634-0,Factoshiny software package running within RStudio was used for HCPC analysis,"FactoShiny R,FactoShiny,Factoshiny",R,"Francesca Nyega Otim,I−Ru Chen,Ochan Otim"
Factoshiny,,"https://github.com/sithor/factoshiny,https://cran.r-project.org/package=Factoshiny,https://github.com/Papalpatine/factoshiny1,https://github.com/cran/FactoMineR,https://github.com/cran/protoshiny,https://github.com/Papalpatine/factoshiny,https://cran.r-project.org/package=FactoMineR,https://cran.r-project.org/web/packages/Factoshiny/index.html,https://github.com/cran/Factoshiny,https://github.com/alekrutkowski/autoshiny,https://cran.r-project.org/package=autoshiny,https://github.com/husson/Factoshiny,https://cran.r-project.org/package=protoshiny,https://github.com/husson/FactoMineR,https://github.com/cran/autoshiny",10.1186/s12864-021-07902-w,The FactoMineR [158] R package was used to perform the analysis and Factoshiny [159] was used to generate PCA plots.,"FactoShiny R,FactoShiny,Factoshiny",R,"Jan H. Nagel,Michael J. Wingfield,Bernard Slippers"
Factoshiny,,"https://github.com/sithor/factoshiny,https://cran.r-project.org/package=Factoshiny,https://github.com/Papalpatine/factoshiny1,https://github.com/cran/FactoMineR,https://github.com/cran/protoshiny,https://github.com/Papalpatine/factoshiny,https://cran.r-project.org/package=FactoMineR,https://cran.r-project.org/web/packages/Factoshiny/index.html,https://github.com/cran/Factoshiny,https://github.com/alekrutkowski/autoshiny,https://cran.r-project.org/package=autoshiny,https://github.com/husson/Factoshiny,https://cran.r-project.org/package=protoshiny,https://github.com/husson/FactoMineR,https://github.com/cran/autoshiny",10.1186/s12866-019-1678-1,PCA was used to identify correlations among the strains using the genetic information and data from the isolation sources generated in the current study and the FactoMineR and Factoshiny packages (version 1.42) in R (version 3.5.2) software (https://cran.r-project.org/),"FactoShiny R,FactoShiny,Factoshiny",R,"Akiko Okutani,Satoshi Inoue,Akira Noguchi,Yoshihiro Kaku,Shigeru Morikawa"
Factoshiny,,"https://github.com/sithor/factoshiny,https://cran.r-project.org/package=Factoshiny,https://github.com/Papalpatine/factoshiny1,https://github.com/cran/FactoMineR,https://github.com/cran/protoshiny,https://github.com/Papalpatine/factoshiny,https://cran.r-project.org/package=FactoMineR,https://cran.r-project.org/web/packages/Factoshiny/index.html,https://github.com/cran/Factoshiny,https://github.com/alekrutkowski/autoshiny,https://cran.r-project.org/package=autoshiny,https://github.com/husson/Factoshiny,https://cran.r-project.org/package=protoshiny,https://github.com/husson/FactoMineR,https://github.com/cran/autoshiny",10.3389/fnut.2021.592340,"Factoshiny package running within RStudio platform was used for HCPC (48, 49).","FactoShiny R,FactoShiny,Factoshiny",R,"Keneth Iceland Kasozi,Yunusu Hamira,Gerald Zirintunda,Khalaf F. Alsharif,Farag M. A. Altalbawy,Justine Ekou,Andrew Tamale,Kevin Matama,Fred Ssempijja,Robert Muyinda,Francis Kawooya,Theophilus Pius,Hellen Kisakye,Paul Bogere,Henry Matovu,Leonard Omadang,Patrick Etiang,Joseph Mbogua,Juma John Ochieng,Lawrence Obado Osuwat,Regan Mujinya,Gaber El‐Saber Batiha,Ochan Otim"
