name,paragraph,doi,synonyms,language,authors,urls,not_urls
3,"Bootscan, Chimera, GeneConv, MaxChi, RDP, SiScan, and 3 Seq",10.1371/journal.pone.0241212,"Python 3,Python 3 Idle",,"Chutchai Piewbang,Sabrina Wahyu Wardhani,Surangkanang Chaiyasak,Jakarwan Yostawonkul,Poowadon Chai‐in,Suwimon Boonrungsiman,Tanit Kasantikul,Somporn Techangamsuwan",https://github.com/mumax/3,"https://github.com/d3/d3, https://github.com/cran/Ac3net, https://cran.r-project.org/package=A3, https://github.com/leonardomso/33-js-concepts, https://github.com/deepseek-ai/DeepSeek-V3, https://cran.r-project.org/package=aods3, https://github.com/Chalarangelo/30-seconds-of-code, https://github.com/cran/aods3, https://github.com/Asabeneh/30-Days-Of-Python, https://pypi.org/project/3/, https://cran.r-project.org/package=alphashape3d, https://github.com/cran/alphashape3d, https://cran.r-project.org/package=Ac3net, https://cran.r-project.org/package=amazons3R, https://github.com/cran/A3, https://github.com/cran/amazons3R"
3,"The RT and No-RT reactions were then diluted to 1/4× with deionized water, and 2 μl was used for qPCR in 25 μl of reaction containing 0.5 μM primers with Power SYBR Green PCR Master Mix and QuantStudio 3 Real-Time PCR System (Thermo Fisher Scientific)",10.7554/eLife.64456,"Python 3,Python 3 Idle",,"Kae-Jiun Chang,Ira Agrawal,Anna Vainshtein,Wan Yun Ho,Wendy Xin,Greg Tucker‐Kellogg,Keiichiro Susuki,Elior Peles,Shuo‐Chien Ling,Jonah R. Chan",,"https://github.com/d3/d3, https://github.com/cran/Ac3net, https://cran.r-project.org/package=A3, https://github.com/leonardomso/33-js-concepts, https://github.com/deepseek-ai/DeepSeek-V3, https://cran.r-project.org/package=aods3, https://github.com/Chalarangelo/30-seconds-of-code, https://github.com/cran/aods3, https://github.com/Asabeneh/30-Days-Of-Python, https://github.com/mumax/3, https://pypi.org/project/3/, https://cran.r-project.org/package=alphashape3d, https://github.com/cran/alphashape3d, https://cran.r-project.org/package=Ac3net, https://cran.r-project.org/package=amazons3R, https://github.com/cran/A3, https://github.com/cran/amazons3R"
3,"The algebra operations are performed by the “Formula 3” (F3) engine, which is developed in parallel with the SOS-X, and may in the future even be made available as a stand-alone software independent from cascading SOS",10.3390/s90705493,"Python 3,Python 3 Idle",,"Denis Havlik,Thomas Bleier,Gerald Schimak",https://github.com/mumax/3,"https://github.com/d3/d3, https://github.com/cran/Ac3net, https://cran.r-project.org/package=A3, https://github.com/leonardomso/33-js-concepts, https://github.com/deepseek-ai/DeepSeek-V3, https://cran.r-project.org/package=aods3, https://github.com/Chalarangelo/30-seconds-of-code, https://github.com/cran/aods3, https://github.com/Asabeneh/30-Days-Of-Python, https://pypi.org/project/3/, https://cran.r-project.org/package=alphashape3d, https://github.com/cran/alphashape3d, https://cran.r-project.org/package=Ac3net, https://cran.r-project.org/package=amazons3R, https://github.com/cran/A3, https://github.com/cran/amazons3R"
ACD,LogD at pH 7.4 (LogD7.4) was estimated as a measure of lipophilicity using trained ACD software as detailed in Supplementary Figure ,10.3389/fphar.2018.01013,"acdc,ACDS,ACDR,ACDO,ACDC,ACDM,MDL® ACD package,ACDA,ACDI,ACDP,acdS",,"Cho Rong Hong,Gib Bogle,Jingli Wang,Kashyap Patel,Frederik B. Pruijn,William R. Wilson,Kevin O. Hicks",,"https://cran.r-project.org/package=fracdist, https://github.com/SLesche/acdc-query, https://github.com/ika-rwth-aachen/acdc, https://github.com/cran/ACDm, https://github.com/cran/fracdiff, https://github.com/cran/acdcR, https://cran.r-project.org/package=acdcquery, https://pypi.org/project/acd/, https://cran.r-project.org/package=fracdiff, https://github.com/ysd2004/acdcR, https://github.com/LeeMorinUCF/fracdist, https://github.com/SarahWeiii/CoACD, https://cran.r-project.org/package=ACDm, https://github.com/csinva/hierarchical-dnn-interpretations, https://github.com/AChep/AcDisplay, https://github.com/ika-rwth-aachen/acdc-notebooks, https://github.com/mmaechler/fracdiff, https://cran.r-project.org/package=acdcR, https://github.com/cran/acdcquery, https://github.com/yadayada/acd_cli, https://github.com/cran/fracdist"
ACD,"The data were processed using ACD software version 9 (Advanced Chemistry Development, Toronto, Canada)",10.1186/1471-2105-11-123,"acdc,ACDS,ACDR,ACDO,ACDC,ACDM,MDL® ACD package,ACDA,ACDI,ACDP,acdS",,"Jennifer Staab,Thomas M. O’Connell,Shawn M. Gomez",https://pypi.org/project/acd/,"https://cran.r-project.org/package=fracdist, https://github.com/SLesche/acdc-query, https://github.com/ika-rwth-aachen/acdc, https://github.com/cran/ACDm, https://github.com/cran/fracdiff, https://github.com/cran/acdcR, https://cran.r-project.org/package=acdcquery, https://cran.r-project.org/package=fracdiff, https://github.com/ysd2004/acdcR, https://github.com/LeeMorinUCF/fracdist, https://github.com/SarahWeiii/CoACD, https://cran.r-project.org/package=ACDm, https://github.com/csinva/hierarchical-dnn-interpretations, https://github.com/AChep/AcDisplay, https://github.com/ika-rwth-aachen/acdc-notebooks, https://github.com/mmaechler/fracdiff, https://cran.r-project.org/package=acdcR, https://github.com/cran/acdcquery, https://github.com/yadayada/acd_cli, https://github.com/cran/fracdist"
ACD,The structure of hemithioacetal was drawn using ACD/ChemSketchfreeware,10.1186/s12864-018-5349-7,"acdc,ACDS,ACDR,ACDO,ACDC,ACDM,MDL® ACD package,ACDA,ACDI,ACDP,acdS",,"V. M. Manoj,Pushpanathan Anunanthini,Peter Clarancia Swathik,S. Akila Parvathy Dharshini,J. Ashwin Narayan,Markandan Manickavasagam,Sathishkumar Ramalingam,Giriyapura Shivalingamurthy Suresha,G. Hemaprabha,Bakshi Ram,C. Appunu",,"https://cran.r-project.org/package=fracdist, https://github.com/SLesche/acdc-query, https://github.com/ika-rwth-aachen/acdc, https://github.com/cran/ACDm, https://github.com/cran/fracdiff, https://github.com/cran/acdcR, https://cran.r-project.org/package=acdcquery, https://pypi.org/project/acd/, https://cran.r-project.org/package=fracdiff, https://github.com/ysd2004/acdcR, https://github.com/LeeMorinUCF/fracdist, https://github.com/SarahWeiii/CoACD, https://cran.r-project.org/package=ACDm, https://github.com/csinva/hierarchical-dnn-interpretations, https://github.com/AChep/AcDisplay, https://github.com/ika-rwth-aachen/acdc-notebooks, https://github.com/mmaechler/fracdiff, https://cran.r-project.org/package=acdcR, https://github.com/cran/acdcquery, https://github.com/yadayada/acd_cli, https://github.com/cran/fracdist"
ACDC,ACDC utilizes biological knowledge of a marker × cell type annotation table to guide learning algorithms,10.1002/ctm2.206,"ACD,ACDCL,acd",,"Ting Zhang,Antony R. Warden,Yiyang Li,Xianting Ding",https://github.com/USCbiostats/ACDC,"https://github.com/SchmollerLab/Cell_ACDC, https://github.com/SLesche/acdc-query, https://github.com/ika-rwth-aachen/acdc, https://github.com/cran/ACDm, https://github.com/baumgach/acdc_segmenter, https://github.com/cran/ADCT, https://github.com/cran/modACDC, https://cran.r-project.org/package=modACDC, https://github.com/cran/acdcR, https://cran.r-project.org/package=acdcquery, https://github.com/MIC-DKFZ/ACDC2017, https://cran.r-project.org/package=ADCT, https://github.com/cksystemsgroup/ACDC, https://github.com/ysd2004/acdcR, https://cran.r-project.org/package=ACDm, https://github.com/ika-rwth-aachen/acdc-notebooks, https://cran.r-project.org/package=acdcR, https://github.com/cran/acdcquery"
ACDC,"By comparing the impact of varying sampling sizes on each tool (Fig. 2b and Additional file 1: Figure S4B), we observed that LDA, ACDC, DEPECHE, and PhenoGraph did not have large differences when the sample size expanded from 20,000 to 40,000",10.1186/s13059-019-1917-7,"ACD,ACDCL,acd",,"Xiao Liu,Weichen Song,Brandon Wong,Ting Zhang,Shunying Yu,Guan Ning Lin,Xianting Ding","https://github.com/ika-rwth-aachen/acdc, https://github.com/USCbiostats/ACDC","https://github.com/SchmollerLab/Cell_ACDC, https://github.com/SLesche/acdc-query, https://github.com/cran/ACDm, https://github.com/baumgach/acdc_segmenter, https://github.com/cran/ADCT, https://github.com/cran/modACDC, https://cran.r-project.org/package=modACDC, https://github.com/cran/acdcR, https://cran.r-project.org/package=acdcquery, https://github.com/MIC-DKFZ/ACDC2017, https://cran.r-project.org/package=ADCT, https://github.com/cksystemsgroup/ACDC, https://github.com/ysd2004/acdcR, https://cran.r-project.org/package=ACDm, https://github.com/ika-rwth-aachen/acdc-notebooks, https://cran.r-project.org/package=acdcR, https://github.com/cran/acdcquery"
ACDC,"Cilia present on RPE-1 or NIH3T3 were counted in ACDC software semiautomatic mode, all cilia present were verified and adjusted manually as recommended (Lauring et al., 2019)",10.3389/fcell.2021.623753,"ACD,ACDCL,acd",,"Ondřej Bernatík,Petra Paclíková,Anna Kotrbová,Vı́tězslav Bryja,Lukáš Čajánek",https://github.com/cksystemsgroup/ACDC,"https://github.com/SchmollerLab/Cell_ACDC, https://github.com/SLesche/acdc-query, https://github.com/ika-rwth-aachen/acdc, https://github.com/cran/ACDm, https://github.com/baumgach/acdc_segmenter, https://github.com/cran/ADCT, https://github.com/cran/modACDC, https://cran.r-project.org/package=modACDC, https://github.com/cran/acdcR, https://cran.r-project.org/package=acdcquery, https://github.com/MIC-DKFZ/ACDC2017, https://github.com/USCbiostats/ACDC, https://cran.r-project.org/package=ADCT, https://github.com/ysd2004/acdcR, https://cran.r-project.org/package=ACDm, https://github.com/ika-rwth-aachen/acdc-notebooks, https://cran.r-project.org/package=acdcR, https://github.com/cran/acdcquery"
ADC,"A Coulter Epics XL-MCL was used during the experiments and the data were analyzed using EXPO 32 ADC software (Beckman Coulter Inc., USA)",10.3906/biy-1712-62,"ADCT,ADCN,ADCS,ADCI,ADCM,AdCC,ADCP",,"Nisa Gül Amuk,Gökmen Kurt,Melis Kartal Yandım,Aysun Adan,Yusuf Baran","https://github.com/cran/adc, https://github.com/pedvide/ADC, https://cran.r-project.org/package=adc","https://github.com/astronomy-commons/genesis-client, https://github.com/Gabriel-Assuncao/PNADcIBGE, https://github.com/bats3c/ADCSPwn, https://pypi.org/project/adc/, https://cran.r-project.org/package=PNADcIBGE, https://github.com/cran/ADCT, https://github.com/grimlockx/ADCSKiller, https://github.com/applidium/ADClusterMapView, https://github.com/dirkjanm/adconnectdump, https://github.com/DominiqueMaucieri/quadcleanR, https://github.com/TxWRI/adc, https://cran.r-project.org/package=quadcleanR, https://cran.r-project.org/package=ADCT, https://github.com/dev-2null/ADCollector, https://github.com/cran/PNADcIBGE, https://github.com/cran/quadcleanR"
