name,candidate_urls,doi,paragraph,synonyms,language,authors
Circos,"https://cran.r-project.org/package=RCircos,https://github.com/cran/RCircos,https://github.com/hzhanghenry/RCircos,https://github.com/YaoLab-Bioinfo/shinyCircos,https://cran.r-project.org/package=BioCircos,https://github.com/nicgirault/circosJS,https://github.com/julian-urbano/ircor,https://github.com/ponnhide/pyCircos,https://github.com/cran/ircor,https://github.com/lvulliard/BioCircos.R,https://cran.r-project.org/package=ircor,https://pypi.org/project/Circos/,https://github.com/ericmjl/Circos,https://github.com/cran/BioCircos,https://github.com/vigsterkr/circos,https://github.com/metagenlab/mummer2circos",10.3390/ijms21041293,The relationships of orthologous genes between radish and Arabidopsis were plotted using the Circos software.,"Circosplot,R.Circos,Circos-Plot,Circos80,circosPlot,Circos25,Circos.ca,CircosVCF,circcos,Circos79,CIRCO,Circos11,circos-0,CircosPlot,Circos62,Circos map,Circos46,circ,Circos52,Circos58,R-Circos,Circos63,circos37,J-circos,pyCircos,RCircos,Circos19,Circos42,Circos38,Circos26,Rcircos’,CIRCOS56,circos,circosJS,Circos82,Circos64,Circos36,Circos74,Circ,Circos6,Circosv,Circos Plot,Circos plot,Rcircos,Circos47,Circos59,Circos48,Circos-069,Circos3,circosviz,J-Circos,CIRCOS69,Circos-0,CIRCOS,Circos20,Circos51,CIRCOM,circos plot,circosplot,CIRCOS),Circosmap,Circos50,CIRCOS78,Circos55,Circos_plot,Circos34,Circos18,CIRC,CIRCOs,Circos/0",,"Yanping Wang,Qingbiao Wang,Wei Hao,Honghe Sun,Li Zhang"
Circos,"https://cran.r-project.org/package=RCircos,https://github.com/cran/RCircos,https://github.com/hzhanghenry/RCircos,https://github.com/YaoLab-Bioinfo/shinyCircos,https://cran.r-project.org/package=BioCircos,https://github.com/nicgirault/circosJS,https://github.com/julian-urbano/ircor,https://github.com/ponnhide/pyCircos,https://github.com/cran/ircor,https://github.com/lvulliard/BioCircos.R,https://cran.r-project.org/package=ircor,https://pypi.org/project/Circos/,https://github.com/ericmjl/Circos,https://github.com/cran/BioCircos,https://github.com/vigsterkr/circos,https://github.com/metagenlab/mummer2circos",10.3389/fmicb.2017.02504,"The phylogenetic distributions of the top 10 identified organisms were visualized at phylum and class levels in a chord diagram using Circos (Krzywinski et al., 2009).","Circosplot,R.Circos,Circos-Plot,Circos80,circosPlot,Circos25,Circos.ca,CircosVCF,circcos,Circos79,CIRCO,Circos11,circos-0,CircosPlot,Circos62,Circos map,Circos46,circ,Circos52,Circos58,R-Circos,Circos63,circos37,J-circos,pyCircos,RCircos,Circos19,Circos42,Circos38,Circos26,Rcircos’,CIRCOS56,circos,circosJS,Circos82,Circos64,Circos36,Circos74,Circ,Circos6,Circosv,Circos Plot,Circos plot,Rcircos,Circos47,Circos59,Circos48,Circos-069,Circos3,circosviz,J-Circos,CIRCOS69,Circos-0,CIRCOS,Circos20,Circos51,CIRCOM,circos plot,circosplot,CIRCOS),Circosmap,Circos50,CIRCOS78,Circos55,Circos_plot,Circos34,Circos18,CIRC,CIRCOs,Circos/0",,"Mabel Ting Wong,Weijun Wang,Marie Couturier,Fakhria M. Razeq,Vincent Lombard,Pascal Lapébie,Elizabeth A. Edwards,Nicolas Terrapon,Bernard Henrissat,Emma R. Master"
Circos,"https://cran.r-project.org/package=RCircos,https://github.com/cran/RCircos,https://github.com/hzhanghenry/RCircos,https://github.com/YaoLab-Bioinfo/shinyCircos,https://cran.r-project.org/package=BioCircos,https://github.com/nicgirault/circosJS,https://github.com/julian-urbano/ircor,https://github.com/ponnhide/pyCircos,https://github.com/cran/ircor,https://github.com/lvulliard/BioCircos.R,https://cran.r-project.org/package=ircor,https://pypi.org/project/Circos/,https://github.com/ericmjl/Circos,https://github.com/cran/BioCircos,https://github.com/vigsterkr/circos,https://github.com/metagenlab/mummer2circos",10.12688/f1000research.14383.1,Genetic variations were visualized using Circos (version 0.69) with “chromosomes_unites = 1000000”.,"Circosplot,R.Circos,Circos-Plot,Circos80,circosPlot,Circos25,Circos.ca,CircosVCF,circcos,Circos79,CIRCO,Circos11,circos-0,CircosPlot,Circos62,Circos map,Circos46,circ,Circos52,Circos58,R-Circos,Circos63,circos37,J-circos,pyCircos,RCircos,Circos19,Circos42,Circos38,Circos26,Rcircos’,CIRCOS56,circos,circosJS,Circos82,Circos64,Circos36,Circos74,Circ,Circos6,Circosv,Circos Plot,Circos plot,Rcircos,Circos47,Circos59,Circos48,Circos-069,Circos3,circosviz,J-Circos,CIRCOS69,Circos-0,CIRCOS,Circos20,Circos51,CIRCOM,circos plot,circosplot,CIRCOS),Circosmap,Circos50,CIRCOS78,Circos55,Circos_plot,Circos34,Circos18,CIRC,CIRCOs,Circos/0",,"Jason Y. K. Chan,Peony Hiu Yan Poon,Yong Zhang,Cherrie W. K. Ng,Wen Piao,Meng Ma,Kevin Y. Yip,Amy B. W. Chan,Vivian Wai Yan Lui"
ProBLM,"https://cran.r-project.org/package=robustBLME,https://github.com/DrewStanger/problmset-readability,https://github.com/cran/ProcMod,https://github.com/cran/rBMF,https://cran.r-project.org/package=GPoM,https://github.com/cran/robustBLME,https://github.com/intellhave/ProBLM,https://cran.r-project.org/package=BLSM,https://github.com/erlisR/robustBLME,https://cran.r-project.org/package=rBMF,https://github.com/isratjahanshemu/ProblmeSolving,https://github.com/DkCodeProjct/baseOnCS50-ProblmSet,https://cran.r-project.org/package=ProcMod,https://github.com/cran/BLSM,https://github.com/yanlinf/ProbLM,https://github.com/cran/GPoM",10.3390/molecules25245934,"Due to increasing interest and the availability of more powerful algorithms and hardware, in recent years, several web servers have been developed with the scope to prepare and/or perform different resolution levels of MD simulations, i.e., CHARMM-GUI [42], CABS-flex [43], locPREFMD [44], MDWeb [45], PREFMD [46], ProBLM [47], SMOG [48], UNRES [49], Vienna-PTM [50], MM/CG web server [51]",ProB,,"Alessandro Marchetto,Zeineb Si Chaib,Carlo Rossi,Rui P. Ribeiro,Sergio Pantano,Giulia Rossetti,Alejandro Giorgetti"
ProBLM,"https://cran.r-project.org/package=robustBLME,https://github.com/DrewStanger/problmset-readability,https://github.com/cran/ProcMod,https://github.com/cran/rBMF,https://cran.r-project.org/package=GPoM,https://github.com/cran/robustBLME,https://github.com/intellhave/ProBLM,https://cran.r-project.org/package=BLSM,https://github.com/erlisR/robustBLME,https://cran.r-project.org/package=rBMF,https://github.com/isratjahanshemu/ProblmeSolving,https://github.com/DkCodeProjct/baseOnCS50-ProblmSet,https://cran.r-project.org/package=ProcMod,https://github.com/cran/BLSM,https://github.com/yanlinf/ProbLM,https://github.com/cran/GPoM",10.1155/2014/838259,"The object generation currently supports the basic shapes of cylinders, parallelepipeds, cones, and spheres but only the parallelepiped is used in the ProBLM server",ProB,,"Taylor Kimmett,Nicholas Smith,Shawn Witham,Marharyta Petukh,Subhra Sarkar,Emil Alexov"
ProBLM,"https://cran.r-project.org/package=robustBLME,https://github.com/DrewStanger/problmset-readability,https://github.com/cran/ProcMod,https://github.com/cran/rBMF,https://cran.r-project.org/package=GPoM,https://github.com/cran/robustBLME,https://github.com/intellhave/ProBLM,https://cran.r-project.org/package=BLSM,https://github.com/erlisR/robustBLME,https://cran.r-project.org/package=rBMF,https://github.com/isratjahanshemu/ProblmeSolving,https://github.com/DkCodeProjct/baseOnCS50-ProblmSet,https://cran.r-project.org/package=ProcMod,https://github.com/cran/BLSM,https://github.com/yanlinf/ProbLM,https://github.com/cran/GPoM",10.1007/s13205-015-0310-9,"To get some idea about this, the new ProBLM webserver is used (Kimmett et al",ProB,,Rob C. A. Keller
TOPCONS,"https://github.com/ElofssonLab/web_topcons2,https://github.com/NBISweden/predictprotein-webserver-topcons2,https://github.com/cran/OPC,https://github.com/cran/TOC,https://cran.r-project.org/package=PCS,https://github.com/nanjiangshu/web_topcons2,https://github.com/cran/OOS,https://github.com/topconsult/topconsult.github.com,https://cran.r-project.org/package=TOC,https://github.com/tylerJPike/OOS,https://github.com/cran/PCS,https://cran.r-project.org/package=STOPES,https://github.com/ElofssonLab/TOPCONS2,https://cran.r-project.org/package=OOS,https://github.com/amsantac/TOC,https://github.com/cran/STOPES,https://cran.r-project.org/package=OPC,https://github.com/jobc90/TOPCONS",10.1093/bioinformatics/btab049,"For ease of use, ConPlot parses these popular file formats: PSIPRED secondary structure predictions (McGuffin et al., 2000), IUPRED sequence disorder predictions (Dosztányi, 2018), TOPCONS membrane topology predictions (Tsirigos et al., 2015) and CONSURF sequence conservation prediction (Ashkenazy et al., 2016)","TopCons57,TOPCONS30,TOPCon,TOPCONs,TopCons2,TopCon,TOPCON,Topcon,TOPCONS26,TOPCONS19,TOPCONS2,TOPCONS",,"Filomeno Sánchez Rodríguez,Shahram Mesdaghi,Adam J. Simpkin,J. Javier Burgos-Mármol,David Murphy,Ville Uski,Ronan M. Keegan,Daniel J. Rigden"
TOPCONS,"https://github.com/ElofssonLab/web_topcons2,https://github.com/NBISweden/predictprotein-webserver-topcons2,https://github.com/cran/OPC,https://github.com/cran/TOC,https://cran.r-project.org/package=PCS,https://github.com/nanjiangshu/web_topcons2,https://github.com/cran/OOS,https://github.com/topconsult/topconsult.github.com,https://cran.r-project.org/package=TOC,https://github.com/tylerJPike/OOS,https://github.com/cran/PCS,https://cran.r-project.org/package=STOPES,https://github.com/ElofssonLab/TOPCONS2,https://cran.r-project.org/package=OOS,https://github.com/amsantac/TOC,https://github.com/cran/STOPES,https://cran.r-project.org/package=OPC,https://github.com/jobc90/TOPCONS",10.3389/fbioe.2020.629937,"As for topology prediction, we compared TMPSS to state-of-the-art topology predictors, including HMMTOP 2 (Tusnady and Simon, 2001), OCTOPUS (Viklund and Elofsson, 2008), TOPCONS (Tsirigos et al., 2015), Philius (Reynolds et al., 2008), PolyPhobius (Jones, 2007), SCAMPI (Bernsel et al., 2008), and SPOCTOPUS (Viklund et al., 2008)","TopCons57,TOPCONS30,TOPCon,TOPCONs,TopCons2,TopCon,TOPCON,Topcon,TOPCONS26,TOPCONS19,TOPCONS2,TOPCONS",,"Zhe Liu,Yingli Gong,Yihang Bao,Yuanzhao Guo,Han Wang,Guan Ning Lin"
TOPCONS,"https://github.com/ElofssonLab/web_topcons2,https://github.com/NBISweden/predictprotein-webserver-topcons2,https://github.com/cran/OPC,https://github.com/cran/TOC,https://cran.r-project.org/package=PCS,https://github.com/nanjiangshu/web_topcons2,https://github.com/cran/OOS,https://github.com/topconsult/topconsult.github.com,https://cran.r-project.org/package=TOC,https://github.com/tylerJPike/OOS,https://github.com/cran/PCS,https://cran.r-project.org/package=STOPES,https://github.com/ElofssonLab/TOPCONS2,https://cran.r-project.org/package=OOS,https://github.com/amsantac/TOC,https://github.com/cran/STOPES,https://cran.r-project.org/package=OPC,https://github.com/jobc90/TOPCONS",10.1038/s41598-018-21631-3,The 2D membrane topology of MdesOrco was predicted using TOPCONS software.,"TopCons57,TOPCONS30,TOPCon,TOPCONs,TopCons2,TopCon,TOPCON,Topcon,TOPCONS26,TOPCONS19,TOPCONS2,TOPCONS",,"Jacob A. Corcoran,Yonathan Sonntag,Martin N. Andersson,Urban Johanson,Christer Löfstedt"
AceView,"https://github.com/cran/AcuityView,https://github.com/cran/OceanView,https://github.com/Kaljurand/aceview,https://cran.r-project.org/package=AcuityView,https://github.com/ACENative/ACEViewSwift,https://cran.r-project.org/package=hexView,https://github.com/rgroothedde/aceview,https://github.com/cran/DiceView,https://github.com/ncbi/AceView,https://cran.r-project.org/package=OceanView,https://cran.r-project.org/package=DiceView,https://cran.r-project.org/package=cubeview,https://github.com/IRSN/DiceView,https://github.com/ACENative/ACEView,https://github.com/cran/cubeview,https://github.com/cran/hexView",10.1186/gb-2006-7-s1-s4,"Panel C shows the human ANKRD43 locus in ENr221 for which AceView (light pink/blue), Pairagon and Ensembl all predict a shorter CDS than GENCODE","the aceview genes,AceView/WormGenes,AceView12,aceview genes,The AceView Genes,aceview/wormgenes,AceView Gene,aceview,AceView genes,AceView Magic",C,"Jennifer Harrow,France Denœud,Adam Frankish,Alexandre Reymond,Chao-Kung Chen,Jacqueline Chrast,Julien Lagarde,James Gilbert,Roy Storey,David Swarbreck,Colette Rossier,Catherine Ucla,Tim Hubbard,Stylianos E. Antonarakis,Roderic Guigó"
