ID,software_mention,package_url,homepage_url,github_repo,exact_match,doi,paragraph,authors_oa,authors,field/topic/keywords
SM1000082,pytplot,"https://pypi.org/project/pytplot,https://github.com/MAVENSDC/pytplot",['https://github.com/MAVENSDC/pytplot'],['https://github.com/MAVENSDC/pytplot'],True,10.1007/s11214-018-0576-4,"Under the PySPEDAS structure, “*_load_xxx” routines have been developed to access CDF files and import data to populate pytplot variables in a generic way","https://openalex.org/A5068583744,https://openalex.org/A5063475009,https://openalex.org/A5033604510,https://openalex.org/A5000646547,https://openalex.org/A5053684057,https://openalex.org/A5086062034,https://openalex.org/A5091642840,https://openalex.org/A5113485334,https://openalex.org/A5015218457,https://openalex.org/A5020477416,https://openalex.org/A5110598215,https://openalex.org/A5062135326,https://openalex.org/A5007199214,https://openalex.org/A5057315767,https://openalex.org/A5063242694,https://openalex.org/A5010249767,https://openalex.org/A5090877434,https://openalex.org/A5013299317,https://openalex.org/A5039835243,https://openalex.org/A5035022032,https://openalex.org/A5019526610,https://openalex.org/A5053583356,https://openalex.org/A5044142642,https://openalex.org/A5053565123,https://openalex.org/A5069707097,https://openalex.org/A5064835829,https://openalex.org/A5009855775,https://openalex.org/A5063121865,https://openalex.org/A5049576462,https://openalex.org/A5068679117,https://openalex.org/A5008342412,https://openalex.org/A5063657825,https://openalex.org/A5056752160,https://openalex.org/A5013294069,https://openalex.org/A5065859721,https://openalex.org/A5015183954,https://openalex.org/A5045932804,https://openalex.org/A5058040289,https://openalex.org/A5046815701,https://openalex.org/A5054397986,https://openalex.org/A5069028939,https://openalex.org/A5008151689,https://openalex.org/A5085063653,https://openalex.org/A5088018230,https://openalex.org/A5022785937,https://openalex.org/A5033449850,https://openalex.org/A5085106711,https://openalex.org/A5028584660,https://openalex.org/A5035271736,https://openalex.org/A5003041616,https://openalex.org/A5028476423,https://openalex.org/A5076290977,https://openalex.org/A5067990688,https://openalex.org/A5034778119,https://openalex.org/A5089443391,https://openalex.org/A5034724190,https://openalex.org/A5080924936,https://openalex.org/A5041527164,https://openalex.org/A5013084450,https://openalex.org/A5000572109,https://openalex.org/A5039401856,https://openalex.org/A5020877559,https://openalex.org/A5028490583,https://openalex.org/A5001736648,https://openalex.org/A5081028068,https://openalex.org/A5017036810,https://openalex.org/A5055623946,https://openalex.org/A5049164955,https://openalex.org/A5067806256,https://openalex.org/A5048651048,https://openalex.org/A5084321418,https://openalex.org/A5072108103,https://openalex.org/A5068531833,https://openalex.org/A5091041421,https://openalex.org/A5050201056,https://openalex.org/A5007085393,https://openalex.org/A5088807602,https://openalex.org/A5091853643,https://openalex.org/A5018858743,https://openalex.org/A5065449033,https://openalex.org/A5010225205,https://openalex.org/A5071382839,https://openalex.org/A5025758684,https://openalex.org/A5036030876,https://openalex.org/A5007491356,https://openalex.org/A5046865292,https://openalex.org/A5032156925,https://openalex.org/A5003798070,https://openalex.org/A5112866947,https://openalex.org/A5033059935,https://openalex.org/A5068038924,https://openalex.org/A5109221964,https://openalex.org/A5045317568,https://openalex.org/A5079275662,https://openalex.org/A5060759009,https://openalex.org/A5108759340,https://openalex.org/A5089077018,https://openalex.org/A5012809551,https://openalex.org/A5112520111,https://openalex.org/A5023810917,https://openalex.org/A5112531311,https://openalex.org/A5112699315","V. Angelopoulos,P. Cruce,Alexander Drozdov,E. W. Grimes,Nick Hatzigeorgiu,David A. King,D. E. Larson,James W. Lewis,J. M. McTiernan,D. A. Roberts,Chuck Russell,Tomoaki Hori,Yoshiya Kasahara,Atsushi Kumamoto,Ayako Matsuoka,Yukinaga Miyashita,Yoshizumi Miyoshi,Iku Shinohara,M. Teramoto,J. B. Faden,Alexa Halford,M. McCarthy,R. M. Millan,J. G. Sample,David M. Smith,L. A. Woodger,A. Masson,Ayris Narock,Kazushi Asamura,T. F. Chang,C. Chiang,Y. Kazama,K. Keika,Shoya Matsuda,Takehiko Segawa,K. Seki,Masafumi Shoji,Sunny W. Y. Tam,Norio Umemura,B.‐J. Wang,Shiang‐Yu Wang,R. J. Redmon,J. V. Rodriguez,H. J. Singer,J. D. Vandegriff,Shuji Abe,M. Nosé,Atsuki Shinbori,Yoshimasa Tanaka,S. Ueno,L. Andersson,P. Dunn,C. M. Fowler,J. S. Halekas,Takuya Hara,Yuki Harada,Christina O. Lee,R. J. Lillis,D. L. Mitchell,M. R. Argall,K. R. Bromund,J. L. Burch,I. J. Cohen,Michael Galloy,B. L. Giles,A. N. Jaynes,O. Le Contel,M. Oka,T. D. Phan,Brian M. Walsh,J. H. Westlake,F. D. Wilder,S. D. Bale,R. Livi,M. Pulupa,P. L. Whittlesey,A. W. DeWolfe,B. Harter,Edson Mello Lucas,U. Auster,J. W. Bonnell,C. M. Cully,E. Donovan,R. E. Ergun,H. U. Frey,B. J. Jackel,A. Keiling,H. Korth,J. P. McFadden,Y. Nishimura,Ferdinand Plaschke,P. Robert,D. L. Turner,J. M. Weygand,R. M. Candey,R. C. Johnson,T. J. Kovalick,M. H. Liu,R. E. McGuire,A. W. Breneman,K. Kersten,P. Schroeder","Space physics,Planetary science,Physics"
SM1003436,strand,"https://cran.r-project.org/package=strand,https://github.com/strand-tech/strand",,,True,10.1002/sim.8065,"Only the data are required, a choice of gates and an indication of the amount of data to be apportioned as pilot data, to implement the essential form of the STRAND Chart using the R package “strand” (available from the author).",https://openalex.org/A5034829238,Olivia Grigg,"Chart,Computer science,Control chart"
SM1003436,strand,"https://pypi.org/project/strand,https://github.com/i2mint/strand",https://github.com/i2mint/strand,['https://github.com/i2mint/strand'],False,10.1002/sim.8065,"Only the data are required, a choice of gates and an indication of the amount of data to be apportioned as pilot data, to implement the essential form of the STRAND Chart using the R package “strand” (available from the author).",https://openalex.org/A5034829238,Olivia Grigg,"Chart,Computer science,Control chart"
SM1007307,swirl,"https://cran.r-project.org/package=swirl,https://swirlstats.com/",,,True,10.1111/test.12258,The swirl R package aims to teach R programming and data science interactively and directly from within the R console,"https://openalex.org/A5086634091,https://openalex.org/A5006222384","Arthur Berg,Nour Hawila","Coronavirus disease 2019 (COVID-19),Graphics,Curriculum"
SM1007307,swirl,"https://pypi.org/project/swirl,http://code.naeseth.com/swirl/",http://code.naeseth.com/swirl/,,False,10.1111/test.12258,The swirl R package aims to teach R programming and data science interactively and directly from within the R console,"https://openalex.org/A5086634091,https://openalex.org/A5006222384","Arthur Berg,Nour Hawila","Coronavirus disease 2019 (COVID-19),Graphics,Curriculum"
SM107466,TreeToReads,"https://pypi.org/project/TreeToReads,https://github.com/snacktavish/TreeToReads",['https://github.com/snacktavish/TreeToReads'],,True,10.1186/s12859-017-1592-1,TreeToReads allows researchers to test the joint effects of multiple parameter values on the ability of any analysis pipeline to recover the signal and infer the correct tree,"https://openalex.org/A5031118780,https://openalex.org/A5033872060,https://openalex.org/A5080968257,https://openalex.org/A5037593913,https://openalex.org/A5047193176,https://openalex.org/A5109965272,https://openalex.org/A5027507754","Emily Jane McTavish,James Pettengill,Steven R. Davis,Hugh Rand,Errol Strain,Marc W. Allard,Ruth Timme","Pipeline (software),Data mining,Computer science,Phylogenetic tree,Indel,Tree (set theory),Robustness (evolution),Genome,Benchmark (surveying)"
SM107466,TreeToReads,"https://pypi.org/project/TreeToReads,https://github.com/snacktavish/TreeToReads",['https://github.com/snacktavish/TreeToReads'],,True,10.1099/mgen.0.000261,"Considering that TreeToReads does not simulate SVs, this result indicates that real, complex variants between the reference and root sequence used in the first benchmark surely caused many false-positive SNP calls and enabled realistic evaluation of the accuracy.","https://openalex.org/A5063351520,https://openalex.org/A5048101754,https://openalex.org/A5051599485,https://openalex.org/A5050496710,https://openalex.org/A5054186141,https://openalex.org/A5006938481,https://openalex.org/A5067750112,https://openalex.org/A5082209541","Dai Yoshimura,Rei Kajitani,Yasuhiro Gotoh,Katsuyuki Katahira,Miki Okuno,Yoshitoshi Ogura,Tetsuya Hayashi,Takehiko Itoh","SNP,Single-nucleotide polymorphism,Biology,Computational biology,Identification (biology),Genome,Pipeline (software)"
SM107466,TreeToReads,"https://pypi.org/project/TreeToReads,https://github.com/snacktavish/TreeToReads",['https://github.com/snacktavish/TreeToReads'],,True,10.7717/peerj.3893,"The simulated dataset was created using the TreeToReads v 0.0.5 (McTavish et al., 2017), which takes as input a tree file (true phylogeny), an anchor genome, and a set of user-defined parameter values","https://openalex.org/A5027507754,https://openalex.org/A5037593913,https://openalex.org/A5073862114,https://openalex.org/A5075656822,https://openalex.org/A5113453291,https://openalex.org/A5032663560,https://openalex.org/A5103183686,https://openalex.org/A5019812665,https://openalex.org/A5015492996,https://openalex.org/A5072970615,https://openalex.org/A5060126033,https://openalex.org/A5025821941","Ruth Timme,Hugh Rand,Martin Shumway,Eija Trees,Mustafa Simmons,Richa Agarwala,Steven Davis,Glenn E. Tillman,Stephanie Defibaugh-Chávez,Heather A. Carleton,William Klimke,Lee S. Katz","Computer science,Benchmark (surveying),Data mining,Indel,Upload"
SM107466,TreeToReads,"https://pypi.org/project/TreeToReads,https://github.com/snacktavish/TreeToReads",['https://github.com/snacktavish/TreeToReads'],,True,10.1186/s12859-017-1592-1,Anchoring an observed genome to a tip in a tree using TreeToReads allows us to test choices about selection of reference genomes in a way that is directly comparable to empirical data,"https://openalex.org/A5031118780,https://openalex.org/A5033872060,https://openalex.org/A5080968257,https://openalex.org/A5037593913,https://openalex.org/A5047193176,https://openalex.org/A5109965272,https://openalex.org/A5027507754","Emily Jane McTavish,James Pettengill,Steven R. Davis,Hugh Rand,Errol Strain,Marc W. Allard,Ruth Timme","Pipeline (software),Data mining,Computer science,Phylogenetic tree,Indel,Tree (set theory),Robustness (evolution),Genome,Benchmark (surveying)"
SM107466,TreeToReads,"https://pypi.org/project/TreeToReads,https://github.com/snacktavish/TreeToReads",['https://github.com/snacktavish/TreeToReads'],,True,10.1186/s12859-017-1592-1,"If ART is invoked in TreeToReads the program will output a folder labeled ‘fastq’ containing directories labeled with the names of each tip from the simulation tree, in which the simulated reads are deposited in.fastq.gz formats","https://openalex.org/A5031118780,https://openalex.org/A5033872060,https://openalex.org/A5080968257,https://openalex.org/A5037593913,https://openalex.org/A5047193176,https://openalex.org/A5109965272,https://openalex.org/A5027507754","Emily Jane McTavish,James Pettengill,Steven R. Davis,Hugh Rand,Errol Strain,Marc W. Allard,Ruth Timme","Pipeline (software),Data mining,Computer science,Phylogenetic tree,Indel,Tree (set theory),Robustness (evolution),Genome,Benchmark (surveying)"
