ID;software_mention;package_url;exact_match;doi;paragraph;authors_oa;authors;field/topic/keywords
SM1007;Ruler;http://soundruler.sourceforge.net;TRUE;10.1155/2014/198069;Acoustic analyses were performed on ten calls per animal, using Sound Ruler 0.937b (http://soundruler.sourceforge.net);https://openalex.org/A5076201771;Marcos Gridi?Papp;Larynx,Airflow,Biology
SM1007;Ruler;https://github.com/bobthecow/Ruler;FALSE;10.1155/2014/198069;Acoustic analyses were performed on ten calls per animal, using Sound Ruler 0.937b (http://soundruler.sourceforge.net);https://openalex.org/A5076201771;Marcos Gridi?Papp;Larynx,Airflow,Biology
SM1044;Gblocks;https://github.com/atmaivancevic/Gblocks;FALSE;10.1186/gb-2013-14-3-r28;"To remove biases associated with poor alignments, translated sequences were masked with SEG [103] and corresponding masked codons were removed; poorly aligned columns were also removed using Gblocks [104].";https://openalex.org/A5024775893,https://openalex.org/A5006986395,https://openalex.org/A5013166308,https://openalex.org/A5077140049,https://openalex.org/A5059896233,https://openalex.org/A5001045986,https://openalex.org/A5004541361,https://openalex.org/A5074140145,https://openalex.org/A5051609172,https://openalex.org/A5089750530,https://openalex.org/A5066027793,https://openalex.org/A5001554290,https://openalex.org/A5062207652,https://openalex.org/A5087747590,https://openalex.org/A5041517262,https://openalex.org/A5002700487,https://openalex.org/A5013454860,https://openalex.org/A5064061881,https://openalex.org/A5068678015,https://openalex.org/A5071389567,https://openalex.org/A5041520404,https://openalex.org/A5040485140,https://openalex.org/A5051683931,https://openalex.org/A5051874760,https://openalex.org/A5108080792,https://openalex.org/A5111966261,https://openalex.org/A5038814932,https://openalex.org/A5027867456,https://openalex.org/A5029272560,https://openalex.org/A5090798793,https://openalex.org/A5106316839,https://openalex.org/A5023339599,https://openalex.org/A5017937056,https://openalex.org/A5046204547,https://openalex.org/A5009112568,https://openalex.org/A5050351424,https://openalex.org/A5090266982,https://openalex.org/A5100421418,https://openalex.org/A5056278392,https://openalex.org/A5033001511,https://openalex.org/A5111530305,https://openalex.org/A5084251059,https://openalex.org/A5025114350,https://openalex.org/A5029592340,https://openalex.org/A5021151726,https://openalex.org/A5101042534,https://openalex.org/A5063722321,https://openalex.org/A5062991850,https://openalex.org/A5069347531,https://openalex.org/A5108026144,https://openalex.org/A5090708959,https://openalex.org/A5086466225,https://openalex.org/A5074785536,https://openalex.org/A5040190044,https://openalex.org/A5053772564,https://openalex.org/A5031525757,https://openalex.org/A5062335998,https://openalex.org/A5054642128,https://openalex.org/A5014714324;H. Bradley Shaffer,Patrick Minx,Daniel E. Warren,Andrew M. Shedlock,Robert C. Thomson,Nicole Valenzuela,John Abramyan,Chris T. Amemiya,Daleen Badenhorst,Kyle K. Biggar,Glen M. Borchert,Christopher Botka,Rachel M. Bowden,Edward L. Braun,Anne M. Bronikowski,Benoit G. Bruneau,Leslie T. Buck,Blanche Capel,Todd A. Castoe,Michael Czerwinski,Kim D. Delehaunty,Scott V. Edwards,Catrina C. Fronick,Matthew K. Fujita,Lucinda A. Fulton,Tina Graves,Richard E. Green,Wilfried Haerty,Ramkumar Hariharan,Omar Hernández,LaDeana W. Hillier,Alisha K. Holloway,Daniel E. Janes,Fredric J. Janzen,Cyriac Kandoth,Lesheng Kong,A. P. Jason de Koning,Yang Li,Robert Literman,Suzanne E. McGaugh,Lindsey Mork,Michelle D. O’Laughlin,Ryan T. Paitz,David D. Pollock,Chris P. Ponting,Srihari Radhakrishnan,Brian J. Raney,Joy M. Richman,John St. John,Tonia S. Schwartz,Arun Sethuraman,Phillip Q. Spinks,Kenneth B. Storey,Nay Thane,Tomáš Vina?,Laura M. Zimmerman,Wesley C. Warren,Elaine R. Mardis,Richard K. Wilson;Biology,Turtle (robot),Vertebrate,Painted turtle,Lineage (genetic),Evolutionary biology,Context (archaeology),Genome,Phylogenetic tree,Phylogenetics
SM1044;Gblocks;https://www.biologiaevolutiva.org/jcastresana/Gblocks.html;TRUE;10.1186/gb-2013-14-3-r28;"To remove biases associated with poor alignments, translated sequences were masked with SEG [103] and corresponding masked codons were removed; poorly aligned columns were also removed using Gblocks [104].";https://openalex.org/A5024775893,https://openalex.org/A5006986395,https://openalex.org/A5013166308,https://openalex.org/A5077140049,https://openalex.org/A5059896233,https://openalex.org/A5001045986,https://openalex.org/A5004541361,https://openalex.org/A5074140145,https://openalex.org/A5051609172,https://openalex.org/A5089750530,https://openalex.org/A5066027793,https://openalex.org/A5001554290,https://openalex.org/A5062207652,https://openalex.org/A5087747590,https://openalex.org/A5041517262,https://openalex.org/A5002700487,https://openalex.org/A5013454860,https://openalex.org/A5064061881,https://openalex.org/A5068678015,https://openalex.org/A5071389567,https://openalex.org/A5041520404,https://openalex.org/A5040485140,https://openalex.org/A5051683931,https://openalex.org/A5051874760,https://openalex.org/A5108080792,https://openalex.org/A5111966261,https://openalex.org/A5038814932,https://openalex.org/A5027867456,https://openalex.org/A5029272560,https://openalex.org/A5090798793,https://openalex.org/A5106316839,https://openalex.org/A5023339599,https://openalex.org/A5017937056,https://openalex.org/A5046204547,https://openalex.org/A5009112568,https://openalex.org/A5050351424,https://openalex.org/A5090266982,https://openalex.org/A5100421418,https://openalex.org/A5056278392,https://openalex.org/A5033001511,https://openalex.org/A5111530305,https://openalex.org/A5084251059,https://openalex.org/A5025114350,https://openalex.org/A5029592340,https://openalex.org/A5021151726,https://openalex.org/A5101042534,https://openalex.org/A5063722321,https://openalex.org/A5062991850,https://openalex.org/A5069347531,https://openalex.org/A5108026144,https://openalex.org/A5090708959,https://openalex.org/A5086466225,https://openalex.org/A5074785536,https://openalex.org/A5040190044,https://openalex.org/A5053772564,https://openalex.org/A5031525757,https://openalex.org/A5062335998,https://openalex.org/A5054642128,https://openalex.org/A5014714324;H. Bradley Shaffer,Patrick Minx,Daniel E. Warren,Andrew M. Shedlock,Robert C. Thomson,Nicole Valenzuela,John Abramyan,Chris T. Amemiya,Daleen Badenhorst,Kyle K. Biggar,Glen M. Borchert,Christopher Botka,Rachel M. Bowden,Edward L. Braun,Anne M. Bronikowski,Benoit G. Bruneau,Leslie T. Buck,Blanche Capel,Todd A. Castoe,Michael Czerwinski,Kim D. Delehaunty,Scott V. Edwards,Catrina C. Fronick,Matthew K. Fujita,Lucinda A. Fulton,Tina Graves,Richard E. Green,Wilfried Haerty,Ramkumar Hariharan,Omar Hernández,LaDeana W. Hillier,Alisha K. Holloway,Daniel E. Janes,Fredric J. Janzen,Cyriac Kandoth,Lesheng Kong,A. P. Jason de Koning,Yang Li,Robert Literman,Suzanne E. McGaugh,Lindsey Mork,Michelle D. O’Laughlin,Ryan T. Paitz,David D. Pollock,Chris P. Ponting,Srihari Radhakrishnan,Brian J. Raney,Joy M. Richman,John St. John,Tonia S. Schwartz,Arun Sethuraman,Phillip Q. Spinks,Kenneth B. Storey,Nay Thane,Tomáš Vina?,Laura M. Zimmerman,Wesley C. Warren,Elaine R. Mardis,Richard K. Wilson;Biology,Turtle (robot),Vertebrate,Painted turtle,Lineage (genetic),Evolutionary biology,Context (archaeology),Genome,Phylogenetic tree,Phylogenetics
SM1044;Gblocks;https://github.com/atmaivancevic/Gblocks;FALSE;10.1186/s12862-019-1563-4;Ambiguously aligned characters were removed from each alignment using Gblocks [52] with least stringent parameters.;https://openalex.org/A5091359251,https://openalex.org/A5076159011,https://openalex.org/A5015606144,https://openalex.org/A5111164575,https://openalex.org/A5111164576,https://openalex.org/A5035555065,https://openalex.org/A5010741341,https://openalex.org/A5011960557,https://openalex.org/A5050502306,https://openalex.org/A5007742538,https://openalex.org/A5048456963,https://openalex.org/A5011329056,https://openalex.org/A5052877375,https://openalex.org/A5039139093;Russell J. S. Orr,Marianne Nilsen Haugen,Björn Berning,Philip E. Bock,Robyn L. Cumming,Wayne K. Florence,M. Hirose,Emanuela Di Martino,Mali H. Ramsfjell,Maja M. Sannum,Abigail M. Smith,Leandro M. Vieira,Andrea Waeschenbach,Lee Hsiang Liow;Biology,Polyphyly,Evolutionary biology,Clade,Phylogenetic tree,Phylogenetics,Monophyly
SM1044;Gblocks;https://github.com/atmaivancevic/Gblocks;FALSE;10.1186/s13068-019-1457-0;All sequences were named according to the CDH clade to which they belonged in the dehydrogenase domain tree (CDH I, CDH II, or CDH III), then re-aligned by MAFFT v7.271, with uninformative sites removed from the alignment using Gblocks 0.91b with less stringent criteria as described above;https://openalex.org/A5090542945,https://openalex.org/A5088124752,https://openalex.org/A5017888348,https://openalex.org/A5045279138,https://openalex.org/A5081657582;Leander Sützl,Gabriel Foley,Elizabeth M. J. Gillam,Mikael Bodén,Dietmar Haltrich;SUPERFAMILY,Biology,Biotechnology
SM1044;Gblocks;https://github.com/atmaivancevic/Gblocks;FALSE;10.1186/1471-2148-10-117;"containing gaps and/or are poorly aligned) were removed with Gblocks (v0.91b, [39]) using the following parameters: minimum length of a block after gap cleaning = 10; no gap positions were allowed in the final alignment; all segments with contiguous nonconserved positions bigger than 8 were rejected; minimum number of sequences for a flank position = 85%";https://openalex.org/A5023780433,https://openalex.org/A5079081480,https://openalex.org/A5108221522,https://openalex.org/A5110089645,https://openalex.org/A5023425179;Matthias Gesemann,Annegret Lesslauer,Colette M. Maurer,Helia B. Schönthaler,Stephan C. F. Neuhauss;Biology,Phylogenetic tree,Evolutionary biology,Vertebrate,Phylogenetics,Excitatory amino-acid transporter,Lineage (genetic),Genetics
SM1044;Gblocks;https://github.com/atmaivancevic/Gblocks;FALSE;10.1093/gbe/evv187;Aligned ortholog gene families were postprocessed to filter putative nonreliable positions using Gblocks (Castresana 2000).;https://openalex.org/A5068716434,https://openalex.org/A5074966398,https://openalex.org/A5041918119,https://openalex.org/A5063037795,https://openalex.org/A5036260327,https://openalex.org/A5051663866,https://openalex.org/A5058493715,https://openalex.org/A5067623964,https://openalex.org/A5061127602,https://openalex.org/A5025941741,https://openalex.org/A5034992828,https://openalex.org/A5054888833,https://openalex.org/A5015206159;Hélène Chiapello,Ludovic Mallet,Cyprien Guérin,Gabriela Aguileta,Joëlle Amselem,Thomas Kroj,Enrique Ortega?Abboud,Marc?Henri Lebrun,Bernard Henrissat,Annie Gendrault,F. Rodolphe,Didier Tharreau,Elisabeth Fournier;Biology,Genome,Host adaptation,Magnaporthe,Genetics,Gene,Magnaporthe grisea,Lineage (genetic),Introgression
SM1044;Gblocks;https://www.biologiaevolutiva.org/jcastresana/Gblocks.html;TRUE;10.1186/s12862-019-1563-4;Ambiguously aligned characters were removed from each alignment using Gblocks [52] with least stringent parameters.;https://openalex.org/A5091359251,https://openalex.org/A5076159011,https://openalex.org/A5015606144,https://openalex.org/A5111164575,https://openalex.org/A5111164576,https://openalex.org/A5035555065,https://openalex.org/A5010741341,https://openalex.org/A5011960557,https://openalex.org/A5050502306,https://openalex.org/A5007742538,https://openalex.org/A5048456963,https://openalex.org/A5011329056,https://openalex.org/A5052877375,https://openalex.org/A5039139093;Russell J. S. Orr,Marianne Nilsen Haugen,Björn Berning,Philip E. Bock,Robyn L. Cumming,Wayne K. Florence,M. Hirose,Emanuela Di Martino,Mali H. Ramsfjell,Maja M. Sannum,Abigail M. Smith,Leandro M. Vieira,Andrea Waeschenbach,Lee Hsiang Liow;Biology,Polyphyly,Evolutionary biology,Clade,Phylogenetic tree,Phylogenetics,Monophyly
SM1044;Gblocks;https://www.biologiaevolutiva.org/jcastresana/Gblocks.html;TRUE;10.1186/s13068-019-1457-0;All sequences were named according to the CDH clade to which they belonged in the dehydrogenase domain tree (CDH I, CDH II, or CDH III), then re-aligned by MAFFT v7.271, with uninformative sites removed from the alignment using Gblocks 0.91b with less stringent criteria as described above;https://openalex.org/A5090542945,https://openalex.org/A5088124752,https://openalex.org/A5017888348,https://openalex.org/A5045279138,https://openalex.org/A5081657582;Leander Sützl,Gabriel Foley,Elizabeth M. J. Gillam,Mikael Bodén,Dietmar Haltrich;SUPERFAMILY,Biology,Biotechnology
