name,doi,candidate_urls,true_label,predicted_label,correct
star,10.1099/mgen.0.000319,https://github.com/google/web-starter-kit,0,0.0,1
assignPOP,10.1111/eva.12849,https://cran.r-project.org/package=Massign,0,0.0,1
readr,10.1111/test.12258,https://github.com/cran/readr,1,1.0,1
Velvet,10.3389/fmicb.2017.02619,https://cran.r-project.org/package=relevent,0,0.0,1
ggpmisc,10.1186/s12870-021-03103-5,https://cran.r-project.org/package=ggpmisc,1,1.0,1
readr,10.1186/s12935-019-0731-3,https://cran.r-project.org/package=bigreadr,0,0.0,1
BeautifulSoup,10.3389/fvets.2021.674730,https://github.com/DeronW/beautifulsoup,0,0.0,1
Star,10.1186/1751-0147-53-57,https://github.com/ZachGoldberg/Startup-CTO-Handbook,0,0.0,1
Flask,10.3390/genes12081117,https://github.com/flask-restful/flask-restful,0,0.0,1
insol,10.1002/ece3.2001,https://github.com/CliMA/Insolation.jl,0,0.0,1
gitlab,10.1371/journal.pcbi.1008969,https://github.com/firecow/gitlab-ci-local,0,0.0,1
paramtest,10.3389/fpsyt.2018.00748,https://cran.r-project.org/package=permutest,0,0.0,1
knitr,10.1037/xge0000739,https://github.com/yihui/knitr-examples,0,0.0,1
patchwork,10.1038/s41598-020-78747-8,https://github.com/patched-codes/patchwork,0,0.0,1
treehouse,10.1186/s13104-019-4577-5,https://cran.r-project.org/package=treeheatr,0,0.0,1
venn,10.1371/journal.pone.0118867,https://github.com/gaospecial/ggVennDiagram,0,0.0,1
dae,10.1038/s41598-017-01211-7,https://github.com/Marswin/MarsDaemon,0,0.0,1
numpy,10.1371/journal.pone.0218966,https://cran.r-project.org/package=ump,0,0.0,1
snpReady,10.1371/journal.pone.0249825,https://github.com/cran/snpReady,1,1.0,1
mpi4py,10.1371/journal.pone.0146581,https://cran.r-project.org/package=imp4p,0,0.0,1
Pandas,10.1007/s00701-021-04837-9,https://cran.r-project.org/package=ads,0,0.0,1
summarytools,10.2196/25124,https://cran.r-project.org/package=summarytools,1,1.0,1
ABBYY,10.1109/JTEHM.2019.2935451,https://github.com/samueltc/ABBYY,1,1.0,1
shiny,10.3389/fped.2020.623184,https://github.com/rstudio/shiny,1,1.0,1
dplyr,10.3390/ijerph18168514,https://github.com/DPLYR-dev/SplashScreenFlutterPackage,0,0.0,1
CoAPthon,10.3390/s19245467,https://cran.r-project.org/package=XRPython,0,0.0,1
dplyr,10.3390/molecules26123564,https://github.com/cran/dplyr,1,1.0,1
numpy,10.1371/journal.pcbi.1007113,https://github.com/ddbourgin/numpy-ml,0,0.0,1
MG-RAST,10.6026/97320630014031,https://cran.r-project.org/package=RAT,0,0.0,1
rmarkdown,10.1186/s40359-021-00534-5,https://cran.r-project.org/package=markdown,0,0.0,1
