name,ground truth,candidate_urls,doi,paragraph,synonyms,language,authors
Axe,https://github.com/kdm9/axe,"https://github.com/cran/MIAmaxent,https://github.com/mxjki/EfficientMaxEigenpair,https://github.com/cran/maxent.ot,https://pypi.org/project/Axe/,https://cran.r-project.org/package=MaxentVariableSelection,https://github.com/NickColley/jest-axe,https://github.com/cran/maxEff,https://github.com/axel-download-accelerator/axel,https://github.com/dequelabs/react-axe,https://cran.r-project.org/package=maxEff,https://cran.r-project.org/package=EfficientMaxEigenpair,https://github.com/jazzband/django-axes,https://github.com/dequelabs/axe-core,https://github.com/cran/EfficientMaxEigenpair,https://github.com/cran/MaxentVariableSelection,https://cran.r-project.org/package=maxent.ot,https://cran.r-project.org/package=MIAmaxent,https://github.com/julienvollering/MIAmaxent,https://github.com/soasme/axe,https://github.com/connormayer/maxent.ot",10.1186/s12859-021-04267-5,Axe uses a set of pre-computed prefix trees to find a match within a given Hamming distance and can partially handle barcodes that differ in length,"Axeq,AXER,axe-demultiplexer,Axel,AXEF,Axed,axe,Axes,AXES",,"Lior Galanti,Dennis Shasha,Kristin C. Gunsalus"
Axe,https://github.com/kdm9/axe,"https://github.com/cran/MIAmaxent,https://github.com/mxjki/EfficientMaxEigenpair,https://github.com/cran/maxent.ot,https://pypi.org/project/Axe/,https://cran.r-project.org/package=MaxentVariableSelection,https://github.com/NickColley/jest-axe,https://github.com/cran/maxEff,https://github.com/axel-download-accelerator/axel,https://github.com/dequelabs/react-axe,https://cran.r-project.org/package=maxEff,https://cran.r-project.org/package=EfficientMaxEigenpair,https://github.com/jazzband/django-axes,https://github.com/dequelabs/axe-core,https://github.com/cran/EfficientMaxEigenpair,https://github.com/cran/MaxentVariableSelection,https://cran.r-project.org/package=maxent.ot,https://cran.r-project.org/package=MIAmaxent,https://github.com/julienvollering/MIAmaxent,https://github.com/soasme/axe,https://github.com/connormayer/maxent.ot",10.1186/s12870-018-1575-z,"Raw reads were assigned to individual samples in accordance with their nucleotide barcode, using Axe package [60]","Axeq,AXER,axe-demultiplexer,Axel,AXEF,Axed,axe,Axes,AXES",,"Junchi Zhu,Yinshan Guo,Kai Su,Zhendong Liu,Zhihua Ren,Kun Li,Xiuwu Guo"
Axe,https://github.com/kdm9/axe,"https://github.com/cran/MIAmaxent,https://github.com/mxjki/EfficientMaxEigenpair,https://github.com/cran/maxent.ot,https://pypi.org/project/Axe/,https://cran.r-project.org/package=MaxentVariableSelection,https://github.com/NickColley/jest-axe,https://github.com/cran/maxEff,https://github.com/axel-download-accelerator/axel,https://github.com/dequelabs/react-axe,https://cran.r-project.org/package=maxEff,https://cran.r-project.org/package=EfficientMaxEigenpair,https://github.com/jazzband/django-axes,https://github.com/dequelabs/axe-core,https://github.com/cran/EfficientMaxEigenpair,https://github.com/cran/MaxentVariableSelection,https://cran.r-project.org/package=maxent.ot,https://cran.r-project.org/package=MIAmaxent,https://github.com/julienvollering/MIAmaxent,https://github.com/soasme/axe,https://github.com/connormayer/maxent.ot",10.7717/peerj.7170,"Popular tools include FASTX-Toolkit (Gordon & Hannon, 2010), Axe (Murray & Borevitz, 2018), Flexbar (Dodt et al., 2012; Roehr, Dieterich & Reinert, 2017), Cutadapt (Martin, 2011), and AdapterRemoval (Lindgreen, 2012; Schubert, Lindgreen & Orlando, 2016), Trimmomatic (Bolger, Lohse & Usadel, 2014), Skewer (Jiang et al., 2014), and GBSX (Herten et al., 2015)","Axeq,AXER,axe-demultiplexer,Axel,AXEF,Axed,axe,Axes,AXES",,Daniel Liu
Axe,https://github.com/kdm9/axe,"https://github.com/cran/MIAmaxent,https://github.com/mxjki/EfficientMaxEigenpair,https://github.com/cran/maxent.ot,https://pypi.org/project/Axe/,https://cran.r-project.org/package=MaxentVariableSelection,https://github.com/NickColley/jest-axe,https://github.com/cran/maxEff,https://github.com/axel-download-accelerator/axel,https://github.com/dequelabs/react-axe,https://cran.r-project.org/package=maxEff,https://cran.r-project.org/package=EfficientMaxEigenpair,https://github.com/jazzband/django-axes,https://github.com/dequelabs/axe-core,https://github.com/cran/EfficientMaxEigenpair,https://github.com/cran/MaxentVariableSelection,https://cran.r-project.org/package=maxent.ot,https://cran.r-project.org/package=MIAmaxent,https://github.com/julienvollering/MIAmaxent,https://github.com/soasme/axe,https://github.com/connormayer/maxent.ot",10.3390/genes10010009,Paired-end reads were demultiplexed and barcodes were trimmed using Axe [79] with a maximum mismatch of 1,"Axeq,AXER,axe-demultiplexer,Axel,AXEF,Axed,axe,Axes,AXES",,"Stephanie J. Galla,Natalie J. Forsdick,Liz Brown,Marc P. Hoeppner,Michael Knapp,Richard F. Maloney,Roger Moraga,Anna W. Santure,Tammy E. Steeves"
BeautifulSoup,"https://pypi.org/project/beautifulsoup4/,https://github.com/wention/BeautifulSoup4,https://pypi.org/project/BeautifulSoup/","https://github.com/beautifulSoup/RtmpRecoder,https://pypi.org/project/BeautifulSoup/,https://github.com/icodeu/BeautifulSoup,https://pypi.org/project/beautifulsoup4/,https://github.com/DeronW/beautifulsoup,https://github.com/collegue1337/BeautifulSoup4,https://github.com/wention/BeautifulSoup4",10.1186/s12859-020-3540-8,"For the prior knowledge from UniProt KB, we use Bioservices, urllib, BeautifulSoup tool does finish a series of processes","Beautiful soup,BeautifulSoup4,BeatifulSoup,BeautifulSoup9,BeautifulSoup Python Package,beautifulsoup4,Beautiful Soup,BeautifulSoup Python library,Beautiful,beautiful-soup,Beautiful Soup”,BeautifulSoup 4 (PyPi)",,"Zhijing Li,Yuchen Lian,Xiaoyong Ma,Xiangrong Zhang,Chen Li"
BeautifulSoup,"https://pypi.org/project/beautifulsoup4/,https://github.com/wention/BeautifulSoup4,https://pypi.org/project/BeautifulSoup/","https://github.com/beautifulSoup/RtmpRecoder,https://pypi.org/project/BeautifulSoup/,https://github.com/icodeu/BeautifulSoup,https://pypi.org/project/beautifulsoup4/,https://github.com/DeronW/beautifulsoup,https://github.com/collegue1337/BeautifulSoup4,https://github.com/wention/BeautifulSoup4",10.1038/s41597-020-00682-0,"Wikipedia is accessed through the MediaWiki API using Python, and the BeautifulSoup, json, and requests packages","Beautiful soup,BeautifulSoup4,BeatifulSoup,BeautifulSoup9,BeautifulSoup Python Package,beautifulsoup4,Beautiful Soup,BeautifulSoup Python library,Beautiful,beautiful-soup,Beautiful Soup”,BeautifulSoup 4 (PyPi)",Python,"Angel Hsu,Zhi Yi Yeo,Ross Rauber,James Sun,Yunsoo Kim,Sowmya Raghavan,Nicholas Chin,Vasu Namdeo,Amy Weinfurter"
BeautifulSoup,"https://pypi.org/project/beautifulsoup4/,https://github.com/wention/BeautifulSoup4,https://pypi.org/project/BeautifulSoup/","https://github.com/beautifulSoup/RtmpRecoder,https://pypi.org/project/BeautifulSoup/,https://github.com/icodeu/BeautifulSoup,https://pypi.org/project/beautifulsoup4/,https://github.com/DeronW/beautifulsoup,https://github.com/collegue1337/BeautifulSoup4,https://github.com/wention/BeautifulSoup4",10.1186/s40537-021-00476-0,"In this paper, the Python programming language, with packages made by BeautifulSoup and Selenium, was used to write an algorithm and purposely collect desired variables for apartment listings in the capital city of Vilnius with sell and rent operations","Beautiful soup,BeautifulSoup4,BeatifulSoup,BeautifulSoup9,BeautifulSoup Python Package,beautifulsoup4,Beautiful Soup,BeautifulSoup Python library,Beautiful,beautiful-soup,Beautiful Soup”,BeautifulSoup 4 (PyPi)",Python,"Andrius Grybauskas,Vaida Pilinkienė,Alina Stundžienė"
beautifulsoup4,"https://pypi.org/project/beautifulsoup4/,https://github.com/wention/BeautifulSoup4","https://pypi.org/project/beautifulsoup4/,https://github.com/meteopavel/BeautifulSoup4_PEP_Parser,https://github.com/PythonDevMaster/beautifulSoup4,https://github.com/YouXianMing/BeautifulSoup4-WebCralwer,https://github.com/collegue1337/BeautifulSoup4,https://github.com/wention/BeautifulSoup4",10.3390/s20010190,"Our API for the acquisition of weather data operates by scraping the web page of the automatic Brazilian weather stations [5] using the libraries requests [67] and beautifulsoup4 [68], as well the frameworks Django [69] and Django rest [70]","Beautiful soup,BeatifulSoup,BeautifulSoup9,BeautifulSoup,Beautiful Soup,Beautiful,beautifulsoup,beautiful-soup,Beautiful Soup”",,"Nídia G. S. Campos,Atslands R. da Rocha,Rubens Sonsol Gondim,Ticiana L. Coelho da Silva,Danielo G. Gomes"
BioMark,,"https://cran.r-project.org/package=NNTbiomarker,https://github.com/cran/NNTbiomarker,https://github.com/cran/BioMark,https://github.com/cran/RMark,https://github.com/NoTranslationLayer/biomarkerdash,https://cran.r-project.org/package=RMark,https://github.com/ELELAB/CAncer-bioMarker-Prediction-Pipeline-CAMPP,https://cran.r-project.org/web/packages/BioMark/index.html,https://github.com/cran/optBiomarker,https://cran.r-project.org/package=optBiomarker,https://github.com/markwk/awesome-biomarkers,https://github.com/spiros/ukb-biomarker-phenotypes,https://github.com/cran/ICBioMark,https://github.com/AIM-Harvard/foundation-cancer-image-biomarker,https://cran.r-project.org/package=ICBioMark",10.1186/1471-2164-13-521,"Genotype calling was carried out using the SDS 2.3 software (Life Technologies, Carlsbad California) or the BioMark 3.0.2 software (Fluidigm, South San Francisco, California)","BioMART,BiomarkeR,BIOMARKERY,Biomark Chip,Biomark & EP1,R package BioMark,ImBioMark,BIOMARCS,Biomart,BioMark HD,Biomartr,Biomark HD,BiomarkR,BioMarKs,BiomarkHD,Biomark qPCR,BiomarkTM,BioMarcs,BIOMARKER,BioMarks,BioMA,BioMarts,BioMarkTM,BioMar,BioMart,BIOMARIN,BiomarC®,BIOMA,BioMark R Bioconductor package,BIOMART,Biomarks,Biomarker,BIOMAR,BIOMARK HD,R BioMark package,BIOMARKAPD,BIOMASAR,Biomarts,BioMarker,Biomarker2vec,Biomarkers,BiomarC",,"Meredith V. Everett,Michael R. Miller,James E. Seeb"
BioMark,,"https://cran.r-project.org/package=NNTbiomarker,https://github.com/cran/NNTbiomarker,https://github.com/cran/BioMark,https://github.com/cran/RMark,https://github.com/NoTranslationLayer/biomarkerdash,https://cran.r-project.org/package=RMark,https://github.com/ELELAB/CAncer-bioMarker-Prediction-Pipeline-CAMPP,https://cran.r-project.org/web/packages/BioMark/index.html,https://github.com/cran/optBiomarker,https://cran.r-project.org/package=optBiomarker,https://github.com/markwk/awesome-biomarkers,https://github.com/spiros/ukb-biomarker-phenotypes,https://github.com/cran/ICBioMark,https://github.com/AIM-Harvard/foundation-cancer-image-biomarker,https://cran.r-project.org/package=ICBioMark",10.1534/g3.115.020222,"Genotypes were called using the BioMark software v3.0.2 (Fluidigm, South San Francisco, CA)","BioMART,BiomarkeR,BIOMARKERY,Biomark Chip,Biomark & EP1,R package BioMark,ImBioMark,BIOMARCS,Biomart,BioMark HD,Biomartr,Biomark HD,BiomarkR,BioMarKs,BiomarkHD,Biomark qPCR,BiomarkTM,BioMarcs,BIOMARKER,BioMarks,BioMA,BioMarts,BioMarkTM,BioMar,BioMart,BIOMARIN,BiomarC®,BIOMA,BioMark R Bioconductor package,BIOMART,Biomarks,Biomarker,BIOMAR,BIOMARK HD,R BioMark package,BIOMARKAPD,BIOMASAR,Biomarts,BioMarker,Biomarker2vec,Biomarkers,BiomarC",,"Morten T. Limborg,Ryan K. Waples,Fred W. Allendorf,James E. Seeb"
