name;ground truth;doi;paragraph;authors;language;candidate_urls;synonyms;metadata_name;metadata_authors;metadata_description;metadata_language;name_metric;author_metric;paragraph_metric;language_metric;synonym_metric;prediction
Axe;https://github.com/kdm9/axe;10.1186/s12859-021-04267-5;Axe uses a set of pre-computed prefix trees to find a match within a given Hamming distance and can partially handle barcodes that differ in length;Lior Galanti,Dennis Shasha,Kristin C. Gunsalus;;https://github.com/connormayer/maxent.ot;axe-demultiplexer,Axeq,Axel,AXER,Axes,AXEF,Axed,AXES,axe;maxent.ot;connormayer;An R package for implementing and evaluating Maximum Entropy Optimality Theory models;R;7,77778E+15;4,55219E+15;7,78888E+15;;6,82825E+15;0
Axe;https://github.com/kdm9/axe;10.1186/s12859-021-04267-5;Axe uses a set of pre-computed prefix trees to find a match within a given Hamming distance and can partially handle barcodes that differ in length;Lior Galanti,Dennis Shasha,Kristin C. Gunsalus;;https://github.com/cran/maxEff;axe-demultiplexer,Axeq,Axel,AXER,Axes,AXEF,Axed,AXES,axe;maxEff;cran;:exclamation: This is a read-only mirror of the CRAN R package repository.  maxEff — Additional Predictor with Maximum Effect Size;R;8,33333E+15;4,94444E+16;1,23469E+16;;7,43282E+14;0
Axe;https://github.com/kdm9/axe;10.1186/s12859-021-04267-5;Axe uses a set of pre-computed prefix trees to find a match within a given Hamming distance and can partially handle barcodes that differ in length;Lior Galanti,Dennis Shasha,Kristin C. Gunsalus;;https://github.com/cran/MIAmaxent;axe-demultiplexer,Axeq,Axel,AXER,Axes,AXEF,Axed,AXES,axe;MIAmaxent;cran;:exclamation: This is a read-only mirror of the CRAN R package repository.  MIAmaxent — A Modular, Integrated Approach to Maximum Entropy Distribution Modeling. Homepage: https://github.com/julienvollering/MIAmaxent  Report bugs for this package: https://github.com/julienvollering/MIAmaxent/issues;R;4,81481E+16;4,94444E+16;1,67568E+16;;4,6007E+15;0
Axe;https://github.com/kdm9/axe;10.1186/s12859-021-04267-5;Axe uses a set of pre-computed prefix trees to find a match within a given Hamming distance and can partially handle barcodes that differ in length;Lior Galanti,Dennis Shasha,Kristin C. Gunsalus;;https://cran.r-project.org/package=maxEff;axe-demultiplexer,Axeq,Axel,AXER,Axes,AXEF,Axed,AXES,axe;maxEff;;Methods of selecting one from many numeric predictors for a regression model, to ensure that the additional predictor has the maximum effect size.;R;8,33333E+15;;7,56266E+15;;7,43282E+14;0
Axe;https://github.com/kdm9/axe;10.1186/s12859-021-04267-5;Axe uses a set of pre-computed prefix trees to find a match within a given Hamming distance and can partially handle barcodes that differ in length;Lior Galanti,Dennis Shasha,Kristin C. Gunsalus;;https://pypi.org/project/Axe/;axe-demultiplexer,Axeq,Axel,AXER,Axes,AXEF,Axed,AXES,axe;Axe;Ju Lin;An Extendable Python Web Framework;Python;10;4,11111E+16;4,29594E+15;;9,33279E+15;0
Axe;https://github.com/kdm9/axe;10.1186/s12859-021-04267-5;Axe uses a set of pre-computed prefix trees to find a match within a given Hamming distance and can partially handle barcodes that differ in length;Lior Galanti,Dennis Shasha,Kristin C. Gunsalus;;https://github.com/cran/EfficientMaxEigenpair;axe-demultiplexer,Axeq,Axel,AXER,Axes,AXEF,Axed,AXES,axe;EfficientMaxEigenpair;cran;:exclamation: This is a read-only mirror of the CRAN R package repository.  EfficientMaxEigenpair — Efficient Initials for Computing the Maximal Eigenpair. Homepage: http://github.com/mxjki/EfficientMaxEigenpair  Report bugs for this package: http://github.com/mxjki/EfficientMaxEigenpair/issues;R;4,60317E+15;4,94444E+16;1,93947E+16;;4,63938E+15;0
Axe;https://github.com/kdm9/axe;10.1186/s12859-021-04267-5;Axe uses a set of pre-computed prefix trees to find a match within a given Hamming distance and can partially handle barcodes that differ in length;Lior Galanti,Dennis Shasha,Kristin C. Gunsalus;;https://github.com/jazzband/django-axes;axe-demultiplexer,Axeq,Axel,AXER,Axes,AXEF,Axed,AXES,axe;django-axes;jazzband;Keep track of failed login attempts in Django-powered sites.;Python;4,74747E+16;3,62963E+14;-9,18107E+15;;4,44451E+16;0
Axe;https://github.com/kdm9/axe;10.1186/s12859-021-04267-5;Axe uses a set of pre-computed prefix trees to find a match within a given Hamming distance and can partially handle barcodes that differ in length;Lior Galanti,Dennis Shasha,Kristin C. Gunsalus;;https://github.com/dequelabs/react-axe;axe-demultiplexer,Axeq,Axel,AXER,Axes,AXEF,Axed,AXES,axe;react-axe;dequelabs;[DEPRECATED] Accessibility auditing for React.js applications;TypeScript;4,62963E+16;4,27778E+16;-9,65164E+15;;4,50315E+15;0
Axe;https://github.com/kdm9/axe;10.1186/s12859-021-04267-5;Axe uses a set of pre-computed prefix trees to find a match within a given Hamming distance and can partially handle barcodes that differ in length;Lior Galanti,Dennis Shasha,Kristin C. Gunsalus;;https://github.com/julienvollering/MIAmaxent;axe-demultiplexer,Axeq,Axel,AXER,Axes,AXEF,Axed,AXES,axe;MIAmaxent;julienvollering;R package;HTML;4,81481E+16;4,87037E+15;1,04884E+16;;4,6007E+15;0
Axe;https://github.com/kdm9/axe;10.1186/s12859-021-04267-5;Axe uses a set of pre-computed prefix trees to find a match within a given Hamming distance and can partially handle barcodes that differ in length;Lior Galanti,Dennis Shasha,Kristin C. Gunsalus;;https://github.com/cran/maxent.ot;axe-demultiplexer,Axeq,Axel,AXER,Axes,AXEF,Axed,AXES,axe;maxent.ot;cran;:exclamation: This is a read-only mirror of the CRAN R package repository.  maxent.ot — Perform Phonological Analyses using Maximum Entropy Optimality Theory. Homepage: https://github.com/connormayer/maxent.ot  Report bugs for this package: https://github.com/connormayer/maxent.ot/issues;R;7,77778E+15;4,94444E+16;2,14266E+16;;6,82825E+15;0
